object,gate,split,active_ratio,active_hours,inactive_hours,active_mean_return,inactive_missed_mean_return,active_total_return_sum,inactive_missed_return_sum,n,mean_hour,annualized_mean,std_hour,sharpe_proxy,sortino_proxy,hit_rate,additive_total,additive_max_dd,compounded_total,compounded_max_dd,min_hour,q01,q05,median,q95,month_count,positive_month_count,positive_month_rate,worst_month_sum,mean_turnover_active
FundingCore,G5_vol_ret12_low_or_mid,train_2024,0.6699862637362637,5853,2883,0.00017076356314726942,-9.190455585658361e-07,0.999479135100968,-0.0026496083453453056,8736,0.00011440924165533059,1.002224956900696,0.002736775862234343,3.912676385585861,4.183398024758396,0.35645604395604397,0.999479135100968,-0.7862861944237021,1.6292389315315559,-0.5469400592161519,-0.030972844954426926,-0.007963782281482396,-0.003966409220727918,0.0,0.004290156245040842,12,9,0.75,-0.5799164930095978,0.02062833950808286
FundingCore,G5_vol_ret12_low_or_mid,validation_2025H1,0.6324487895716946,2717,1579,0.00026593407866287207,0.0001965451571195916,0.7225428917270235,0.31034480309183515,4296,0.0001681896861561973,1.4733416507282884,0.002718075568706513,5.791484339367015,5.025015986125366,0.35591247672253257,0.7225428917270236,-0.46681331295537626,1.0269551600561986,-0.3773200054610353,-0.038121102329422056,-0.006495574209379945,-0.003560136332478979,0.0,0.004204463705640295,6,4,0.6666666666666666,-0.24221067816577319,0.029051810063776752
FundingCore,G5_vol_ret12_low_or_mid,recent_oos_2025H2_2026Apr,0.7224061810154525,5236,2012,8.185236143228783e-05,0.00016857108585683028,0.4285789644594591,0.3391650247439425,7248,5.9130651829395586e-05,0.5179845100255054,0.002121328973292691,2.6088955737128625,3.0314296871096533,0.3650662251655629,0.4285789644594592,-0.6977874517462109,0.5102365984432651,-0.5056033503221213,-0.017298481156424527,-0.006351663882673828,-0.0031188367642917304,0.0,0.0033306709217192153,10,7,0.7,-0.4743445429702326,0.03110558869726261
FundingCore,G5_vol_ret12_low_or_mid,fresh_forward_2026May,0.826530612244898,324,68,-0.0003548258955929029,-9.01360346181743e-05,-0.11496359017210055,-0.006129250354035852,392,-0.0002932744647247464,-2.569084310988779,0.0025336202555296156,-10.833898973420563,-19.39012872525297,0.2729591836734694,-0.11496359017210059,-0.18591521036432154,-0.10973080231912735,-0.16993530976260918,-0.008057718175704848,-0.0060282582875312045,-0.003534526916213729,-0.0002179841076064954,0.003176561540626093,1,0,0.0,-0.10253310365519688,0.032620183314627765
FundingCore,G6_all_low_risk_intersection,train_2024,0.27071886446886445,2365,6371,6.0844701534543025e-05,0.000133877226122497,0.14389771912919425,0.8529318076264284,8736,1.6471808508378457e-05,0.14429304253339528,0.0016711725293450483,0.922512054372638,0.6427943399033891,0.14285714285714285,0.1438977191291942,-0.4027001002996622,0.14075320646552458,-0.3327991982786044,-0.020187347108493237,-0.005858812233161179,-0.00220258278533513,0.0,0.002410203367790736,12,7,0.5833333333333334,-0.29404778043932195,0.017641906043180836
FundingCore,G6_all_low_risk_intersection,validation_2025H1,0.21135940409683426,908,3388,0.0004932026686955951,0.00017268585349564886,0.44782802317560033,0.5850596716432583,4296,0.00010424302215446936,0.9131688740731516,0.0017684669206524234,5.516988848065597,3.1988162442913626,0.12569832402234637,0.4478280231756004,-0.1383199639118533,0.5543862157578263,-0.12970255242449602,-0.03629375737296092,-0.005544199424417455,-0.0013120066203046329,0.0,0.002457267842624359,6,5,0.8333333333333334,-0.050810866144804276,0.025620534744952246
FundingCore,G6_all_low_risk_intersection,recent_oos_2025H2_2026Apr,0.3417494481236203,2477,4771,9.348567992029391e-05,0.00011238313981153504,0.23156402916256802,0.5361799600408337,7248,3.194867952022187e-05,0.27987043259714356,0.0017843901368978776,1.6757728578463007,1.3257725980218764,0.1789459161147903,0.23156402916256813,-0.5962878451306701,0.24611205597996344,-0.45250968396515445,-0.017298481156424527,-0.0058270631882032815,-0.0023975016628552757,0.0,0.0025999005844378133,10,6,0.6,-0.449564378627611,0.029450605943215215
FundingCore,G6_all_low_risk_intersection,fresh_forward_2026May,0.32908163265306123,129,263,-0.00014809500992916106,-0.0003877892937082686,-0.01910425628086178,-0.10198858424527465,392,-4.8735347655259636e-05,-0.4269216454600744,0.0018512860586702706,-2.4638972391451848,-3.2436967730454653,0.11989795918367346,-0.01910425628086178,-0.08643084522644295,-0.019577319373643487,-0.08293744027974537,-0.008057718175704848,-0.00413687641310913,-0.002182270383875642,0.0,0.0015336579054106756,1,0,0.0,-0.025294956952342733,0.0313601127554616
FundingCore,G7_inverted_avoid_high_funding_abs,train_2024,0.3305860805860806,2888,5848,0.00011248530143402427,0.00011490628868231202,0.3248575505414621,0.6719719762141607,8736,3.718607492461791e-05,0.3257500163396529,0.0024802035249637425,1.4032823818160964,0.9940846548585202,0.1684981684981685,0.32485755054146204,-0.6903947816557068,0.3470865914110408,-0.5020097672072126,-0.030972844954426926,-0.0077481200291243954,-0.003278047024355596,0.0,0.0034737608604232,12,6,0.5,-0.475865843932953,0.02096201607513997
FundingCore,G7_inverted_avoid_high_funding_abs,validation_2025H1,0.024441340782122904,105,4191,0.0021820041522313534,0.0001917865089082717,0.2291104359842921,0.8037772588345666,4296,5.333110707269369e-05,0.4671804979567967,0.0007663423692791593,6.513430969959221,2.0538618557705703,0.01792364990689013,0.2291104359842921,-0.03905219572000185,0.25589552982481933,-0.038427150139974664,-0.008452412445946456,0.0,0.0,0.0,0.0,6,5,0.8333333333333334,0.0,0.03040463284987813
