timestamp,multiplier,gross_exposure,turnover,funding_drag,net_return,object,funding_abs_mean,funding_mean,funding_dispersion,funding_positive_share,funding_negative_share,funding_persistence_abs_mean,basis_abs_mean,basis_minus_abs_mean,vol_ret12_abs_mean,vol_hl_mean,funding_abs_mean_bucket,funding_dispersion_bucket,funding_positive_share_bucket,funding_negative_share_bucket,funding_persistence_abs_mean_bucket,basis_abs_mean_bucket,basis_minus_abs_mean_bucket,vol_ret12_abs_mean_bucket,vol_hl_mean_bucket
2026-05-13 12:00:00+00:00,0.25000000000000006,0.5,0.0,-2.408208333333334e-05,-0.0037835876387004954,FundingCore,7.295333333333334e-05,3.941166666666666e-05,7.587633445650598e-05,0.75,0.25,1.0,0.0006030406562516447,3.715123401666792,0.006840091816226634,0.01877366064608336,low,mid,low,high,high,high,high,low,high
2026-05-05 22:00:00+00:00,0.27272727272727276,0.5,0.0,-4.972204545454546e-05,-0.0036737783075238774,FundingCore,8.805333333333333e-05,6.345333333333334e-05,6.376837726403965e-05,0.8333333333333334,0.16666666666666666,1.0,0.0004348426100177864,3.7930310724992764,0.01169488359706325,0.012094801505522135,mid,mid,mid,high,high,mid,high,low,mid
2026-05-13 13:00:00+00:00,0.25000000000000006,0.5,0.0,-3.1982291666666676e-05,-0.0035995923316160822,FundingCore,7.295333333333334e-05,3.941166666666666e-05,7.587633445650598e-05,0.75,0.25,1.0,0.0004947857703515394,3.0835832791668487,0.018751816831294215,0.01522029425800548,low,mid,low,high,high,mid,high,mid,high
2026-05-08 06:00:00+00:00,0.25,0.5,0.0,-2.8562291666666668e-05,-0.0035675944512539733,FundingCore,5.064416666666668e-05,2.4560833333333337e-05,5.7360504771479206e-05,0.5833333333333334,0.4166666666666667,1.0,0.0003873514178515021,2.6566658316656957,0.00749112208266826,0.005086593164963844,low,mid,low,high,high,mid,mid,low,low
2026-05-14 14:00:00+00:00,0.25000000000000006,0.5,0.0,-3.3193749999999995e-06,-0.0035074716602717113,FundingCore,5.021583333333333e-05,2.904083333333334e-05,5.148276579891135e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0004295003784851777,3.0483274533344087,0.019238255915863645,0.01849289671568388,low,low,low,high,low,mid,high,mid,high
2026-05-05 18:00:00+00:00,0.27272727272727276,0.5,0.022727272727272728,-1.6852272727272732e-05,-0.0034895631288950064,FundingCore,8.805333333333333e-05,6.345333333333334e-05,6.376837726403965e-05,0.8333333333333334,0.16666666666666666,1.0,0.0005069006396062614,4.08998682416676,0.010301227304163746,0.004338156024034259,mid,mid,mid,high,high,mid,high,low,low
2026-05-05 21:00:00+00:00,0.27272727272727276,0.5,0.0,-4.972204545454546e-05,-0.003459952109507219,FundingCore,8.805333333333333e-05,6.345333333333334e-05,6.376837726403965e-05,0.8333333333333334,0.16666666666666666,1.0,0.00041618436704378886,5.0097053275001455,0.017246710714683255,0.008379419745406963,mid,mid,mid,high,high,mid,high,mid,low
2026-05-13 03:00:00+00:00,0.25000000000000006,0.5,0.04166666666666667,-2.204041666666667e-05,-0.0033871911535235176,FundingCore,6.111083333333333e-05,3.381083333333334e-05,6.536611679077743e-05,0.75,0.25,1.0,0.00038829785181064097,2.5417795241662375,0.022602656307352902,0.006197397204839152,low,mid,low,high,high,mid,mid,high,low
2026-05-18 04:00:00+00:00,0.27272727272727276,0.5,0.0,-6.062045454545455e-05,-0.003306217308282456,FundingCore,4.950416666666667e-05,-4.6295833333333325e-05,3.719581953623582e-05,0.08333333333333333,0.8333333333333334,0.9166666666666666,0.0005259620283143696,2.7981215216660185,0.02046190768720249,0.008113512318818987,low,low,low,high,low,mid,mid,mid,low
2026-05-17 22:00:00+00:00,0.25,0.5,0.0,-4.1153749999999995e-05,-0.0032691440996530166,FundingCore,4.7838333333333346e-05,-2.374e-05,5.8387098888938354e-05,0.3333333333333333,0.5833333333333334,0.9166666666666666,0.0005051489559596741,2.590831849999441,0.010727595633988415,0.01022272363183072,low,mid,low,high,low,mid,mid,low,mid
2026-05-08 13:00:00+00:00,0.25000000000000006,0.5,0.06250000000000001,-2.7282708333333344e-05,-0.007225925630558828,Core4,4.183916666666667e-05,2.863916666666667e-05,4.6684436817554325e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0003838022159322792,1.9526290391658179,0.004504278537818457,0.006137017836789926,low,low,low,high,low,mid,mid,low,low
2026-05-08 09:00:00+00:00,0.25000000000000006,0.5,0.22916666666666674,-1.0127708333333335e-05,-0.00622421139239456,Core4,4.183916666666667e-05,2.863916666666667e-05,4.6684436817554325e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0004894235810709857,3.7766202824996236,0.005133170111128728,0.006644370337511261,low,low,low,high,low,mid,high,low,low
2026-05-08 12:00:00+00:00,0.25000000000000006,0.5,0.06250000000000001,-2.7947916666666674e-05,-0.006124385724135697,Core4,4.183916666666667e-05,2.863916666666667e-05,4.6684436817554325e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0005647093616558777,4.050931821666034,0.004869340813790267,0.006671125857342193,low,low,low,high,low,high,high,low,low
2026-05-08 11:00:00+00:00,0.25000000000000006,0.5,0.06250000000000001,-2.0022500000000004e-05,-0.005980673058004068,Core4,4.183916666666667e-05,2.863916666666667e-05,4.6684436817554325e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.000547349679360228,4.2988672483335595,0.005133849681885581,0.0036368045544020225,low,low,low,high,low,high,high,low,low
2026-05-08 10:00:00+00:00,0.25000000000000006,0.5,0.06250000000000001,-1.0166041666666669e-05,-0.005340164927742561,Core4,4.183916666666667e-05,2.863916666666667e-05,4.6684436817554325e-05,0.5833333333333334,0.3333333333333333,0.8888888888888888,0.0005424071118870685,3.8178858766673454,0.005875911494421164,0.00625193372330023,low,low,low,high,low,high,high,low,low
2026-05-08 08:00:00+00:00,0.25000000000000006,0.5,0.14583333333333334,-2.551375000000001e-05,-0.005246523450766673,Core4,5.064416666666668e-05,2.4560833333333337e-05,5.7360504771479206e-05,0.5833333333333334,0.4166666666666667,1.0,0.000494103305799252,3.2738581350003813,0.005458498093521881,0.006222783056906157,low,mid,low,high,high,mid,high,low,low
2026-05-08 06:00:00+00:00,0.25000000000000006,0.5,0.10416666666666669,-2.9232291666666673e-05,-0.005176200548367633,Core4,5.064416666666668e-05,2.4560833333333337e-05,5.7360504771479206e-05,0.5833333333333334,0.4166666666666667,1.0,0.0003873514178515021,2.6566658316656957,0.00749112208266826,0.005086593164963844,low,mid,low,high,high,mid,mid,low,low
2026-05-08 05:00:00+00:00,0.25000000000000006,0.5,0.12500000000000003,-2.855833333333334e-05,-0.005008449471609354,Core4,5.064416666666668e-05,2.4560833333333337e-05,5.7360504771479206e-05,0.5833333333333334,0.4166666666666667,1.0,0.0005542890086614923,3.214660440833878,0.0076622891707685175,0.004006023676948475,low,mid,low,high,high,high,high,low,low
2026-05-18 00:00:00+00:00,0.25000000000000006,0.5,0.04166666666666667,-4.1014375e-05,-0.004803087432764244,Core4,4.7838333333333346e-05,-2.374e-05,5.8387098888938354e-05,0.3333333333333333,0.5833333333333334,0.9166666666666666,0.00037722831328301787,2.5454839000003635,0.024480425490783303,0.011195604620571557,low,mid,low,high,low,low,mid,high,mid
2026-05-08 14:00:00+00:00,0.25000000000000006,0.5,0.04166666666666667,-2.7531041666666676e-05,-0.004580362971731267,Core4,4.183916666666667e-05,2.863916666666667e-05,4.6684436817554325e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0003452294857011114,2.745544845000017,0.015194230320247212,0.012606457371312177,low,low,low,high,low,low,mid,mid,mid
2026-05-08 07:00:00+00:00,0.25000000000000006,0.5,0.10416666666666669,-2.7259791666666675e-05,-0.004573946308778655,Core4,5.064416666666668e-05,2.4560833333333337e-05,5.7360504771479206e-05,0.5833333333333334,0.4166666666666667,1.0,0.0004800131819096091,3.235415274165582,0.004607098806605601,0.006654381062787929,low,mid,low,high,high,mid,high,low,low
2026-05-14 15:00:00+00:00,0.25000000000000006,0.5,0.10416666666666669,-1.8309583333333335e-05,-0.00435946973233079,Core4,5.021583333333333e-05,2.904083333333334e-05,5.148276579891135e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0005058961837771103,4.072523479999501,0.027459473548628044,0.010486833051090383,low,low,low,high,low,mid,high,high,mid
2026-05-08 20:00:00+00:00,0.25000000000000006,0.5,0.10416666666666669,-3.105416666666668e-06,-0.00429359167705485,Core4,4.866166666666666e-05,2.8080000000000002e-05,5.310680198116496e-05,0.5,0.4166666666666667,0.9166666666666666,0.0003954993137183412,2.4980755108328947,0.02402288754425495,0.006151791164387619,low,low,low,high,low,mid,mid,high,low
2026-05-14 10:00:00+00:00,0.25000000000000006,0.5,0.125,-7.410833333333334e-06,-0.004285056762886636,Core4,5.021583333333333e-05,2.904083333333334e-05,5.148276579891135e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0005012839715052194,4.011104440000133,0.002523565562728166,0.006007928332245025,low,low,low,high,low,mid,high,low,low
2026-05-17 23:00:00+00:00,0.25000000000000006,0.5,0.04166666666666667,-3.9930833333333334e-05,-0.004200320111067772,Core4,4.7838333333333346e-05,-2.374e-05,5.8387098888938354e-05,0.3333333333333333,0.5833333333333334,0.9166666666666666,0.0005494562792411617,2.6959990858336824,0.02036386256280288,0.03552069025037227,low,mid,low,high,low,high,mid,mid,high
2026-05-08 15:00:00+00:00,0.25000000000000006,0.5,0.04166666666666667,-2.7414375000000008e-05,-0.003977678320208565,Core4,4.183916666666667e-05,2.863916666666667e-05,4.6684436817554325e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0003404243350200546,2.423879975833278,0.018475396610455986,0.012176324256920187,low,low,low,high,low,low,mid,mid,mid
2026-05-14 14:00:00+00:00,0.25000000000000006,0.5,0.125,-1.646041666666667e-05,-0.003933130088884863,Core4,5.021583333333333e-05,2.904083333333334e-05,5.148276579891135e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0004295003784851777,3.0483274533344087,0.019238255915863645,0.01849289671568388,low,low,low,high,low,mid,high,mid,high
2026-05-13 12:00:00+00:00,0.25000000000000006,0.5,0.04166666666666667,-2.376770833333334e-05,-0.003862146290251907,Core4,7.295333333333334e-05,3.941166666666666e-05,7.587633445650598e-05,0.75,0.25,1.0,0.0006030406562516447,3.715123401666792,0.006840091816226634,0.01877366064608336,low,mid,low,high,high,high,high,low,high
2026-05-10 20:00:00+00:00,0.25000000000000006,0.5,0.10416666666666669,-1.273541666666668e-06,-0.0038177953563498235,Core4,6.045000000000001e-05,5.901833333333334e-05,3.2693886236148534e-05,0.9166666666666666,0.08333333333333333,1.0,0.0004520773834298941,2.312023810832851,0.022776242357832138,0.035626362660538737,low,low,high,mid,high,mid,mid,high,high
2026-05-14 13:00:00+00:00,0.25000000000000006,0.5,0.06250000000000001,-2.730416666666665e-06,-0.003711442708824811,Core4,5.021583333333333e-05,2.904083333333334e-05,5.148276579891135e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0005163310971613618,2.454422176665989,0.003703238002101964,0.010038687722869527,low,low,low,high,low,mid,mid,low,mid
2026-05-08 04:00:00+00:00,0.25000000000000006,0.5,0.10416666666666669,-1.6253958333333336e-05,-0.0035938122557431177,Core4,5.064416666666668e-05,2.4560833333333337e-05,5.7360504771479206e-05,0.5833333333333334,0.4166666666666667,1.0,0.0004988867440927358,3.3107570850003363,0.004076409977670975,0.004135923111554147,low,mid,low,high,high,mid,high,low,low
2026-05-14 11:00:00+00:00,0.25000000000000006,0.5,0.06250000000000001,-7.362291666666667e-06,-0.003558958344091632,Core4,5.021583333333333e-05,2.904083333333334e-05,5.148276579891135e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0006765306692494514,3.837817102499017,0.004297830899482537,0.005773593030113176,low,low,low,high,low,high,high,low,low
2026-05-05 16:00:00+00:00,0.25,0.5,0.20833333333333331,-1.3132083333333332e-05,-0.003535055019702352,Core4,8.805333333333333e-05,6.345333333333334e-05,6.376837726403965e-05,0.8333333333333334,0.16666666666666666,0.9444444444444445,0.0004293437237168629,2.592347979167039,0.011980129306971898,0.007905148471474386,mid,mid,mid,high,mid,mid,mid,low,low
2026-05-13 13:00:00+00:00,0.25000000000000006,0.5,0.06250000000000001,-3.011020833333334e-05,-0.0035268104186119945,Core4,7.295333333333334e-05,3.941166666666666e-05,7.587633445650598e-05,0.75,0.25,1.0,0.0004947857703515394,3.0835832791668487,0.018751816831294215,0.01522029425800548,low,mid,low,high,high,mid,high,mid,high
2026-05-07 01:00:00+00:00,0.25000000000000006,0.5,0.10416666666666669,-1.945979166666667e-05,-0.0033919462509048436,Core4,6.994916666666666e-05,3.974416666666666e-05,6.532570454503767e-05,0.6666666666666666,0.3333333333333333,0.9444444444444443,0.00043902023100733656,4.148626710833989,0.007933311080652872,0.008048307870855323,low,mid,low,high,mid,mid,high,low,low
2026-05-14 12:00:00+00:00,0.25000000000000006,0.5,0.10416666666666669,-2.730416666666665e-06,-0.003314129043423368,Core4,5.021583333333333e-05,2.904083333333334e-05,5.148276579891135e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0004793399605939978,4.0570639983324925,0.004369875019119729,0.011285464700028515,low,low,low,high,low,mid,high,low,mid
2026-05-05 18:00:00+00:00,0.25,0.5,0.10416666666666666,-1.3457291666666667e-05,-0.003228732018329944,Core4,8.805333333333333e-05,6.345333333333334e-05,6.376837726403965e-05,0.8333333333333334,0.16666666666666666,1.0,0.0005069006396062614,4.08998682416676,0.010301227304163746,0.004338156024034259,mid,mid,mid,high,high,mid,high,low,low
2026-05-08 03:00:00+00:00,0.25000000000000006,0.5,0.04166666666666667,-1.6441458333333337e-05,-0.0031798118208663613,Core4,5.064416666666668e-05,2.4560833333333337e-05,5.7360504771479206e-05,0.5833333333333334,0.4166666666666667,1.0,0.0005896336556892775,3.161662301667062,0.0046702612979622376,0.007833152884438836,low,mid,low,high,high,high,high,low,low
2026-05-05 20:00:00+00:00,0.25,0.5,0.10416666666666666,-3.9307083333333325e-05,-0.0031404272005085433,Core4,8.805333333333333e-05,6.345333333333334e-05,6.376837726403965e-05,0.8333333333333334,0.16666666666666666,1.0,0.0005223653620442063,3.2804913333331833,0.014345854454297036,0.007368723897670994,mid,mid,mid,high,high,mid,high,mid,low
2026-05-17 22:00:00+00:00,0.25000000000000006,0.5,0.06250000000000001,-4.307604166666667e-05,-0.0031399506502807904,Core4,4.7838333333333346e-05,-2.374e-05,5.8387098888938354e-05,0.3333333333333333,0.5833333333333334,0.9166666666666666,0.0005051489559596741,2.590831849999441,0.010727595633988415,0.01022272363183072,low,mid,low,high,low,mid,mid,low,mid
