artifact_type,stage_id,path,commit,commit_subject,bytes
runtime,A7AB-2,runtime/a7ab2_seed_constrained_micro_generation_contract/a7ab2_allowed_generation_families.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,1098
runtime,A7AB-2,runtime/a7ab2_seed_constrained_micro_generation_contract/a7ab2_authorization_matrix.json,2eca9f5,add crypto a7ab selector rewrite dryrun,478
runtime,A7AB-2,runtime/a7ab2_seed_constrained_micro_generation_contract/a7ab2_forbidden_families.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,519
runtime,A7AB-2,runtime/a7ab2_seed_constrained_micro_generation_contract/a7ab2_generation_quota.json,2eca9f5,add crypto a7ab selector rewrite dryrun,410
runtime,A7AB-2,runtime/a7ab2_seed_constrained_micro_generation_contract/a7ab2_hard_gates.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,580
runtime,A7AB-2,runtime/a7ab2_seed_constrained_micro_generation_contract/a7ab2_manifest.json,2eca9f5,add crypto a7ab selector rewrite dryrun,1364
runtime,A7AB-2,runtime/a7ab2_seed_constrained_micro_generation_contract/a7ab2_seed_queue_input.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,4651
runtime,A7AB-2,runtime/a7ab2_seed_constrained_micro_generation_contract/a7ab2_transform_contract.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,602
runtime,A7AB-3,runtime/a7ab3_seed_constrained_dry_generation/a7ab3_authorization_matrix.json,2eca9f5,add crypto a7ab selector rewrite dryrun,408
runtime,A7AB-3,runtime/a7ab3_seed_constrained_dry_generation/a7ab3_generated_pool.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,608700
runtime,A7AB-3,runtime/a7ab3_seed_constrained_dry_generation/a7ab3_generation_family_summary.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,208
runtime,A7AB-3,runtime/a7ab3_seed_constrained_dry_generation/a7ab3_manifest.json,2eca9f5,add crypto a7ab selector rewrite dryrun,1708
runtime,A7AB-3,runtime/a7ab3_seed_constrained_dry_generation/a7ab3_static_selected_family_summary.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,205
runtime,A7AB-3,runtime/a7ab3_seed_constrained_dry_generation/a7ab3_static_selected_queue.csv,2eca9f5,add crypto a7ab selector rewrite dryrun,158673
runtime,A7AB-3,runtime/a7ab3_seed_constrained_dry_generation/a7ab3_static_validity_audit.json,2eca9f5,add crypto a7ab selector rewrite dryrun,159
runtime,A7AB-4,runtime/a7ab4_materialization_preflight/a7ab4_authorization_matrix.json,3c67dec,add crypto a7ab materialization and replay preflight,475
