symbol,rows,timestamp_min,timestamp_max,path,metrics_join_rate,metrics_complete_5m_rate,agg_overlay_available_rate,duplicate_symbol_timestamp,inf_cell_count
BRETTUSDT,14846,2024-08-20 10:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BRETTUSDT\part.parquet,1.0,0.999596,0.0,0,0
BSVUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BSVUSDT\part.parquet,0.99951,0.997552,0.0,0,0
BTCUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BTCUSDT\part.parquet,0.99951,0.999217,0.99951,0,0
C98USDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=C98USDT\part.parquet,0.99951,0.999217,0.0,0,0
CAKEUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=CAKEUSDT\part.parquet,0.99951,0.999217,0.0,0,0
CATIUSDT,14107,2024-09-18 16:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=CATIUSDT\part.parquet,0.999575,0.99922,0.0,0,0
CELOUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=CELOUSDT\part.parquet,0.99951,0.99858,0.0,0,0
CELRUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=CELRUSDT\part.parquet,0.99951,0.999217,0.0,0,0
CETUSUSDT,12972,2024-11-06 12:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=CETUSUSDT\part.parquet,0.999846,0.999537,0.0,0,0
CFXUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=CFXUSDT\part.parquet,0.99951,0.999217,0.0,0,0
CGPTUSDT,11911,2024-12-20 17:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=CGPTUSDT\part.parquet,0.999832,0.999496,0.0,0,0
CHILLGUYUSDT,12467,2024-11-27 13:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=CHILLGUYUSDT\part.parquet,0.99992,0.999599,0.0,0,0
CHRUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=CHRUSDT\part.parquet,0.99951,0.999119,0.0,0,0
CHZUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=CHZUSDT\part.parquet,0.99951,0.999217,0.0,0,0
CKBUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=CKBUSDT\part.parquet,0.99951,0.999217,0.0,0,0
COMPUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=COMPUSDT\part.parquet,0.99951,0.999217,0.0,0,0
COOKIEUSDT,11486,2025-01-07 10:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=COOKIEUSDT\part.parquet,0.999913,0.999565,0.0,0,0
COSUSDT,13872,2024-09-30 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=COSUSDT\part.parquet,0.999063,0.998702,0.0,0,0
COTIUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=COTIUSDT\part.parquet,0.99951,0.999217,0.0,0,0
COWUSDT,12972,2024-11-06 12:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=COWUSDT\part.parquet,0.999923,0.999537,0.0,0,0
CRVUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=CRVUSDT\part.parquet,0.99951,0.999217,0.0,0,0
CTSIUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=CTSIUSDT\part.parquet,0.99951,0.999217,0.0,0,0
CYBERUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=CYBERUSDT\part.parquet,0.99951,0.999217,0.0,0,0
DASHUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=DASHUSDT\part.parquet,0.99951,0.999217,0.0,0,0
DEXEUSDT,11832,2024-12-24 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=DEXEUSDT\part.parquet,0.99907,0.998732,0.0,0,0
DIAUSDT,13824,2024-10-02 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=DIAUSDT\part.parquet,0.999132,0.99877,0.0,0,0
DODOXUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=DODOXUSDT\part.parquet,0.99951,0.999217,0.0,0,0
DOGEUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=DOGEUSDT\part.parquet,0.99951,0.999217,0.99951,0,0
DOGSUSDT,14700,2024-08-26 12:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=DOGSUSDT\part.parquet,1.0,0.99966,0.0,0,0
DOTUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=DOTUSDT\part.parquet,0.99951,0.999217,0.0,0,0
DRIFTUSDT,12921,2024-11-08 15:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=DRIFTUSDT\part.parquet,1.0,0.999381,0.0,0,0
DUSDT,11439,2025-01-09 09:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=DUSDT\part.parquet,0.999913,0.999563,0.0,0,0
DUSKUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=DUSKUSDT\part.parquet,0.99951,0.999217,0.0,0,0
DYDXUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=DYDXUSDT\part.parquet,0.99951,0.999217,0.0,0,0
DYMUSDT,19533,2024-02-07 03:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=DYMUSDT\part.parquet,0.999283,0.998925,0.0,0,0
EDUUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=EDUUSDT\part.parquet,0.99951,0.999217,0.0,0,0
EGLDUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=EGLDUSDT\part.parquet,0.99951,0.999217,0.0,0,0
