blueprint_id,a7ls_arm,semantic_pair,motif,skeleton_key,production_key,expression,eval_success,finite_share,nonzero_share,activity_ok,min_value,max_value,std_value,error,materialization_shard,materialization_score,a7input_queue,core58_queue,company_shard
a7ls1_2d9f5015a557ef7e,A7LS_B,liquidity_like,single,skel_ca36cd3eaf5a3a94,prod_9bd4fce6c962ed28,trade_count,True,0.9992944906856916,0.9999524039948914,True,0.0,4350774.0,47723.61134618172,,a7ls_b_materialization_s020,0.9995576560093715,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_9eed409bb4147318,A7LS_B,liquidity_like,single,skel_ca36cd3eaf5a3a94,prod_03bf3ad178efc956,trade_volume,True,0.9992944906856916,0.9999524039948914,True,0.0,2503928353006.0,5940332487.28053,,a7ls_b_materialization_s020,0.9995576560093715,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_0c92308155de706d,A7LS_B,taker_flow_like,single,skel_ca36cd3eaf5a3a94,prod_18143a0c135a9e3a,taker_buy_quote_volume,True,0.9992944906856916,0.9999514124114516,True,0.0,7231264694.0701,62861372.92479236,,a7ls_b_materialization_s020,0.9995572593759956,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_c8450a43dddd8b87,A7LS_B,liquidity_like,single,skel_8a3e91f81074ce44,prod_6ff71ed28ac3cfa1,"Clip(ZScore(trade_volume),-3,3)",True,0.999246928260008,1.0,True,-0.2571661135428786,5.0,0.5850117375825037,,a7ls_b_materialization_s020,0.9995481569560049,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_a9cdec6e458a7492,A7LS_B,taker_flow_like,single,skel_8a3e91f81074ce44,prod_bcf93b0d35ff62b5,"Clip(ZScore(kline_taker_buy_quote_share),-3,3)",True,0.999246928260008,1.0,True,-5.0,5.0,0.994647530380774,,a7ls_b_materialization_s020,0.9995481569560049,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_0863930f075c71cb,A7LS_B,price_like,gated_sign,skel_6a3533b4d89c4d45,prod_f4df1644c16f7584,"Mul(Mean(trade_close,4),Sign(Clip(ZScore(mark_close),-3,3)))",True,0.9991518034086404,1.0,True,-1315.980000000447,125499.07499998808,8649.285259775354,,a7ls_b_materialization_s020,0.9994910820451842,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_11270ec8e790970c,A7LS_B,price_like,gated_sign,skel_156d0fafafecde17,prod_55297d17353ffd0c,"Mul(Mean(trade_close,4),Sign(ZScore(Mean(mark_close,4))))",True,0.9991518034086404,1.0,True,-1315.980000000447,125499.07499998808,8649.284994577032,,a7ls_b_materialization_s020,0.9994910820451842,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_229497b1e7c61d39,A7LS_B,price_like,gated_sign,skel_069f2015163fa7ef,prod_86c2f945edaab59d,"Mul(Mean(trade_close,4),Sign(CSRank(mark_close)))",True,0.9991518034086404,1.0,True,1.01000000001239e-05,125499.07499998808,8645.73042362102,,a7ls_b_materialization_s020,0.9994910820451842,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_29b54331ddb9ee09,A7LS_B,price_like,gated_sign,skel_a2f58ee62d9e7ad2,prod_eafc7883565dcbc4,"Mul(trade_close,Sign(Mean(mark_close,4)))",True,0.9991518034086404,1.0,True,1e-05,125986.0,8645.970160252065,,a7ls_b_materialization_s020,0.9994910820451842,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_34c98373b44f7e44,A7LS_B,price_like,gated_sign,skel_bcb165b7818f5d85,prod_54f92a53da455e04,"Mul(ZScore(Mean(trade_close,4)),Sign(Mean(mark_close,4)))",True,0.9991518034086404,1.0,True,-0.1124061039085252,9.694064495754644,0.9947745844671364,,a7ls_b_materialization_s020,0.9994910820451842,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
