split,rows,active_hours,mean_ic,net_sum_10bps,net_mean_10bps,turnover_mean,gross_exposure_mean,candidate_id,base_candidate_id,object_type,control_mode,production_family,expression,horizon,orientation,base_train_ic_for_orientation,variant_train_ic,net_sum_20bps
recent_oos_2025H2_2026Apr,7296,7296,0.03822229811115419,-0.7249154107569664,-9.935792362348773e-05,0.21964089912280702,1.0,a7v3_cross_symbol_self_reproduction_core3_12_203b97132bb6,a7v3_cross_symbol_self_reproduction_core3_12_203b97132bb6,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_notional_gt_1m),12,1.0,0.07392474210767801,0.07392474210767801,-2.327415410756967
fresh_may_2026,505,480,0.08455114822547026,-0.3212335782303923,-0.0006361060955057272,0.22475247524752476,0.9504950495049505,a7v3_cross_symbol_self_reproduction_core3_12_203b97132bb6,a7v3_cross_symbol_self_reproduction_core3_12_203b97132bb6,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_notional_gt_1m),12,1.0,0.07392474210767801,0.07392474210767801,-0.43473357823039227
train_2024,8784,8784,0.061987704918033175,-1.2626876830667846,-0.00014374859779904195,0.25762750455373407,1.0,a7v3_cross_symbol_self_reproduction_core3_12_2122721cd54a,a7v3_cross_symbol_self_reproduction_core3_12_2122721cd54a,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_notional_1k_10k),12,1.0,0.061987704918033175,0.061987704918033175,-3.525687683066786
validation_2025H1,4344,4344,0.04615561694291039,0.3364567122113857,7.74532026269304e-05,0.13777624309392264,1.0,a7v3_cross_symbol_self_reproduction_core3_12_2122721cd54a,a7v3_cross_symbol_self_reproduction_core3_12_2122721cd54a,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_notional_1k_10k),12,1.0,0.061987704918033175,0.061987704918033175,-0.26204328778861535
recent_oos_2025H2_2026Apr,7296,7296,0.0402275219298252,0.7610029154946885,0.00010430412767196936,0.12554824561403508,1.0,a7v3_cross_symbol_self_reproduction_core3_12_2122721cd54a,a7v3_cross_symbol_self_reproduction_core3_12_2122721cd54a,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_notional_1k_10k),12,1.0,0.061987704918033175,0.061987704918033175,-0.15499708450531235
fresh_may_2026,505,480,0.08750000000000058,-0.30325527078504333,-0.0006005054867030561,0.14554455445544554,0.9504950495049505,a7v3_cross_symbol_self_reproduction_core3_12_2122721cd54a,a7v3_cross_symbol_self_reproduction_core3_12_2122721cd54a,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_notional_1k_10k),12,1.0,0.061987704918033175,0.061987704918033175,-0.37675527078504334
train_2024,8784,8784,0.0763319672131153,-0.5699296624907271,-6.488270292471848e-05,0.07553506375227687,1.0,a7v3_cross_symbol_self_reproduction_core3_12_4dc42d4c443e,a7v3_cross_symbol_self_reproduction_core3_12_4dc42d4c443e,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_notional_10k_100k),12,1.0,0.0763319672131153,0.0763319672131153,-1.2334296624907282
validation_2025H1,4344,4344,0.046040515653775954,0.31718118667111733,7.301592695007305e-05,0.1466390423572744,1.0,a7v3_cross_symbol_self_reproduction_core3_12_4dc42d4c443e,a7v3_cross_symbol_self_reproduction_core3_12_4dc42d4c443e,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_notional_10k_100k),12,1.0,0.0763319672131153,0.0763319672131153,-0.31981881332888323
recent_oos_2025H2_2026Apr,7296,7296,0.04118695175438658,0.7011464026439703,9.610011001150909e-05,0.16282894736842105,1.0,a7v3_cross_symbol_self_reproduction_core3_12_4dc42d4c443e,a7v3_cross_symbol_self_reproduction_core3_12_4dc42d4c443e,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_notional_10k_100k),12,1.0,0.0763319672131153,0.0763319672131153,-0.4868535973560304
fresh_may_2026,505,480,0.09687500000000056,-0.2879776394566343,-0.0005702527513992758,0.1702970297029703,0.9504950495049505,a7v3_cross_symbol_self_reproduction_core3_12_4dc42d4c443e,a7v3_cross_symbol_self_reproduction_core3_12_4dc42d4c443e,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_notional_10k_100k),12,1.0,0.0763319672131153,0.0763319672131153,-0.3739776394566344
train_2024,8784,8784,0.08316256830601142,-0.16805989716282954,-1.9132501953874037e-05,0.04269125683060109,1.0,a7v3_cross_symbol_self_reproduction_core3_12_61af4a59eadc,a7v3_cross_symbol_self_reproduction_core3_12_61af4a59eadc,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_avg_underlying_trade_notional),12,1.0,0.08316256830601142,0.08316256830601142,-0.5430598971628294
validation_2025H1,4344,4344,0.06042817679558074,0.8732605549325689,0.00020102683124598734,0.07654235727440148,1.0,a7v3_cross_symbol_self_reproduction_core3_12_61af4a59eadc,a7v3_cross_symbol_self_reproduction_core3_12_61af4a59eadc,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_avg_underlying_trade_notional),12,1.0,0.08316256830601142,0.08316256830601142,0.5407605549325682
recent_oos_2025H2_2026Apr,7296,7296,0.047286184210527,0.7730153921924305,0.0001059505745877783,0.02645285087719298,1.0,a7v3_cross_symbol_self_reproduction_core3_12_61af4a59eadc,a7v3_cross_symbol_self_reproduction_core3_12_61af4a59eadc,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_avg_underlying_trade_notional),12,1.0,0.08316256830601142,0.08316256830601142,0.58001539219243
fresh_may_2026,505,480,0.1145833333333339,-0.15876565139251786,-0.0003143874285000354,0.016831683168316833,0.9504950495049505,a7v3_cross_symbol_self_reproduction_core3_12_61af4a59eadc,a7v3_cross_symbol_self_reproduction_core3_12_61af4a59eadc,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_avg_underlying_trade_notional),12,1.0,0.08316256830601142,0.08316256830601142,-0.16726565139251776
train_2024,8784,8784,0.08185336976320634,-0.16730342188823744,-1.9046382273251076e-05,0.05663706739526412,1.0,a7v3_cross_symbol_self_reproduction_core3_12_a1e534249441,a7v3_cross_symbol_self_reproduction_core3_12_a1e534249441,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_notional),12,1.0,0.08185336976320634,0.08185336976320634,-0.6648034218882386
validation_2025H1,4344,4344,0.05444290976058995,0.6160905572152149,0.0001418256347180513,0.1039364640883978,1.0,a7v3_cross_symbol_self_reproduction_core3_12_a1e534249441,a7v3_cross_symbol_self_reproduction_core3_12_a1e534249441,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_notional),12,1.0,0.08185336976320634,0.08185336976320634,0.16459055721521476
recent_oos_2025H2_2026Apr,7296,7296,0.04509320175438662,0.45290951934021645,6.207641438325334e-05,0.15775767543859648,1.0,a7v3_cross_symbol_self_reproduction_core3_12_a1e534249441,a7v3_cross_symbol_self_reproduction_core3_12_a1e534249441,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_notional),12,1.0,0.08185336976320634,0.08185336976320634,-0.6980904806597843
