seed_id,semantic_pair,operator,stale_risk_tier,metric_rows,clean_label_count,min_control_ratio,median_control_ratio,max_original_spread,median_original_spread,max_original_tstat,clean_label_families,clean_horizons,arbitration_status
a7ffcore48se_0185,positioning_like|positioning_like,SignedRankDelta,medium,8,0,1.0,1.1268994156848495,-1.7080084119368642e-05,-0.000164949233903064,-0.8093557615055249,0,0,rejected
a7ffcore48se_0183,positioning_like|positioning_like,Delta,low,8,0,1.0,1.1304419511156953,0.0001202569588975,6.474019185532123e-05,1.899069196927844,0,0,rejected
a7ffcore48se_0055,basis_premium_like|state_or_taxonomy,WinsorZ,low,8,0,1.0020607818412703,1.1322494238732643,-2.621851328673332e-05,-3.8447627946426715e-05,-0.2921489263953756,0,0,rejected
a7ffcore48se_1444,funding_like|positioning_like,CSRank,medium,8,0,0.9246613260202382,1.1591958343629216,-5.620567884490931e-05,-0.00053664930587055,-0.5795017153072803,0,0,rejected
a7ffcore48se_1558,price_like|price_like,SignedRankDelta,medium,8,0,1.0091593627788975,1.160299426004996,-2.071895293202772e-05,-0.0001106300045924,-0.7094413540476776,0,0,rejected
a7ffcore48se_0818,basis_premium_like,SignedRankDelta,high,8,0,1.0,1.1642390909711273,0.0002616658124657,1.3105344004258941e-05,1.7747043621978285,0,0,rejected
a7ffcore48se_1157,funding_like|funding_like,SignedRankDelta,high,8,0,1.0256967117904052,1.1653520162597406,0.0034106470755111,0.0006159191078208499,6.6330771422629,0,0,rejected
a7ffcore48se_0401,generic_numeric|price_like,SignedRankDelta,medium,8,0,0.999244335933508,1.1701775667200947,-2.0651696422574952e-05,-0.00012755188905492858,-0.6803865870051529,0,0,rejected
a7ffcore48se_1767,volatility_like|volatility_like,Identity,high,8,0,1.0251991348783993,1.177303716219367,-1.4891736110291952e-05,-0.0002819606449785,-0.4332743831562805,0,0,rejected
a7ffcore48se_0262,volatility_like,SignedRankDelta,medium,8,0,0.9982813579315322,1.1914514205472124,0.0001833134199864,-7.451756991811633e-05,1.2909945162925156,0,0,rejected
a7ffcore48se_0264,volatility_like,WinsorZ,medium,8,0,1.001447229355765,1.1989133498914692,0.0001812553192553,-7.547920350051969e-05,1.2761791755991234,0,0,rejected
a7ffcore48se_1518,positioning_like,AbsDelta,high,8,0,1.0,1.2007386994883307,-2.6695031639284554e-06,-9.227013378297925e-05,-0.1057726117101202,0,0,rejected
a7ffcore48se_0542,volatility_like|volatility_like,WinsorZ,high,8,0,1.1150222749285343,1.2041132638030971,0.0001214545842619,6.083312140915514e-05,1.5750394065126454,0,0,rejected
a7ffcore48se_0251,state_or_taxonomy|volatility_like,AbsDelta,low,8,0,1.0,1.2083566636115795,0.0002619994462903,7.244342421006445e-05,1.9080172910572049,0,0,rejected
a7ffcore48se_0197,positioning_like|state_or_taxonomy,Delta,low,8,0,1.0,1.2178044428303525,0.0001604202154319,7.560388372593809e-05,2.139201331589934,0,0,rejected
a7ffcore48se_1603,volatility_like|volatility_like,CSRank,medium,8,0,1.0,1.219747786554191,-1.9503722493919404e-05,-0.00017753295563006807,-0.5418520099413539,0,0,rejected
a7ffcore48se_0168,liquidity_like|volatility_like,CSRank,medium,8,0,1.1128281659727228,1.2253475670418923,0.0001448718072863,-3.0266102760057792e-05,1.2916110926066031,0,0,rejected
a7ffcore48se_0656,funding_like|volatility_like,CSRank,high,8,0,1.0488642334383351,1.229232242076244,0.0024208404867146,0.0003006821642762,4.440220437478003,0,0,rejected
a7ffcore48se_0230,price_like|volatility_like,AbsDelta,medium,8,0,0.9973495545408012,1.231673692229928,0.0001775158904344,-8.087640378533721e-05,1.2737088500573934,0,0,rejected
a7ffcore48se_1498,liquidity_like|price_like,CSRank,medium,8,0,1.1220862267690568,1.23568328494468,0.0001370074215853,-2.8628973043452837e-05,1.2225754799156097,0,0,rejected
a7ffcore48se_1409,basis_premium_like|volatility_like,CSRank,medium,8,0,1.0410056168043784,1.2392246833828438,-1.2650528674519416e-05,-8.974605354908253e-05,-0.4774015678741321,0,0,rejected
a7ffcore48se_1702,funding_like|positioning_like,SignedRankDelta,medium,8,0,0.949630739760678,1.258840163055312,-9.257066032361902e-05,-0.0008499100565136999,-0.919281716315284,0,0,rejected
a7ffcore48se_0028,basis_premium_like|liquidity_like,AbsDelta,medium,8,0,0.9997768967167164,1.2621703658255634,9.02029522639574e-05,-3.084353766547172e-05,0.7368469374563301,0,0,rejected
a7ffcore48se_1765,volatility_like|volatility_like,CSRank,high,8,0,1.0397787972741657,1.2646135250901829,1.2747593535914985e-06,-0.0003053813627129,0.0344790741407882,0,0,rejected
a7ffcore48se_0552,basis_premium_like|basis_premium_like,Delta,high,8,0,1.0,1.274410746548766,2.7989202189760613e-05,-4.2546738823037725e-05,1.000745865130627,0,0,rejected
a7ffcore48se_1407,basis_premium_like|state_or_taxonomy,WinsorZ,medium,8,0,1.005389184986129,1.2807191814584131,0.0002365850474783,-4.6896160616112674e-05,1.6445468281736206,0,0,rejected
a7ffcore48se_1405,basis_premium_like|state_or_taxonomy,SignedRankDelta,medium,8,0,0.9996846658000064,1.281551188737077,0.0002357382204689,-4.6948729102437115e-05,1.638699166277585,0,0,rejected
a7ffcore48se_1358,basis_premium_like,WinsorZ,medium,8,0,1.0046001698995917,1.2818655626043356,0.0001685534006191,-7.314678157132687e-05,1.1842563510744089,0,0,rejected
a7ffcore48se_1356,basis_premium_like,SignedRankDelta,medium,8,0,1.0035741733436605,1.2832332306025518,0.0001676107784221,-7.29872011508659e-05,1.1776462389408686,0,0,rejected
a7ffcore48se_1530,positioning_like|price_like,AbsDelta,low,8,0,0.9997432374834438,1.284673392582021,-2.7296200175939715e-05,-5.37479691260418e-05,-0.6666466424780385,0,0,rejected
a7ffcore48se_0573,basis_premium_like|liquidity_like,Delta,medium,8,0,1.0,1.298569251397557,-1.0437724375388958e-05,-7.66783484595411e-05,-0.3486446660185623,0,0,rejected
a7ffcore48se_0200,positioning_like|state_or_taxonomy,SpreadShortLong,high,8,0,1.09879179251014,1.305349942732741,-9.05997036339306e-06,-0.00015013167814324999,-0.3140912516950327,0,0,rejected
a7ffcore48se_0108,funding_like|state_or_taxonomy,Identity,low,8,0,1.0801412630093667,1.305932682562601,-5.211752040708327e-05,-0.0003245236664452,-0.3763192307516335,0,0,rejected
a7ffcore48se_0150,liquidity_like|positioning_like,SignedRankDelta,medium,8,0,1.0,1.3141216191847,0.0001429059486536,-5.1498238896308186e-05,1.2434620480660057,0,0,rejected
