shard_id,start_row,end_row_exclusive,rows,source_path,checkpoint_path
a7ls15_mat_s062,62000,63000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s062.json
a7ls15_mat_s063,63000,64000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s063.json
a7ls15_mat_s064,64000,65000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s064.json
a7ls15_mat_s065,65000,66000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s065.json
a7ls15_mat_s066,66000,67000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s066.json
a7ls15_mat_s067,67000,68000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s067.json
a7ls15_mat_s068,68000,69000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s068.json
a7ls15_mat_s069,69000,70000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s069.json
a7ls15_mat_s070,70000,71000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s070.json
a7ls15_mat_s071,71000,72000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s071.json
a7ls15_mat_s072,72000,73000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s072.json
a7ls15_mat_s073,73000,74000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s073.json
a7ls15_mat_s074,74000,75000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s074.json
a7ls15_mat_s075,75000,76000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s075.json
a7ls15_mat_s076,76000,77000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s076.json
a7ls15_mat_s077,77000,78000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s077.json
a7ls15_mat_s078,78000,79000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s078.json
a7ls15_mat_s079,79000,80000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s079.json
a7ls15_mat_s080,80000,81000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s080.json
