base_field,semantic_type,seed_route,transform_name,formula_count,materialization_count,company_wave_count,levels,motifs,semantic_pairs,side
taker_buy_sell_volume_ratio_last,positioning_like,modifier_only_seed,zmean_12h,8,0,0,L4_factor_candidate_probe,gated_sign;mean_reversion_gate;safe_div_abs;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like;funding_like|positioning_like,secondary
taker_buy_sell_volume_ratio_last,positioning_like,modifier_only_seed,zmean_1h,8,0,0,L4_factor_candidate_probe,gated_sign;mean_reversion_gate;safe_div_abs;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like;funding_like|positioning_like,secondary
taker_buy_sell_volume_ratio_last,positioning_like,modifier_only_seed,zmean_24h,8,0,0,L4_factor_candidate_probe,gated_sign;mean_reversion_gate;safe_div_abs;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like;funding_like|positioning_like,secondary
taker_buy_sell_volume_ratio_last,positioning_like,modifier_only_seed,zmean_2h,8,0,0,L4_factor_candidate_probe,gated_sign;mean_reversion_gate;safe_div_abs;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like;funding_like|positioning_like,secondary
taker_buy_sell_volume_ratio_last,positioning_like,modifier_only_seed,zmean_4h,8,0,0,L4_factor_candidate_probe,gated_sign;mean_reversion_gate;safe_div_abs;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like;funding_like|positioning_like,secondary
taker_buy_sell_volume_ratio_last,positioning_like,modifier_only_seed,zmean_8h,8,0,0,L4_factor_candidate_probe,gated_sign;mean_reversion_gate;safe_div_abs;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like;funding_like|positioning_like,secondary
trade_count,liquidity_like,modifier_only_seed,level,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,liquidity_like|volatility_like,primary
trade_open,generic_numeric,modifier_only_seed,level,8,0,0,L4_factor_candidate_probe,gated_sign;mul;safe_div_abs;smooth_mul;spread_rank;sub,basis_premium_like|generic_numeric,secondary
realized_vol_24h,volatility_like,exploratory_signal_seed,delta_12h,7,1,1,L1_single_field_transform;L2_typed_two_field_interaction,gated_sign;mul;safe_div_abs;single;smooth_mul;spread_rank;sub,price_like|volatility_like;volatility_like,primary
realized_vol_24h,volatility_like,exploratory_signal_seed,delta_1h,7,0,0,L1_single_field_transform;L2_typed_two_field_interaction,gated_sign;mul;safe_div_abs;single;smooth_mul;spread_rank;sub,price_like|volatility_like;volatility_like,primary
realized_vol_24h,volatility_like,exploratory_signal_seed,delta_2h,7,0,0,L1_single_field_transform;L2_typed_two_field_interaction,gated_sign;mul;safe_div_abs;single;smooth_mul;spread_rank;sub,price_like|volatility_like;volatility_like,primary
realized_vol_24h,volatility_like,exploratory_signal_seed,delta_4h,7,1,1,L1_single_field_transform;L2_typed_two_field_interaction,gated_sign;mul;safe_div_abs;single;smooth_mul;spread_rank;sub,price_like|volatility_like;volatility_like,primary
realized_vol_24h,volatility_like,exploratory_signal_seed,delta_8h,7,1,1,L1_single_field_transform;L2_typed_two_field_interaction,gated_sign;mul;safe_div_abs;single;smooth_mul;spread_rank;sub,price_like|volatility_like;volatility_like,primary
realized_vol_24h,volatility_like,exploratory_signal_seed,mean_12h,7,0,0,L1_single_field_transform;L2_typed_two_field_interaction,gated_sign;mul;safe_div_abs;single;smooth_mul;spread_rank;sub,price_like|volatility_like;volatility_like,primary
realized_vol_24h,volatility_like,exploratory_signal_seed,mean_1h,7,1,1,L1_single_field_transform;L2_typed_two_field_interaction,gated_sign;mul;safe_div_abs;single;smooth_mul;spread_rank;sub,price_like|volatility_like;volatility_like,primary
realized_vol_24h,volatility_like,exploratory_signal_seed,mean_2h,7,2,2,L1_single_field_transform;L2_typed_two_field_interaction,gated_sign;mul;safe_div_abs;single;smooth_mul;spread_rank;sub,price_like|volatility_like;volatility_like,primary
realized_vol_24h,volatility_like,exploratory_signal_seed,mean_4h,7,0,0,L1_single_field_transform;L2_typed_two_field_interaction,gated_sign;mul;safe_div_abs;single;smooth_mul;spread_rank;sub,price_like|volatility_like;volatility_like,primary
realized_vol_24h,volatility_like,exploratory_signal_seed,mean_8h,7,0,0,L1_single_field_transform;L2_typed_two_field_interaction,gated_sign;mul;safe_div_abs;single;smooth_mul;spread_rank;sub,price_like|volatility_like;volatility_like,primary
index_count,basis_premium_like,modifier_only_seed,delta_12h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_count,basis_premium_like,modifier_only_seed,delta_1h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_count,basis_premium_like,modifier_only_seed,delta_24h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_count,basis_premium_like,modifier_only_seed,delta_2h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_count,basis_premium_like,modifier_only_seed,delta_48h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_count,basis_premium_like,modifier_only_seed,delta_4h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_count,basis_premium_like,modifier_only_seed,delta_8h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_count,basis_premium_like,modifier_only_seed,mean_12h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_count,basis_premium_like,modifier_only_seed,mean_1h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_count,basis_premium_like,modifier_only_seed,mean_24h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_count,basis_premium_like,modifier_only_seed,mean_2h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_count,basis_premium_like,modifier_only_seed,mean_4h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_count,basis_premium_like,modifier_only_seed,mean_8h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_high,basis_premium_like,modifier_only_seed,delta_12h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_high,basis_premium_like,modifier_only_seed,delta_1h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
index_high,basis_premium_like,modifier_only_seed,delta_24h,6,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|funding_like;basis_premium_like|positioning_like,secondary
