blueprint_id,seed_lane,left_field,left_transform,operator,right_field,right_transform,label_family,label_horizon_h,expression,candidate_role,source_stage
core25e_S0_positioning_price_basis_951f65e707af42,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,decay_24h,L0_raw_forward_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_c50c99abda9388,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,decay_24h,L1_cross_sectional_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_50173eafcd94c0,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,decay_24h,L3_liquidity_tier_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_70e80071d8a65e,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,decay_24h,L0_raw_forward_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_655ef8ec805a2a,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,decay_24h,L1_cross_sectional_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_4602c765f38130,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,decay_24h,L3_liquidity_tier_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_e7f45b1c453b85,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,decay_24h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_d059531af1ab68,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,decay_24h,L1_cross_sectional_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_c53643e4fabd13,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,decay_24h,L3_liquidity_tier_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_a3edfd4fa63b8b,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,abs_zscore_168h,L0_raw_forward_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Abs(ZScore(mark_index_basis_bps)))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_aaaf7100de69f0,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,abs_zscore_168h,L1_cross_sectional_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Abs(ZScore(mark_index_basis_bps)))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_a5c9c1f07733f2,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,abs_zscore_168h,L3_liquidity_tier_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Abs(ZScore(mark_index_basis_bps)))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_8d357c5795657c,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,abs_zscore_168h,L0_raw_forward_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Abs(ZScore(mark_index_basis_bps)))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_a2b1fb41751297,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,abs_zscore_168h,L1_cross_sectional_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Abs(ZScore(mark_index_basis_bps)))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_f5a3a1603d9e4a,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,abs_zscore_168h,L3_liquidity_tier_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Abs(ZScore(mark_index_basis_bps)))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_f4e2fb8371bc8d,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,abs_zscore_168h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Abs(ZScore(mark_index_basis_bps)))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_3687cd113e31bc,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,abs_zscore_168h,L1_cross_sectional_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Abs(ZScore(mark_index_basis_bps)))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_b43f5ebe6ff8d9,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,abs_zscore_168h,L3_liquidity_tier_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Abs(ZScore(mark_index_basis_bps)))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
