object,candidate_id,expression,risk_variant,cost_tier,split,n,mean_hour,annualized_mean,std_hour,sharpe_proxy,sortino_proxy,hit_rate,additive_total,additive_max_dd,compounded_total,compounded_max_dd,min_hour,q01,q05,median,q95,month_count,positive_month_count,positive_month_rate,worst_month_sum,mean_gross_exposure,mean_turnover
funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,severe_20bp,train_2024,8736,0.00012899934031285418,1.1300342211406027,0.004369639285879114,2.7630831540485623,3.7977261996888254,0.5097298534798534,1.126938236973094,-1.7433876632144452,1.839021866014051,-0.8279834720585318,-0.029533046091697157,-0.011840292120201067,-0.006757931288212121,7.608986918306982e-05,0.006780883948939327,12,10,0.8333333333333334,-1.4308908209113997,0.4549623778156129,0.022669221332927297
funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,severe_20bp,validation_2025H1,4296,0.00022936339942551649,2.0092233789675245,0.004141463660751435,5.183490594131791,6.16534813636801,0.5526070763500931,0.9853451639320188,-0.7243394547501105,1.5812188746746614,-0.5253504690162686,-0.0447502823971958,-0.011507117524186915,-0.006029367910198713,0.00036318830954746326,0.006244665816537946,6,3,0.5,-0.21959490235919576,0.4804104904447905,0.028751241192996317
funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,severe_20bp,recent_oos_2025H2_2026Apr,7248,0.00014733895168837465,1.290689216790162,0.003272913605556842,4.213423247577052,5.900210940395487,0.5164183222958058,1.0679127218373394,-1.1993222118252225,1.798338740456463,-0.7032333196502413,-0.0254626496502755,-0.008647150366535319,-0.004792184177615834,9.881687537048164e-05,0.005220309973434186,10,8,0.8,-0.7961967971668614,0.4973348893369738,0.03157103166644849
funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,severe_20bp,fresh_forward_2026May,392,-0.0003963224013987144,-3.4717842362527382,0.003896596495836606,-9.51952411092659,-20.09262592194064,0.34183673469387754,-0.15535838134829605,-0.2942393850890148,-0.14643969975698312,-0.25541014706483267,-0.009967154576205983,-0.007732034095483633,-0.004640978431307302,-0.0005564446777107579,0.004422768414562992,1,0,0.0,-0.15535838134829602,0.5,0.033801020408163275
funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,normal_5bp,train_2024,8736,2.32051121709737e-05,0.2032767826177296,0.0035121054855152805,0.6183981387589624,0.7095941212982305,0.4033882783882784,0.20271985992562624,-0.8546518045430276,0.16052749443787917,-0.5790423503593547,-0.02631904607934848,-0.011610078617718116,-0.005218875081114049,0.0,0.004919776379151558,12,8,0.6666666666666666,-0.6675108590148776,0.387738092186886,0.014128242197024287
funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,normal_5bp,validation_2025H1,4296,0.0002323120195008183,2.0350532908271686,0.0036638171809642503,5.934579313050402,7.635009074389687,0.5337523277467412,0.9980124357755155,-0.460464571370864,1.6354784023667999,-0.37277991861716586,-0.032368091463635486,-0.010193963858936847,-0.004992038724125675,0.00017499396823850605,0.005297633627130698,6,5,0.8333333333333334,-0.27914135910999915,0.4895467163368332,0.029395365434541566
funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,normal_5bp,recent_oos_2025H2_2026Apr,7248,3.521722404124252e-05,0.3085028826012845,0.0028359110386146024,1.1622901844529998,1.5799811718801993,0.4663355408388521,0.2552544398509258,-0.6012406449289123,0.25385208203475695,-0.4549358325377053,-0.017443083536085865,-0.00809899190461195,-0.004112204235737671,0.0,0.00407814092064576,10,6,0.6,-0.4853898595220404,0.46002812238604923,0.027941584234346672
funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,normal_5bp,fresh_forward_2026May,392,-0.000131006284022653,-1.1476150480384402,0.0025446816547809383,-4.818487340442237,-8.279698929184903,0.44642857142857145,-0.05135446333687998,-0.13171686630570853,-0.051260432906675035,-0.12368607323336123,-0.006811594334626948,-0.005739745779526595,-0.004061136187211849,-0.00012554381515707055,0.003936765891104247,1,0,0.0,-0.051354463336879985,0.4846938775510204,0.02909226190476191
funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,stress_10bp,train_2024,8736,1.614099107246157e-05,0.14139508179476334,0.0035119955982767363,0.4301582805350958,0.49401999903657623,0.40201465201465203,0.14100769800902427,-0.8564568872702417,0.09107812054696329,-0.5798023466759477,-0.02631904607934848,-0.011611739848226575,-0.005222356113407475,0.0,0.004919776379151558,12,8,0.6666666666666666,-0.6688837756815443,0.387738092186886,0.014128242197024287
funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,stress_10bp,validation_2025H1,4296,0.0002176143367835475,1.9063015902238762,0.0036641552391034485,5.5586034412649195,7.165066841043624,0.5311918063314711,0.9348711908221201,-0.4705096520907426,1.474236494589685,-0.37905140999724884,-0.032368091463635486,-0.010193963858936847,-0.00500603461311863,0.00015812484395780262,0.005280346512325635,6,5,0.8333333333333334,-0.2919322731632108,0.4895467163368332,0.029395365434541566
