checkpoint_id,cell_id,strict_count,normal_count,control_count,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,turnover_class,regime_fold_target,source_field_families,pre_may_pass_normal_count,pre_may_pass_normal_rate,post_may_candidate_v3_count_stress_only,post_may_candidate_v3_rate_stress_only,negative_control_research_like_count,raw_validation_fail_rate,raw_recent_fail_rate,cost20_recent_fail_rate,lag1_recent_fail_rate,residual_funding_recent_fail_rate,may_stress_veto_rate_stress_only,liquidity_volatility_share,policy_uses_may,recommended_action,priority,w2_registry_candidate,primary_reason,registry_score_non_may,registry_tier,registry_rank,liquidity_volatility_cell,may_used_for_registry_score,may_used_for_registry_selection,quarantine_status
6,C0364,24,24,0,H07_taker_flow_lag_stable,P6_funding_observable,SafeDivZScore,spread_6_vs_24,cross_symbol_zscore,FundingCore_and_Core4,low_turnover,F5_funding_neutral,funding,8,0.3333333333333333,2,0.0833333333333333,0,0.375,0.375,0.4166666666666667,0.375,0.375,0.6666666666666666,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.11250000000000002,primary_control_clean_non_may_robust,40,False,False,False,allowed_control_clean
3,C0147,24,24,0,H02_cross_symbol_dispersion_reversal,P3_trade_size,ZScore,H72,cross_symbol_rank,none,medium_turnover,F9_liquidity_shock,liquidity,9,0.375,4,0.1666666666666666,0,0.1666666666666666,0.5,0.5,0.4166666666666667,0.4166666666666667,0.5,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.11666666666666667,primary_control_clean_non_may_robust,41,False,False,False,allowed_control_clean
6,C0355,24,24,0,H07_taker_flow_lag_stable,P5_basis_premium,RollingMaxRank,H48,same_symbol_zscore,FundingCore_and_Core4,low_turnover,F3_high_liquidity_high_vol,basis,8,0.3333333333333333,2,0.0833333333333333,0,0.4166666666666667,0.375,0.4166666666666667,0.375,0.375,0.5,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.11666666666666668,primary_control_clean_non_may_robust,42,False,False,False,allowed_control_clean
6,C0350,24,24,0,H08_trade_size_microstructure_lite,P1_range_volatility,NegRank,mixed_6_24,same_symbol_rank,FundingCore,lag_stable,F8_low_vol_high_liquidity,volatility,8,0.3333333333333333,1,0.0416666666666666,0,0.4166666666666667,0.375,0.4583333333333333,0.375,0.3333333333333333,0.6666666666666666,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.12083333333333332,primary_control_clean_non_may_robust,43,False,False,False,allowed_control_clean
3,C0137,24,24,0,H06_liquidity_structure_ex_realized_vol_mul,P7_cross_symbol_relative,SafeDivZScore,H48,cross_symbol_rank,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,basis;price,8,0.3333333333333333,2,0.0833333333333333,0,0.5,0.375,0.5,0.375,0.25,0.8333333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.12291666666666666,primary_control_clean_non_may_robust,44,False,False,False,allowed_control_clean
5,C0269,24,24,0,H14_open_ast_cem_diversity,P3_trade_size,RollingMinRank,H72,same_symbol_rank,none,low_turnover,F11_cross_symbol_crowding,liquidity,8,0.3333333333333333,1,0.0416666666666666,0,0.2916666666666667,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.5,0.7916666666666666,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.12500000000000003,primary_control_clean_non_may_robust,45,False,False,False,allowed_control_clean
1,C0007,24,24,0,H06_liquidity_structure_ex_realized_vol_mul,P7_cross_symbol_relative,SafeDivZScore,H72,cross_symbol_rank,FundingCore,lag_stable,F4_basis_dislocation,basis;price,6,0.25,2,0.0833333333333333,0,0.6666666666666666,0.25,0.375,0.2916666666666667,0.25,0.75,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.13749999999999996,primary_control_clean_non_may_robust,46,False,False,False,allowed_control_clean
2,C0083,24,24,0,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,TSMeanRank,H72,same_symbol_rank,FundingCore,low_turnover,F9_liquidity_shock,price;volatility,6,0.25,0,0.0,0,0.2916666666666667,0.3333333333333333,0.4583333333333333,0.2916666666666667,0.2916666666666667,0.9166666666666666,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.14791666666666667,primary_control_clean_non_may_robust,47,False,False,False,allowed_control_clean
3,C0140,24,24,0,H10_range_breakout_failure,P1_range_volatility,SafeDivZScore,H72,cross_symbol_rank,none,low_turnover,F9_liquidity_shock,volatility,10,0.4166666666666667,1,0.0416666666666666,0,0.5416666666666666,0.5,0.5,0.5,0.5,0.875,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.16249999999999998,primary_control_clean_non_may_robust,48,False,False,False,allowed_control_clean
2,C0078,24,24,0,H12_horizon_ensemble_stability,P0_price_return,SafeDivZScore,H72,same_symbol_zscore,none,medium_turnover,F10_volatility_compression,price,8,0.3333333333333333,5,0.2083333333333333,0,0.3333333333333333,0.4583333333333333,0.5,0.4583333333333333,0.5,0.625,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.20625,primary_control_clean_non_may_robust,49,False,False,False,allowed_control_clean
