derived_feature_id,production_family,base_fields,base_field_families,transform,window_hours,requires_agg_features_available_mask,feature_available_lag_bars,cross_symbol_scope,zero_fill_allowed,missing_as_signal_allowed,same_hour_execution_allowed
Delta_8h__agg_buy_notional_share,rolling_self_reproduction,agg_buy_notional_share,flow,Delta,8,True,8,same_symbol,False,False,False
Delta_8h__agg_buy_quantity,rolling_self_reproduction,agg_buy_quantity,flow,Delta,8,True,8,same_symbol,False,False,False
Delta_8h__agg_buy_sell_notional_ratio,rolling_self_reproduction,agg_buy_sell_notional_ratio,flow,Delta,8,True,8,same_symbol,False,False,False
Delta_8h__agg_buy_underlying_trade_count,rolling_self_reproduction,agg_buy_underlying_trade_count,flow,Delta,8,True,8,same_symbol,False,False,False
Delta_4h__agg_large_count_share_100k_plus,rolling_self_reproduction,agg_large_count_share_100k_plus,large_trade,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_large_notional_100k_plus,rolling_self_reproduction,agg_large_notional_100k_plus,large_trade,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_large_notional_ratio_100k_plus,rolling_self_reproduction,agg_large_notional_ratio_100k_plus,large_trade,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_large_notional_share_100k_plus,rolling_self_reproduction,agg_large_notional_share_100k_plus,large_trade,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_large_trade_count_100k_plus,rolling_self_reproduction,agg_large_trade_count_100k_plus,large_trade,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_large_trade_count_ratio_100k_plus,rolling_self_reproduction,agg_large_trade_count_ratio_100k_plus,large_trade,Delta,4,True,4,same_symbol,False,False,False
RollingMax_4h__agg_large_count_share_100k_plus,rolling_self_reproduction,agg_large_count_share_100k_plus,large_trade,RollingMax,4,True,4,same_symbol,False,False,False
RollingMax_4h__agg_large_notional_100k_plus,rolling_self_reproduction,agg_large_notional_100k_plus,large_trade,RollingMax,4,True,4,same_symbol,False,False,False
RollingMax_4h__agg_large_notional_ratio_100k_plus,rolling_self_reproduction,agg_large_notional_ratio_100k_plus,large_trade,RollingMax,4,True,4,same_symbol,False,False,False
RollingMax_4h__agg_large_notional_share_100k_plus,rolling_self_reproduction,agg_large_notional_share_100k_plus,large_trade,RollingMax,4,True,4,same_symbol,False,False,False
RollingMax_4h__agg_large_trade_count_100k_plus,rolling_self_reproduction,agg_large_trade_count_100k_plus,large_trade,RollingMax,4,True,4,same_symbol,False,False,False
RollingMax_4h__agg_large_trade_count_ratio_100k_plus,rolling_self_reproduction,agg_large_trade_count_ratio_100k_plus,large_trade,RollingMax,4,True,4,same_symbol,False,False,False
RollingMax_8h__agg_large_count_share_100k_plus,rolling_self_reproduction,agg_large_count_share_100k_plus,large_trade,RollingMax,8,True,8,same_symbol,False,False,False
RollingMax_8h__agg_large_notional_100k_plus,rolling_self_reproduction,agg_large_notional_100k_plus,large_trade,RollingMax,8,True,8,same_symbol,False,False,False
RollingMax_8h__agg_large_notional_ratio_100k_plus,rolling_self_reproduction,agg_large_notional_ratio_100k_plus,large_trade,RollingMax,8,True,8,same_symbol,False,False,False
RollingMax_8h__agg_large_notional_share_100k_plus,rolling_self_reproduction,agg_large_notional_share_100k_plus,large_trade,RollingMax,8,True,8,same_symbol,False,False,False
RollingMax_8h__agg_large_trade_count_100k_plus,rolling_self_reproduction,agg_large_trade_count_100k_plus,large_trade,RollingMax,8,True,8,same_symbol,False,False,False
RollingMax_8h__agg_large_trade_count_ratio_100k_plus,rolling_self_reproduction,agg_large_trade_count_ratio_100k_plus,large_trade,RollingMax,8,True,8,same_symbol,False,False,False
RollingMax_12h__agg_large_count_share_100k_plus,rolling_self_reproduction,agg_large_count_share_100k_plus,large_trade,RollingMax,12,True,12,same_symbol,False,False,False
RollingMax_12h__agg_large_notional_100k_plus,rolling_self_reproduction,agg_large_notional_100k_plus,large_trade,RollingMax,12,True,12,same_symbol,False,False,False
RollingMax_12h__agg_large_notional_ratio_100k_plus,rolling_self_reproduction,agg_large_notional_ratio_100k_plus,large_trade,RollingMax,12,True,12,same_symbol,False,False,False
RollingMax_12h__agg_large_notional_share_100k_plus,rolling_self_reproduction,agg_large_notional_share_100k_plus,large_trade,RollingMax,12,True,12,same_symbol,False,False,False
RollingMax_4h__agg_avg_underlying_trades_per_agg,rolling_self_reproduction,agg_avg_underlying_trades_per_agg,other,RollingMax,4,True,4,same_symbol,False,False,False
RollingMax_4h__agg_first_agg_trade_id,rolling_self_reproduction,agg_first_agg_trade_id,other,RollingMax,4,True,4,same_symbol,False,False,False
