candidate_id,expression,objective_family,source_stage,field_families,fields,operator_signature,window_signature,skeleton_key,production_key,historical_source_ok,field_lineage_ok,pit_policy_ok,negative_control_attached,selected_for_z2_materialization,preflight_decision,shared_pool_stage,control_modes,static_valid,eval_success,finite_share,nonzero_share,activity_ok,min_value,max_value,error,selected_by_z2r,was_z1_selected
a7al2z1_15a4669eff9c2869,"Neg(Rank(Delta(index_close,24)))",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,price,index_close,Delta|Neg|Rank,24,skeleton-0e746cb1116b151b,a7al2z1::Z1_price_range_volatility_structure::index_close::Delta|Neg|Rank::24,True,True,True,True,False,,dry_generated_non_oi,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9974038842647641,1.0,True,-1.0,-0.010416666666666666,,True,False
a7al2z1_2b6e448dc85041e6,"Neg(Rank(Delta(index_close,48)))",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,price,index_close,Delta|Neg|Rank,48,skeleton-0e746cb1116b151b,a7al2z1::Z1_price_range_volatility_structure::index_close::Delta|Neg|Rank::48,True,True,True,True,False,,dry_generated_non_oi,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9962386048355133,1.0,True,-1.0,-0.010416666666666666,,True,False
a7al2z1_9481b2170c90544c,"Sub(Rank(kline_taker_buy_quote_share),Rank(taker_buy_sell_volume_ratio_last))",Z2_liquidity_taker_microstructure_lite,a7al2z1_broader_non_oi_dry_generation,taker_flow,kline_taker_buy_quote_share|taker_buy_sell_volume_ratio_last,Rank|Sub,,skeleton-2b903f140c47221a,a7al2z1::Z2_liquidity_taker_microstructure_lite::kline_taker_buy_quote_share|taker_buy_sell_volume_ratio_last::Rank|Sub::,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9987713040031708,0.9845628794793444,True,-0.9895833333333334,0.9895833333333334,,True,True
a7al2z1_06158e66c283198d,"Mul(Winsor(ZScore(Delta(trade_quote_volume,12))),Neg(Winsor(ZScore(Delta(trade_close,12)))))",Z2_liquidity_taker_microstructure_lite,a7al2z1_broader_non_oi_dry_generation,liquidity|price,trade_close|trade_quote_volume,Delta|Mul|Neg|Winsor|ZScore,12,skeleton-2f7931a1701c8dd4,a7al2z1::Z2_liquidity_taker_microstructure_lite::trade_close|trade_quote_volume::Delta|Mul|Neg|Winsor|ZScore::12,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9987237415774871,1.0,True,-25.0,25.0,,True,True
a7al2z1_05bbcd80f3bb1f84,"Rank(Mean(taker_buy_sell_volume_ratio_last,6))",Z2_liquidity_taker_microstructure_lite,a7al2z1_broader_non_oi_dry_generation,taker_flow,taker_buy_sell_volume_ratio_last,Mean|Rank,6,skeleton-361a8342adc82420,a7al2z1::Z2_liquidity_taker_microstructure_lite::taker_buy_sell_volume_ratio_last::Mean|Rank::6,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9983908045977011,1.0,True,0.010416666666666666,1.0,,True,True
a7al2z1_031574ff37957433,"Rank(Delta(kline_taker_buy_quote_share,168))",Z2_liquidity_taker_microstructure_lite,a7al2z1_broader_non_oi_dry_generation,taker_flow,kline_taker_buy_quote_share,Delta|Rank,168,skeleton-377d45dadd905908,a7al2z1::Z2_liquidity_taker_microstructure_lite::kline_taker_buy_quote_share::Delta|Rank::168,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9912088783194609,1.0,True,0.010416666666666666,1.0,,True,True
a7al2z1_29d77b76d08d3067,"SafeDiv(taker_buy_quote_volume,trade_quote_volume)",Z2_liquidity_taker_microstructure_lite,a7al2z1_broader_non_oi_dry_generation,liquidity|taker_flow,taker_buy_quote_volume|trade_quote_volume,SafeDiv,,skeleton-50d91eb323c86baa,a7al2z1::Z2_liquidity_taker_microstructure_lite::taker_buy_quote_volume|trade_quote_volume::SafeDiv::,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9992469282600079,0.9999990083693626,True,0.0,0.9734674174909045,,True,True
a7al2z1_0ee6ab4ec3285d14,"Rank(Abs(ZScore(Delta(kline_taker_buy_quote_share,168))))",Z2_liquidity_taker_microstructure_lite,a7al2z1_broader_non_oi_dry_generation,taker_flow,kline_taker_buy_quote_share,Abs|Delta|Rank|ZScore,168,skeleton-8a6cec079a5f7997,a7al2z1::Z2_liquidity_taker_microstructure_lite::kline_taker_buy_quote_share::Abs|Delta|Rank|ZScore::168,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9912088783194609,1.0,True,0.010416666666666666,1.0,,True,True
a7al2z1_1af0afda743e28ac,"Sub(Rank(Delta(trade_volume,48)),Rank(Delta(trade_close,24)))",Z2_liquidity_taker_microstructure_lite,a7al2z1_broader_non_oi_dry_generation,liquidity|price,trade_close|trade_volume,Delta|Rank|Sub,24|48,skeleton-8ad46b9059e6381f,a7al2z1::Z2_liquidity_taker_microstructure_lite::trade_close|trade_volume::Delta|Rank|Sub::24|48,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9970114942528736,0.9888723136126195,True,-0.9895833333333334,0.9895833333333334,,True,True
a7al2z1_0115d3dbe93c2618,"GroupNeutralize(Rank(Delta(taker_buy_sell_volume_ratio_last,24)),R3_liquidity_cycle_state)",Z2_liquidity_taker_microstructure_lite,a7al2z1_broader_non_oi_dry_generation,state|taker_flow,R3_liquidity_cycle_state|taker_buy_sell_volume_ratio_last,Delta|GroupNeutralize|Rank,24,skeleton-93ce4b9755fbcc1f,a7al2z1::Z2_liquidity_taker_microstructure_lite::R3_liquidity_cycle_state|taker_buy_sell_volume_ratio_last::Delta|GroupNeutralize|Rank::24,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9686642885453824,0.9999243025606194,True,-0.49479166666666713,0.4947916666666671,,True,True
