candidate_id,arm,split,funding_beta,funding_corr,core4_beta,core4_corr
i0_basis_premium_042,I0_basis_premium,validation_2025H1,-0.04763887374861862,-0.05138562222889198,-0.025994379300498555,-0.024171034090000165
i0_basis_premium_042,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.009355457079429823,-0.01069542509747294,-0.014312038983242103,-0.013998194434258147
i0_basis_premium_042,I0_basis_premium,fresh_forward_2026May,-0.03342376446742436,-0.040139399305051976,-0.032543770855204934,-0.03837441680386364
i0_basis_premium_043,I0_basis_premium,validation_2025H1,0.09831493073201175,0.08265884187646949,0.1855002891298015,0.13444667755584294
i0_basis_premium_043,I0_basis_premium,recent_oos_2025H2_2026Apr,0.09239095421199332,0.07883067869374834,0.16693362949811866,0.12185605673524275
i0_basis_premium_043,I0_basis_premium,fresh_forward_2026May,0.14684373368110193,0.12372920760108627,0.18018721428113044,0.14907306903518802
i0_basis_premium_044,I0_basis_premium,validation_2025H1,0.09986225591956178,0.11650402006404711,0.06380423754510657,0.06416891659138554
i0_basis_premium_044,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.00392517214249813,-0.005057060157371081,0.018138192458077997,0.019992674201725416
i0_basis_premium_044,I0_basis_premium,fresh_forward_2026May,0.18196272595427826,0.23036329423670907,0.16173454004805823,0.2010444239334951
i0_basis_premium_045,I0_basis_premium,validation_2025H1,-0.025332530026901008,-0.0198273687265709,-0.009749459762592434,-0.006578133958197903
i0_basis_premium_045,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.06849494198818791,-0.054764150451490384,-0.03876560055011134,-0.02651684440157988
i0_basis_premium_045,I0_basis_premium,fresh_forward_2026May,-0.13340332823778023,-0.10266959948039413,-0.10056417405134511,-0.0759935796727555
i0_basis_premium_046,I0_basis_premium,validation_2025H1,0.0169039670246743,0.018811121420403518,0.11949694668631106,0.11463533472374443
i0_basis_premium_046,I0_basis_premium,recent_oos_2025H2_2026Apr,0.018917565308657475,0.022979580320162594,0.06019370866013005,0.06255548908707395
i0_basis_premium_046,I0_basis_premium,fresh_forward_2026May,-0.10957675282502768,-0.12924497910190294,-0.18499587979951318,-0.21424747806173972
i0_basis_premium_047,I0_basis_premium,validation_2025H1,0.14013161207128044,0.11855821215219765,0.10063693577103133,0.07339873467280526
i0_basis_premium_047,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.047175292447662984,-0.04313809309074697,-0.06424787691117377,-0.050262327333589436
i0_basis_premium_047,I0_basis_premium,fresh_forward_2026May,0.017532109561631874,0.013936002716171715,0.0825520920629831,0.06443035710852628
i0_basis_premium_048,I0_basis_premium,validation_2025H1,-0.10291718529034825,-0.10249238826095101,-0.06695999679196335,-0.057485032628482195
i0_basis_premium_048,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.048423844834353844,-0.05403580386029727,-0.027461831923394246,-0.02621738207403204
i0_basis_premium_048,I0_basis_premium,fresh_forward_2026May,-0.3208719224017285,-0.33081855555642087,-0.3778343642126035,-0.3824881704273636
i0_basis_premium_049,I0_basis_premium,validation_2025H1,0.19692981311305796,0.16189011568947917,0.36997284586869583,0.2621889352367515
i0_basis_premium_049,I0_basis_premium,recent_oos_2025H2_2026Apr,0.18302877712848944,0.1559897410805984,0.3058480739864805,0.22300771110451298
i0_basis_premium_049,I0_basis_premium,fresh_forward_2026May,0.05733359860150058,0.04789790885522087,-0.11340491750880131,-0.09302456482454634
