cell_id,ordinal,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,regime_fold_target,expression,bucketed_expression,max_window,horizon_bucket
C0076,0,H03_basis_premium_residual,P2_liquidity,AddZScore,spread_6_vs_24,same_symbol_zscore,none,F0_calendar_blocks,"TSMean(Add(ZScore(TSMean(quote_asset_volume,3)),ZScore(TSMean(quote_volume_mean_12,5))),3)","TSMean(Add(ZScore(TSMean(quote_asset_volume,H6)),ZScore(TSMean(quote_volume_mean_12,H6))),H6)",5,H6
C0076,1,H03_basis_premium_residual,P2_liquidity,AddZScore,spread_6_vs_24,same_symbol_zscore,none,F0_calendar_blocks,"Rank(TSMean(Add(ZScore(TSMean(number_of_trades,4)),ZScore(TSMean(quote_asset_volume,12))),4))","Rank(TSMean(Add(ZScore(TSMean(number_of_trades,H6)),ZScore(TSMean(quote_asset_volume,H12))),H6))",12,H12
C0077,0,H09_trend_reversal_horizon_mix,P4_taker_flow,ClipRank,H24,cross_symbol_zscore,FundingCore_and_Core4,F0_calendar_blocks,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Clip(Rank(TSMean(taker_buy_ratio,3)),-1.5,1.5),3))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Clip(Rank(TSMean(taker_buy_ratio,H6)),-1.5,1.5),H6))))",3,H6
C0077,1,H09_trend_reversal_horizon_mix,P4_taker_flow,ClipRank,H24,cross_symbol_zscore,FundingCore_and_Core4,F0_calendar_blocks,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Clip(Rank(TSMean(taker_imbalance,4)),-2.0,2.0),4)))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Clip(Rank(TSMean(taker_imbalance,H6)),-2.0,2.0),H6)))))",4,H6
C0078,0,H12_horizon_ensemble_stability,P0_price_return,SafeDivZScore,H72,same_symbol_zscore,none,F10_volatility_compression,"TSMean(SafeDiv(ZScore(TSMean(ret_3,3)),Clip(Abs(ZScore(TSMean(ret_24,5))),0.02,1.5)),3)","TSMean(SafeDiv(ZScore(TSMean(ret_3,H6)),Clip(Abs(ZScore(TSMean(ret_24,H6))),0.02,1.5)),H6)",5,H6
C0078,1,H12_horizon_ensemble_stability,P0_price_return,SafeDivZScore,H72,same_symbol_zscore,none,F10_volatility_compression,"Rank(TSMean(SafeDiv(ZScore(TSMean(ret_6,4)),Clip(Abs(ZScore(TSMean(ret_12,12))),0.05,2.0)),4))","Rank(TSMean(SafeDiv(ZScore(TSMean(ret_6,H6)),Clip(Abs(ZScore(TSMean(ret_12,H12))),0.05,2.0)),H6))",12,H12
C0079,0,H00_low_turnover_robust,P10_price_liquidity,NegRank,H6,same_symbol_rank,Core4,F4_basis_dislocation,"ResidualizeVsCore4(TSMean(Neg(Rank(Decay(ret_6,3))),3))","ResidualizeVsCore4(TSMean(Neg(Rank(Decay(ret_6,H6))),H6))",3,H6
C0079,1,H00_low_turnover_robust,P10_price_liquidity,NegRank,H6,same_symbol_rank,Core4,F4_basis_dislocation,"ResidualizeVsCore4(Rank(TSMean(Neg(Rank(Decay(ret_12,4))),4)))","ResidualizeVsCore4(Rank(TSMean(Neg(Rank(Decay(ret_12,H6))),H6)))",4,H6
C0080,0,H03_basis_premium_residual,P6_funding_observable,SmoothInteraction,spread_12_vs_48,cross_symbol_rank,FundingCore_and_Core4,F2_low_liquidity,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Mul(ZScore(TSMean(latest_known_funding_rate,3)),Rank(TSMean(funding_rate_persistence_3,5))),3))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Mul(ZScore(TSMean(latest_known_funding_rate,H6)),Rank(TSMean(funding_rate_persistence_3,H6))),H6))))",5,H6
C0080,1,H03_basis_premium_residual,P6_funding_observable,SmoothInteraction,spread_12_vs_48,cross_symbol_rank,FundingCore_and_Core4,F2_low_liquidity,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Mul(ZScore(TSMean(funding_rate_z_24,4)),Rank(TSMean(funding_rate_z_24,12))),4)))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Mul(ZScore(TSMean(funding_rate_z_24,H6)),Rank(TSMean(funding_rate_z_24,H12))),H6)))))",12,H12
C0081,0,H03_basis_premium_residual,P7_cross_symbol_relative,ResidualizeVsFundingCore,spread_12_vs_48,same_symbol_rank,FundingCore,F8_low_vol_high_liquidity,"ResidualizeVsFundingCore(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(cs_z_ret_6,3)),ZScore(TSMean(cs_z_premium_index,5)))),3))","ResidualizeVsFundingCore(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(cs_z_ret_6,H6)),ZScore(TSMean(cs_z_premium_index,H6)))),H6))",5,H6
C0081,1,H03_basis_premium_residual,P7_cross_symbol_relative,ResidualizeVsFundingCore,spread_12_vs_48,same_symbol_rank,FundingCore,F8_low_vol_high_liquidity,"ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(cs_z_ret_12,4)),ZScore(TSMean(cs_z_ret_6,12)))),4)))","ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(cs_z_ret_12,H6)),ZScore(TSMean(cs_z_ret_6,H12)))),H6)))",12,H12
C0082,0,H01_cross_symbol_relative_strength,P12_liquidity_flow,SubRank,H72,same_symbol_zscore,none,F6_cross_symbol_dispersion,"TSMean(Sub(Rank(TSMean(quote_volume_mean_12,3)),Rank(TSMean(taker_buy_ratio,5))),3)","TSMean(Sub(Rank(TSMean(quote_volume_mean_12,H6)),Rank(TSMean(taker_buy_ratio,H6))),H6)",5,H6
C0082,1,H01_cross_symbol_relative_strength,P12_liquidity_flow,SubRank,H72,same_symbol_zscore,none,F6_cross_symbol_dispersion,"Rank(TSMean(Sub(Rank(TSMean(quote_volume_mean_24,4)),Rank(TSMean(taker_imbalance,12))),4))","Rank(TSMean(Sub(Rank(TSMean(quote_volume_mean_24,H6)),Rank(TSMean(taker_imbalance,H12))),H6))",12,H12
C0083,0,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,TSMeanRank,H72,same_symbol_rank,FundingCore,F9_liquidity_shock,"ResidualizeVsFundingCore(TSMean(Rank(TSMean(ret_6,3)),3))","ResidualizeVsFundingCore(TSMean(Rank(TSMean(ret_6,H6)),H6))",3,H6
C0083,1,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,TSMeanRank,H72,same_symbol_rank,FundingCore,F9_liquidity_shock,"ResidualizeVsFundingCore(Rank(TSMean(Rank(TSMean(ret_12,4)),4)))","ResidualizeVsFundingCore(Rank(TSMean(Rank(TSMean(ret_12,H6)),H6)))",4,H6
C0084,0,H11_regime_conditional_non_may,P3_trade_size,ResidualizeVsCore4,H6,same_symbol_rank,FundingCore_and_Core4,F1_high_realized_vol,"ResidualizeVsCore4(ResidualizeVsFundingCore(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(avg_trade_size_quote,3)),ZScore(TSMean(quote_asset_volume,5)))),3)))","ResidualizeVsCore4(ResidualizeVsFundingCore(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(avg_trade_size_quote,H6)),ZScore(TSMean(quote_asset_volume,H6)))),H6)))",5,H6
C0084,1,H11_regime_conditional_non_may,P3_trade_size,ResidualizeVsCore4,H6,same_symbol_rank,FundingCore_and_Core4,F1_high_realized_vol,"ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(number_of_trades,4)),ZScore(TSMean(number_of_trades,12)))),4))))","ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(number_of_trades,H6)),ZScore(TSMean(number_of_trades,H12)))),H6))))",12,H12
C0085,0,H15_placebo_null_adversarial,P6_funding_observable,TSMeanRank,mixed_12_48,cross_symbol_zscore,none,F6_cross_symbol_dispersion,"cross_symbol_zscore(TSMean(Rank(TSMean(latest_known_funding_rate,3)),3))","cross_symbol_zscore(TSMean(Rank(TSMean(latest_known_funding_rate,H6)),H6))",3,H6
C0085,1,H15_placebo_null_adversarial,P6_funding_observable,TSMeanRank,mixed_12_48,cross_symbol_zscore,none,F6_cross_symbol_dispersion,"cross_symbol_zscore(Rank(TSMean(Rank(TSMean(funding_rate_z_24,4)),4)))","cross_symbol_zscore(Rank(TSMean(Rank(TSMean(funding_rate_z_24,H6)),H6)))",4,H6
C0086,0,H04_basis_compression_expansion,P7_cross_symbol_relative,TSMeanRank,H6,cross_symbol_zscore,none,F1_high_realized_vol,"cross_symbol_zscore(TSMean(Rank(TSMean(cs_z_ret_6,3)),3))","cross_symbol_zscore(TSMean(Rank(TSMean(cs_z_ret_6,H6)),H6))",3,H6
C0086,1,H04_basis_compression_expansion,P7_cross_symbol_relative,TSMeanRank,H6,cross_symbol_zscore,none,F1_high_realized_vol,"cross_symbol_zscore(Rank(TSMean(Rank(TSMean(cs_z_ret_12,4)),4)))","cross_symbol_zscore(Rank(TSMean(Rank(TSMean(cs_z_ret_12,H6)),H6)))",4,H6
C0087,0,H13_symbol_tier_relative,P9_price_basis,ResidualizeVsCore4,mixed_6_24,same_symbol_rank,Core4,F3_high_liquidity_high_vol,"ResidualizeVsCore4(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_6,3)),ZScore(TSMean(premium_index,5)))),3))","ResidualizeVsCore4(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_6,H6)),ZScore(TSMean(premium_index,H6)))),H6))",5,H6
C0087,1,H13_symbol_tier_relative,P9_price_basis,ResidualizeVsCore4,mixed_6_24,same_symbol_rank,Core4,F3_high_liquidity_high_vol,"ResidualizeVsCore4(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_12,4)),ZScore(TSMean(mark_index_ratio,12)))),4)))","ResidualizeVsCore4(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_12,H6)),ZScore(TSMean(mark_index_ratio,H12)))),H6)))",12,H12
C0088,0,H14_open_ast_cem_diversity,P13_trade_size_volatility,TSStdZScore,H12,same_symbol_rank,none,F1_high_realized_vol,"TSMean(ZScore(TSStd(avg_trade_size_quote,3)),3)","TSMean(ZScore(TSStd(avg_trade_size_quote,H6)),H6)",3,H6
C0088,1,H14_open_ast_cem_diversity,P13_trade_size_volatility,TSStdZScore,H12,same_symbol_rank,none,F1_high_realized_vol,"Rank(TSMean(ZScore(TSStd(number_of_trades,4)),4))","Rank(TSMean(ZScore(TSStd(number_of_trades,H6)),H6))",4,H6
C0089,0,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,ClipRank,spread_12_vs_48,cross_symbol_zscore,FundingCore,F7_trend_reversal,"ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Clip(Rank(TSMean(ret_6,3)),-1.5,1.5),3)))","ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Clip(Rank(TSMean(ret_6,H6)),-1.5,1.5),H6)))",3,H6
C0089,1,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,ClipRank,spread_12_vs_48,cross_symbol_zscore,FundingCore,F7_trend_reversal,"ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Clip(Rank(TSMean(ret_12,4)),-2.0,2.0),4))))","ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Clip(Rank(TSMean(ret_12,H6)),-2.0,2.0),H6))))",4,H6
C0090,0,H12_horizon_ensemble_stability,P1_range_volatility,RollingMaxRank,H12,cross_symbol_rank,FundingCore,F2_low_liquidity,"ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Rank(RollingMax(hl_range,3)),3)))","ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Rank(RollingMax(hl_range,H6)),H6)))",3,H6
C0090,1,H12_horizon_ensemble_stability,P1_range_volatility,RollingMaxRank,H12,cross_symbol_rank,FundingCore,F2_low_liquidity,"ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Rank(RollingMax(realized_vol_6,4)),4))))","ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Rank(RollingMax(realized_vol_6,H6)),H6))))",4,H6
C0091,0,H14_open_ast_cem_diversity,P7_cross_symbol_relative,HorizonSpread,H72,same_symbol_rank,none,F4_basis_dislocation,"TSMean(Sub(Rank(TSMean(cs_z_ret_6,3)),Rank(TSMean(cs_z_ret_6,5))),3)","TSMean(Sub(Rank(TSMean(cs_z_ret_6,H6)),Rank(TSMean(cs_z_ret_6,H6))),H6)",5,H6
C0091,1,H14_open_ast_cem_diversity,P7_cross_symbol_relative,HorizonSpread,H72,same_symbol_rank,none,F4_basis_dislocation,"Rank(TSMean(Sub(Rank(TSMean(cs_z_ret_12,4)),Rank(TSMean(cs_z_ret_12,12))),4))","Rank(TSMean(Sub(Rank(TSMean(cs_z_ret_12,H6)),Rank(TSMean(cs_z_ret_12,H12))),H6))",12,H12
C0092,0,H12_horizon_ensemble_stability,P4_taker_flow,TSMeanRank,H12,cross_symbol_rank,FundingCore,F7_trend_reversal,"ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Rank(TSMean(taker_buy_ratio,3)),3)))","ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Rank(TSMean(taker_buy_ratio,H6)),H6)))",3,H6
C0092,1,H12_horizon_ensemble_stability,P4_taker_flow,TSMeanRank,H12,cross_symbol_rank,FundingCore,F7_trend_reversal,"ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Rank(TSMean(taker_imbalance,4)),4))))","ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Rank(TSMean(taker_imbalance,H6)),H6))))",4,H6
C0093,0,H15_placebo_null_adversarial,P10_price_liquidity,DecayZScore,H6,cross_symbol_zscore,none,F5_funding_neutral,"cross_symbol_zscore(TSMean(ZScore(Decay(ret_6,3)),3))","cross_symbol_zscore(TSMean(ZScore(Decay(ret_6,H6)),H6))",3,H6
C0093,1,H15_placebo_null_adversarial,P10_price_liquidity,DecayZScore,H6,cross_symbol_zscore,none,F5_funding_neutral,"cross_symbol_zscore(Rank(TSMean(ZScore(Decay(ret_12,4)),4)))","cross_symbol_zscore(Rank(TSMean(ZScore(Decay(ret_12,H6)),H6)))",4,H6
C0094,0,H05_volatility_structure_ex_liquidity_mul,P10_price_liquidity,HorizonSpread,H48,cross_symbol_rank,FundingCore,F0_calendar_blocks,"ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Sub(Rank(TSMean(ret_6,3)),Rank(TSMean(ret_6,5))),3)))","ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Sub(Rank(TSMean(ret_6,H6)),Rank(TSMean(ret_6,H6))),H6)))",5,H6
C0094,1,H05_volatility_structure_ex_liquidity_mul,P10_price_liquidity,HorizonSpread,H48,cross_symbol_rank,FundingCore,F0_calendar_blocks,"ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Sub(Rank(TSMean(ret_12,4)),Rank(TSMean(ret_12,12))),4))))","ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Sub(Rank(TSMean(ret_12,H6)),Rank(TSMean(ret_12,H12))),H6))))",12,H12
C0095,0,H07_taker_flow_lag_stable,P8_regime_state,RollingMaxRank,H6,cross_symbol_rank,FundingCore_and_Core4,F8_low_vol_high_liquidity,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Rank(RollingMax(realized_vol_24,3)),3))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Rank(RollingMax(realized_vol_24,H6)),H6))))",3,H6
C0095,1,H07_taker_flow_lag_stable,P8_regime_state,RollingMaxRank,H6,cross_symbol_rank,FundingCore_and_Core4,F8_low_vol_high_liquidity,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Rank(RollingMax(quote_volume_mean_24,4)),4)))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Rank(RollingMax(quote_volume_mean_24,H6)),H6)))))",4,H6
C0096,0,H06_liquidity_structure_ex_realized_vol_mul,P10_price_liquidity,MulRankZScore,ensemble_6_12_24_48,cross_symbol_zscore,FundingCore_and_Core4,F5_funding_neutral,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Mul(Rank(TSMean(ret_6,3)),ZScore(Decay(quote_volume_mean_24,5))),3))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Mul(Rank(TSMean(ret_6,H6)),ZScore(Decay(quote_volume_mean_24,H6))),H6))))",5,H6
C0096,1,H06_liquidity_structure_ex_realized_vol_mul,P10_price_liquidity,MulRankZScore,ensemble_6_12_24_48,cross_symbol_zscore,FundingCore_and_Core4,F5_funding_neutral,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Mul(Rank(TSMean(ret_12,4)),ZScore(Decay(quote_volume_mean_12,12))),4)))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Mul(Rank(TSMean(ret_12,H6)),ZScore(Decay(quote_volume_mean_12,H12))),H6)))))",12,H12
C0097,0,H11_regime_conditional_non_may,P9_price_basis,HorizonSpread,H24,cross_symbol_rank,FundingCore,F0_calendar_blocks,"ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Sub(Rank(TSMean(ret_6,3)),Rank(TSMean(ret_6,5))),3)))","ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Sub(Rank(TSMean(ret_6,H6)),Rank(TSMean(ret_6,H6))),H6)))",5,H6
C0097,1,H11_regime_conditional_non_may,P9_price_basis,HorizonSpread,H24,cross_symbol_rank,FundingCore,F0_calendar_blocks,"ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Sub(Rank(TSMean(ret_12,4)),Rank(TSMean(ret_12,12))),4))))","ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Sub(Rank(TSMean(ret_12,H6)),Rank(TSMean(ret_12,H12))),H6))))",12,H12
C0098,0,H13_symbol_tier_relative,P12_liquidity_flow,AddZScore,mixed_6_24,same_symbol_zscore,none,F7_trend_reversal,"TSMean(Add(ZScore(TSMean(quote_volume_mean_12,3)),ZScore(TSMean(taker_buy_ratio,5))),3)","TSMean(Add(ZScore(TSMean(quote_volume_mean_12,H6)),ZScore(TSMean(taker_buy_ratio,H6))),H6)",5,H6
C0098,1,H13_symbol_tier_relative,P12_liquidity_flow,AddZScore,mixed_6_24,same_symbol_zscore,none,F7_trend_reversal,"Rank(TSMean(Add(ZScore(TSMean(quote_volume_mean_24,4)),ZScore(TSMean(taker_imbalance,12))),4))","Rank(TSMean(Add(ZScore(TSMean(quote_volume_mean_24,H6)),ZScore(TSMean(taker_imbalance,H12))),H6))",12,H12
C0099,0,H12_horizon_ensemble_stability,P13_trade_size_volatility,HorizonSpread,H12,cross_symbol_zscore,Core4,F8_low_vol_high_liquidity,"ResidualizeVsCore4(cross_symbol_zscore(TSMean(Sub(Rank(TSMean(avg_trade_size_quote,3)),Rank(TSMean(avg_trade_size_quote,5))),3)))","ResidualizeVsCore4(cross_symbol_zscore(TSMean(Sub(Rank(TSMean(avg_trade_size_quote,H6)),Rank(TSMean(avg_trade_size_quote,H6))),H6)))",5,H6
C0099,1,H12_horizon_ensemble_stability,P13_trade_size_volatility,HorizonSpread,H12,cross_symbol_zscore,Core4,F8_low_vol_high_liquidity,"ResidualizeVsCore4(cross_symbol_zscore(Rank(TSMean(Sub(Rank(TSMean(number_of_trades,4)),Rank(TSMean(number_of_trades,12))),4))))","ResidualizeVsCore4(cross_symbol_zscore(Rank(TSMean(Sub(Rank(TSMean(number_of_trades,H6)),Rank(TSMean(number_of_trades,H12))),H6))))",12,H12
C0100,0,H09_trend_reversal_horizon_mix,P2_liquidity,DeltaRank,spread_12_vs_48,cross_symbol_zscore,none,F11_cross_symbol_crowding,"cross_symbol_zscore(TSMean(Rank(Delta(quote_asset_volume,3)),3))","cross_symbol_zscore(TSMean(Rank(Delta(quote_asset_volume,H6)),H6))",3,H6
C0100,1,H09_trend_reversal_horizon_mix,P2_liquidity,DeltaRank,spread_12_vs_48,cross_symbol_zscore,none,F11_cross_symbol_crowding,"cross_symbol_zscore(Rank(TSMean(Rank(Delta(number_of_trades,4)),4)))","cross_symbol_zscore(Rank(TSMean(Rank(Delta(number_of_trades,H6)),H6)))",4,H6
C0101,0,H10_range_breakout_failure,P12_liquidity_flow,DeltaRank,H24,same_symbol_zscore,FundingCore,F0_calendar_blocks,"ResidualizeVsFundingCore(TSMean(Rank(Delta(quote_volume_mean_12,3)),3))","ResidualizeVsFundingCore(TSMean(Rank(Delta(quote_volume_mean_12,H6)),H6))",3,H6
C0101,1,H10_range_breakout_failure,P12_liquidity_flow,DeltaRank,H24,same_symbol_zscore,FundingCore,F0_calendar_blocks,"ResidualizeVsFundingCore(Rank(TSMean(Rank(Delta(quote_volume_mean_24,4)),4)))","ResidualizeVsFundingCore(Rank(TSMean(Rank(Delta(quote_volume_mean_24,H6)),H6)))",4,H6
C0102,0,H13_symbol_tier_relative,P14_horizon_spread,TSRankMul,mixed_6_24,cross_symbol_rank,Core4,F10_volatility_compression,"ResidualizeVsCore4(cross_symbol_rank(TSMean(Mul(TSRank(ret_6,3),ZScore(TSMean(realized_vol_6,5))),3)))","ResidualizeVsCore4(cross_symbol_rank(TSMean(Mul(TSRank(ret_6,H6),ZScore(TSMean(realized_vol_6,H6))),H6)))",5,H6
C0102,1,H13_symbol_tier_relative,P14_horizon_spread,TSRankMul,mixed_6_24,cross_symbol_rank,Core4,F10_volatility_compression,"ResidualizeVsCore4(cross_symbol_rank(Rank(TSMean(Mul(TSRank(ret_12,4),ZScore(TSMean(ret_6,12))),4))))","ResidualizeVsCore4(cross_symbol_rank(Rank(TSMean(Mul(TSRank(ret_12,H6),ZScore(TSMean(ret_6,H12))),H6))))",12,H12
C0103,0,H00_low_turnover_robust,P6_funding_observable,ResidualizeVsFundingCore,spread_12_vs_48,same_symbol_rank,FundingCore,F6_cross_symbol_dispersion,"ResidualizeVsFundingCore(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(latest_known_funding_rate,3)),ZScore(TSMean(funding_rate_persistence_3,5)))),3))","ResidualizeVsFundingCore(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(latest_known_funding_rate,H6)),ZScore(TSMean(funding_rate_persistence_3,H6)))),H6))",5,H6
C0103,1,H00_low_turnover_robust,P6_funding_observable,ResidualizeVsFundingCore,spread_12_vs_48,same_symbol_rank,FundingCore,F6_cross_symbol_dispersion,"ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(funding_rate_z_24,4)),ZScore(TSMean(funding_rate_z_24,12)))),4)))","ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(funding_rate_z_24,H6)),ZScore(TSMean(funding_rate_z_24,H12)))),H6)))",12,H12
C0104,0,H11_regime_conditional_non_may,P11_volatility_basis,ResidualizeVsFundingCore,ensemble_6_12_24_48,same_symbol_rank,FundingCore,F11_cross_symbol_crowding,"ResidualizeVsFundingCore(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(realized_vol_12,3)),ZScore(TSMean(premium_index,5)))),3))","ResidualizeVsFundingCore(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(realized_vol_12,H6)),ZScore(TSMean(premium_index,H6)))),H6))",5,H6
C0104,1,H11_regime_conditional_non_may,P11_volatility_basis,ResidualizeVsFundingCore,ensemble_6_12_24_48,same_symbol_rank,FundingCore,F11_cross_symbol_crowding,"ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(realized_vol_24,4)),ZScore(TSMean(mark_index_ratio,12)))),4)))","ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(realized_vol_24,H6)),ZScore(TSMean(mark_index_ratio,H12)))),H6)))",12,H12
C0105,0,H08_trade_size_microstructure_lite,P2_liquidity,MulRankRank,H12,same_symbol_rank,none,F7_trend_reversal,"TSMean(Mul(Rank(TSMean(quote_asset_volume,3)),Rank(TSMean(quote_volume_mean_12,5))),3)","TSMean(Mul(Rank(TSMean(quote_asset_volume,H6)),Rank(TSMean(quote_volume_mean_12,H6))),H6)",5,H6
C0105,1,H08_trade_size_microstructure_lite,P2_liquidity,MulRankRank,H12,same_symbol_rank,none,F7_trend_reversal,"Rank(TSMean(Mul(Rank(TSMean(number_of_trades,4)),Rank(TSMean(quote_asset_volume,12))),4))","Rank(TSMean(Mul(Rank(TSMean(number_of_trades,H6)),Rank(TSMean(quote_asset_volume,H12))),H6))",12,H12
C0106,0,H04_basis_compression_expansion,P11_volatility_basis,ResidualizeVsCore4,mixed_6_24,cross_symbol_rank,Core4,F0_calendar_blocks,"ResidualizeVsCore4(cross_symbol_rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(realized_vol_12,3)),ZScore(TSMean(premium_index,5)))),3)))","ResidualizeVsCore4(cross_symbol_rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(realized_vol_12,H6)),ZScore(TSMean(premium_index,H6)))),H6)))",5,H6
C0106,1,H04_basis_compression_expansion,P11_volatility_basis,ResidualizeVsCore4,mixed_6_24,cross_symbol_rank,Core4,F0_calendar_blocks,"ResidualizeVsCore4(cross_symbol_rank(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(realized_vol_24,4)),ZScore(TSMean(mark_index_ratio,12)))),4))))","ResidualizeVsCore4(cross_symbol_rank(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(realized_vol_24,H6)),ZScore(TSMean(mark_index_ratio,H12)))),H6))))",12,H12
C0107,0,H11_regime_conditional_non_may,P11_volatility_basis,RegimeMaskNonMay,H48,same_symbol_zscore,Core4,F5_funding_neutral,"ResidualizeVsCore4(TSMean(RegimeMaskNonMay(F5_funding_neutral,Mul(Rank(TSMean(realized_vol_12,3)),ZScore(TSMean(premium_index,5)))),3))","ResidualizeVsCore4(TSMean(RegimeMaskNonMay(F5_funding_neutral,Mul(Rank(TSMean(realized_vol_12,H6)),ZScore(TSMean(premium_index,H6)))),H6))",5,H6
C0107,1,H11_regime_conditional_non_may,P11_volatility_basis,RegimeMaskNonMay,H48,same_symbol_zscore,Core4,F5_funding_neutral,"ResidualizeVsCore4(Rank(TSMean(RegimeMaskNonMay(F5_funding_neutral,Mul(Rank(TSMean(realized_vol_24,4)),ZScore(TSMean(mark_index_ratio,12)))),4)))","ResidualizeVsCore4(Rank(TSMean(RegimeMaskNonMay(F5_funding_neutral,Mul(Rank(TSMean(realized_vol_24,H6)),ZScore(TSMean(mark_index_ratio,H12)))),H6)))",12,H12
C0108,0,H06_liquidity_structure_ex_realized_vol_mul,P12_liquidity_flow,CrossSymbolRank,mixed_12_48,same_symbol_zscore,Core4,F4_basis_dislocation,"ResidualizeVsCore4(TSMean(CrossSymbolRank(TSMean(quote_volume_mean_12,3)),3))","ResidualizeVsCore4(TSMean(CrossSymbolRank(TSMean(quote_volume_mean_12,H6)),H6))",3,H6
