second_pass_family,left_field,left_family,right_field,right_family,left_transform,right_transform,operator,blueprint_id,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,second_pass_candidate,near_miss,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_last,open_interest,spread_short_long,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_last_zscore_168h,L1_cross_sectional_relative_return,24,1.0,3,True,3.3466059530769456,0.0070164264905936986,True,False,False,HOLD_A7FFCORE16HE_CONTROL_LIKE,672,0.002124036606324446,3.7323856196792353,0.8480756064537187,-1.0492128766146824,0.5416666666666666,696,0.0017295081868885813,5.233887380273194,1.1602535539763372,-0.3924896645772247,0.5675287356321839,696,0.0006998416440288862,1.2900415892878618,0.25149764762639365,-0.7733200844442585,0.5014367816091954,696,0.006971316086145614,8.41934140908251,1.6398637370432547,0.5750285837681861,0.6522988505747126,92.8,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_last,open_interest,spread_short_long,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_last_zscore_168h,L3_liquidity_tier_relative_return,24,1.0,3,True,4.833802312341217,0.006009817754220718,True,False,False,HOLD_A7FFCORE16HE_CONTROL_LIKE,672,0.0026401358667839303,4.81664017035927,1.1264515051678192,-0.630421465205336,0.5625,696,0.0017970178529655514,5.653494349659689,1.0722364123501311,-0.13852354934817193,0.5431034482758621,696,0.0004561259846662941,0.8724438843300593,0.2257774050221955,-0.9654436326252802,0.5,696,0.005910580279731946,8.06084908831249,1.5105314534011076,0.529844103163952,0.646551724137931,92.8,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_last,open_interest,spread_short_long,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_last_zscore_168h,L5_vol_adjusted_return,24,1.0,3,True,11.512916160051514,0.20606566063412948,True,False,False,HOLD_A7FFCORE16HE_CONTROL_LIKE,672,0.11548303829700528,3.231871082219983,0.5005767671820042,-1.7377980718574177,0.5119047619047619,696,0.12238939964717159,3.751972730120821,0.856696939998802,-0.23088700627577607,0.5531609195402298,696,0.027890082109458474,0.4348827503170128,0.10164385072902074,-0.7077358563976253,0.4899425287356322,696,0.21449796671349283,2.8708989274071253,0.49232194798403955,-0.2813784115273079,0.5502873563218391,92.8,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_change_24h,open_interest,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_zscore_168h_SafeDiv_open_interest_change_24h_zscore_168h,L0_raw_forward_return,1,1.0,3,True,11.04729663104213,3.792591228921765e-05,True,False,False,HOLD_A7FFCORE16HE_CONTROL_LIKE,696,0.0002995699868769146,1.8785295686555477,1.8785295686555477,1.8785295686555477,0.5272988505747126,719,9.150259392285398e-05,1.1451196649747224,1.1451196649747224,1.1451196649747224,0.47705146036161333,719,3.722130719305323e-05,0.4157637494842422,0.4157637494842422,0.4157637494842422,0.4965229485396384,719,4.453433476567325e-05,0.26517237458209514,0.26517237458209514,0.26517237458209514,0.5090403337969402,95.85833333333333,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_change_24h,open_interest,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_zscore_168h_SafeDiv_open_interest_change_24h_zscore_168h,L1_cross_sectional_relative_return,1,1.0,3,True,11.047296631042125,3.792591228921765e-05,True,False,False,HOLD_A7FFCORE16HE_CONTROL_LIKE,696,0.00029956998687691473,1.8785295686555483,1.8785295686555483,1.8785295686555483,0.5272988505747126,719,9.150259392285396e-05,1.1451196649747222,1.1451196649747222,1.1451196649747222,0.47705146036161333,719,3.722130719305323e-05,0.4157637494842422,0.4157637494842422,0.4157637494842422,0.4965229485396384,719,4.4534334765673276e-05,0.2651723745820953,0.2651723745820953,0.2651723745820953,0.5090403337969402,95.85833333333333,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_change_24h,open_interest,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_zscore_168h_SafeDiv_open_interest_change_24h_zscore_168h,L3_liquidity_tier_relative_return,1,1.0,3,True,4.456832239797148,7.552737164130358e-05,True,False,False,HOLD_A7FFCORE16HE_CONTROL_LIKE,696,0.0002912288023561948,1.974139251530239,1.974139251530239,1.974139251530239,0.5387931034482759,719,8.969883304359552e-05,1.1666228419985867,1.1666228419985867,1.1666228419985867,0.5048678720445062,719,7.82533362682427e-05,0.8981477988864265,0.8981477988864265,0.8981477988864265,0.5187760778859527,719,9.221970707774957e-05,0.5811214778711414,0.5811214778711414,0.5811214778711414,0.5340751043115438,95.85833333333333,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_change_24h,open_interest,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_zscore_168h_SafeDiv_open_interest_change_24h_zscore_168h,L5_vol_adjusted_return,1,1.0,2,False,4.595675923293443,-0.008438731410478689,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,696,0.019279743245224964,2.052595337421293,2.052595337421293,2.052595337421293,0.5272988505747126,719,0.007450320778230036,0.8941216981011755,0.8941216981011755,0.8941216981011755,0.4937413073713491,719,0.0033602807023335275,0.3577489739940033,0.3577489739940033,0.3577489739940033,0.5062586926286509,719,-0.012547124966078332,-0.8415514978188937,-0.8415514978188937,-0.8415514978188937,0.48817802503477054,95.85833333333333,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_change_24h,open_interest,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_zscore_168h_SafeDiv_open_interest_change_24h_zscore_168h,L0_raw_forward_return,4,1.0,2,False,18.66351023187223,-0.00011625920372373998,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,693,0.000992151937737581,3.2786780234600745,1.706997955966973,0.8721536385111308,0.5642135642135642,716,0.0004296021733048733,2.083504877198242,1.2814290045169614,-0.1923632583619596,0.526536312849162,716,7.333814075465585e-05,0.41597655052655974,0.32964205073558706,-0.6726515702331141,0.5125698324022346,716,-6.996803456261477e-05,-0.21279662603048902,-0.12431969874499382,-0.2999389709518319,0.4972067039106145,95.45833333333333,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_change_24h,open_interest,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_zscore_168h_SafeDiv_open_interest_change_24h_zscore_168h,L1_cross_sectional_relative_return,4,1.0,2,False,18.66351023187224,-0.00011625920372373996,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,693,0.000992151937737581,3.2786780234600745,1.7069979559669726,0.8721536385111308,0.5642135642135642,716,0.00042960217330487323,2.0835048771982416,1.2814290045169612,-0.1923632583619597,0.526536312849162,716,7.333814075465577e-05,0.41597655052655935,0.32964205073558717,-0.6726515702331142,0.5125698324022346,716,-6.996803456261472e-05,-0.21279662603048888,-0.12431969874499366,-0.29993897095183164,0.4972067039106145,95.45833333333333,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_change_24h,open_interest,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_zscore_168h_SafeDiv_open_interest_change_24h_zscore_168h,L3_liquidity_tier_relative_return,4,1.0,3,True,8.473315221283627,6.784510889763482e-05,True,False,False,HOLD_A7FFCORE16HE_CONTROL_LIKE,693,0.001048643414235942,3.65523446780815,1.8351485714465103,1.0562820791614094,0.5613275613275613,716,0.00036581052412093686,1.7715513648372216,1.0917988766406381,-0.27815723352318295,0.5307262569832403,716,0.00023191532646639482,1.3601840072862865,0.8483110874386686,-0.2544525866422225,0.5405027932960894,716,0.00011848340531068256,0.37736935095962304,0.12226027594447189,0.036123674860497605,0.505586592178771,95.45833333333333,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_change_24h,open_interest,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_zscore_168h_SafeDiv_open_interest_change_24h_zscore_168h,L5_vol_adjusted_return,4,1.0,2,False,1.787473909224661,-0.05720640672505218,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,693,0.06759226733445911,3.6341103161081665,1.9516112271815675,0.9958028451372736,0.5670995670995671,716,0.03750529485695099,1.7516156738864255,1.058898125997426,-0.2264962030320487,0.5195530726256983,716,0.005227505888797779,0.27544396403590454,0.12789223070915814,-0.5407394444340238,0.5251396648044693,716,-0.05946594725284838,-1.9755844213626361,-1.040305280010933,-1.1410604427444684,0.473463687150838,95.45833333333333,
