candidate_id,split,offset,n_dates,mean_spread,tstat,positive
a7al2q_f00f22bbcc48dc2c,test_2025H2,7,183,0.001689266753496551,1.6999720830941152,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,8,183,0.0016844956689788155,1.7539858989768853,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,9,183,0.0016901055307321884,1.8040723871845268,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,10,183,0.0016896725045016632,1.7837968133522586,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,11,183,0.0017942704256247316,1.9214438406468284,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,12,183,0.0017788354166389613,1.9699135711296956,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,13,183,0.0019289967597530466,2.152898045138989,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,14,183,0.0019664889266768,2.2819102909966653,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,15,183,0.002137170699543875,2.5249277759920186,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,16,183,0.002120855298628542,2.5252771283733018,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,17,183,0.001985230836753749,2.4962834674667906,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,18,183,0.001958864035933786,2.4793669964640057,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,19,183,0.0019872952806994763,2.4451292773159166,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,20,183,0.0018695846932391263,2.0951126683869274,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,21,183,0.001985566429656642,2.3107752926750913,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,22,183,0.0020529677921640034,2.362939931967592,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,23,182,0.001728036809012074,1.9033922000739498,True
a7al2q_f00f22bbcc48dc2c,recent_oos_2026JanApr,0,119,0.0015490275945821252,1.4493790391822652,True
a7al2q_f00f22bbcc48dc2c,recent_oos_2026JanApr,1,119,0.0015138259507891595,1.3773257261245557,True
a7al2q_f00f22bbcc48dc2c,recent_oos_2026JanApr,2,119,0.0016151873025635588,1.4253508997153184,True
a7al2q_f00f22bbcc48dc2c,recent_oos_2026JanApr,3,119,0.0017054222345485922,1.5542817518257102,True
a7al2q_f00f22bbcc48dc2c,recent_oos_2026JanApr,4,119,0.0017373117695487835,1.6931381771244305,True
a7al2q_f00f22bbcc48dc2c,recent_oos_2026JanApr,5,119,0.0018963105470647902,1.7284226450468643,True
a7al2q_f00f22bbcc48dc2c,recent_oos_2026JanApr,6,119,0.0019306237668802197,1.6770170814153342,True
a7al2q_f00f22bbcc48dc2c,recent_oos_2026JanApr,7,119,0.0018065095787358927,1.720086223452275,True
a7al2q_f00f22bbcc48dc2c,recent_oos_2026JanApr,8,119,0.0018670060055406702,1.7299900043444476,True
a7al2q_f00f22bbcc48dc2c,recent_oos_2026JanApr,9,119,0.0017137085677310722,1.6588373161418257,True
