candidate_id,variant,split,n_dates,btc_beta,eth_beta,beta_residual_alpha,beta_residual_alpha_tstat,raw_mean_spread
a7al2k_0cf817ef95787b3d,exclude_major,test_2025H2,4392,0.09655689597381797,-0.09212538532792017,0.004872621061474711,19.821081039436397,0.004673970564569436
a7al2k_0cf817ef95787b3d,exclude_major,recent_oos_2026JanApr,2856,0.0005566139419575927,0.1259092029558455,0.004079532408572953,12.434300376833416,0.0037830806685882224
a7al2k_0cf817ef95787b3d,exclude_major,known_may2026_stress,576,-0.040496719186143906,0.07749321164030853,0.007212661317752578,12.340454828792081,0.006960652547978014
a7al2k_134ec76b5d7444f9,original,validation_2025H1,4320,-0.17291643626044292,-0.07348625491626594,0.002148199151761194,9.849926736480192,0.0021405332764039176
a7al2k_134ec76b5d7444f9,original,test_2025H2,4392,0.06999779067585093,-0.17722018277517454,0.0044486293517398525,21.85762349928254,0.004184913719132667
a7al2k_134ec76b5d7444f9,original,recent_oos_2026JanApr,2856,0.03235501437745176,0.0021911995938855115,0.0022280085920448273,7.7157525351030305,0.002183417548284136
a7al2k_134ec76b5d7444f9,original,known_may2026_stress,576,-0.1323196412540976,0.010133127275736425,0.0038672809500098484,8.487368048153048,0.003853356581920885
a7al2k_134ec76b5d7444f9,one_bar_lag,validation_2025H1,4320,-0.17098791144572226,-0.07616272807331581,0.0021494741902353476,9.835887732584764,0.0021477137049132917
a7al2k_134ec76b5d7444f9,one_bar_lag,test_2025H2,4392,0.07165853965328958,-0.17767455485572037,0.004449686031556164,21.9174006650559,0.00418377870735988
a7al2k_134ec76b5d7444f9,one_bar_lag,recent_oos_2026JanApr,2856,0.03192055706903697,0.0034248034349176025,0.002146524709300079,7.461706513096949,0.0020995654509362457
a7al2k_134ec76b5d7444f9,one_bar_lag,known_may2026_stress,576,-0.13588953145480115,0.010471962527358047,0.003841474919446187,8.404384233723892,0.003826956911725706
a7al2k_134ec76b5d7444f9,neutral_liquidity_tier,validation_2025H1,4320,-0.14972794302965942,-0.0017222110034780524,0.0024711789206201457,11.291297068102685,0.002361480502707295
a7al2k_134ec76b5d7444f9,neutral_liquidity_tier,test_2025H2,4392,0.09060616578017347,-0.12192994205444378,0.003890975891479239,20.640891582199504,0.003666107075825612
a7al2k_134ec76b5d7444f9,neutral_liquidity_tier,recent_oos_2026JanApr,2856,0.0794897782266883,0.025188642704432024,0.00143904688812992,5.0215140673965895,0.001282971019684775
a7al2k_134ec76b5d7444f9,neutral_liquidity_tier,known_may2026_stress,576,-0.14216434800699718,0.11066364783354951,0.004857267761920381,11.387653363525974,0.004510021791987671
a7al2k_134ec76b5d7444f9,neutral_meme_contract_group,validation_2025H1,4320,-0.216625045148571,-0.025668563715097653,0.0018099858405087647,8.867460450753814,0.001689857723807706
a7al2k_134ec76b5d7444f9,neutral_meme_contract_group,test_2025H2,4392,0.0641649057487991,-0.14334262967225758,0.004630956189164631,22.637328143284332,0.00440993006351964
a7al2k_134ec76b5d7444f9,neutral_meme_contract_group,recent_oos_2026JanApr,2856,0.10415628429669227,0.013337591561585732,0.0028811752562332765,9.750667027091614,0.0027228679699969577
a7al2k_134ec76b5d7444f9,neutral_meme_contract_group,known_may2026_stress,576,-0.06976364960419627,-0.0006982371544062421,0.004250226043591246,9.261048062438839,0.0042630022177163485
a7al2k_134ec76b5d7444f9,neutral_multiplier_flag,validation_2025H1,4320,-0.15028674321082625,-0.10741947801751511,0.0021141401764874367,10.084350206418787,0.0021799759446104986
a7al2k_134ec76b5d7444f9,neutral_multiplier_flag,test_2025H2,4392,0.09952891669483996,-0.20403608192632972,0.004719870789590864,23.50657500770434,0.004396873601889269
a7al2k_134ec76b5d7444f9,neutral_multiplier_flag,recent_oos_2026JanApr,2856,0.03599197063479102,-0.04237709021396639,0.0024719286869708894,8.78908968966751,0.0025275991864479206
a7al2k_134ec76b5d7444f9,neutral_multiplier_flag,known_may2026_stress,576,-0.14410883808786576,0.0486945401433046,0.004157686441943176,9.878349926000888,0.004017107224222139
a7al2k_134ec76b5d7444f9,neutral_major_flag,validation_2025H1,4320,-0.16590980962904242,-0.07154617085183704,0.0017106122286935008,7.735208448189323,0.0017049842724155525
a7al2k_134ec76b5d7444f9,neutral_major_flag,test_2025H2,4392,0.07833441607526903,-0.18087483976122848,0.004052351795935935,19.329642822186802,0.003776145177966573
a7al2k_134ec76b5d7444f9,neutral_major_flag,recent_oos_2026JanApr,2856,0.08526022908416415,-0.017087107105730637,0.0028724607026230703,8.778616030255618,0.002808660050548404
a7al2k_134ec76b5d7444f9,neutral_major_flag,known_may2026_stress,576,-0.05599435803975517,-0.043258918745140165,0.003795845930976181,8.058313291936889,0.0039482990775867
a7al2k_134ec76b5d7444f9,neutral_dominant_latent_state,validation_2025H1,4320,-0.20114322984288074,-0.01912952483888039,0.002058066684186012,8.498226571092507,0.0019386922463383628
a7al2k_134ec76b5d7444f9,neutral_dominant_latent_state,test_2025H2,4392,0.15705808961018014,-0.16033974955432376,0.00526310675538913,18.708486436379605,0.004928614101586749
a7al2k_134ec76b5d7444f9,neutral_dominant_latent_state,recent_oos_2026JanApr,2856,0.06426803363351186,0.04352958608742944,0.001542208308800474,4.2687135158147465,0.0013616044376160666
a7al2k_134ec76b5d7444f9,neutral_dominant_latent_state,known_may2026_stress,576,0.3478619985765159,-0.0874808796849934,0.004588082208753878,7.286054268106884,0.004827308477706068
a7al2k_134ec76b5d7444f9,exclude_meme,validation_2025H1,4320,-0.2341971947244635,-0.005557567373175365,0.0017203673773748377,8.763550102962679,0.0015535497431289067
a7al2k_134ec76b5d7444f9,exclude_meme,test_2025H2,4392,0.05086860546203134,-0.13273808318493863,0.004472915419927029,21.74265692199494,0.004276988058310585
a7al2k_134ec76b5d7444f9,exclude_meme,recent_oos_2026JanApr,2856,0.08753448933810087,0.02236456580754237,0.0025311762472456905,8.988595251822884,0.002371927181900309
a7al2k_134ec76b5d7444f9,exclude_meme,known_may2026_stress,576,-0.09725958010919353,-0.027893392292679037,0.004005657800884991,8.493789836721797,0.004113120872930729
a7al2k_134ec76b5d7444f9,exclude_multiplier,validation_2025H1,4320,-0.21986808302772068,-0.042624224247575865,0.0020219322521643065,9.94381111363337,0.0019275921177264236
a7al2k_134ec76b5d7444f9,exclude_multiplier,test_2025H2,4392,0.0742770545296142,-0.1629141249686263,0.004365305920873482,21.978349698190765,0.004112719105670741
