semantic_pair,decision,count
open_interest_like|funding_state_like,HOLD_A7LS18a7ls18_s108_CONTROL_DOMINATED,1651
open_interest_like|positioning_like,HOLD_A7LS18a7ls18_s112_CONTROL_DOMINATED,1651
volatility_like|liquidity_like,HOLD_A7LS18a7ls18_s147_PRE_MAY_UNSTABLE,1626
price_like|open_interest_like,HOLD_A7LS18a7ls18_s083_CONTROL_DOMINATED,1626
open_interest_like|regime_state,HOLD_A7LS18a7ls18_s070_PRE_MAY_UNSTABLE,1620
low_prior_axes,HOLD_A7LS18a7ls18_s132_PRE_MAY_UNSTABLE,1615
listing_age_like|regime_state|basis_premium_like,HOLD_A7LS18a7ls18_s039_PRE_MAY_UNSTABLE,1589
open_interest_like|taker_flow_like,HOLD_A7LS18a7ls18_s070_CONTROL_DOMINATED,1588
price_like|basis_premium_like,HOLD_A7LS18a7ls18_s079_CONTROL_DOMINATED,1574
open_interest_like|funding_state_like,HOLD_A7LS18a7ls18_s109_CONTROL_DOMINATED,1569
low_prior_axes|basis_premium_like,HOLD_A7LS18a7ls18_s132_CONTROL_DOMINATED,1567
positioning_like|liquidity_like,HOLD_A7LS18a7ls18_s073_CONTROL_DOMINATED,1567
price_like|open_interest_like,HOLD_A7LS18a7ls18_s082_CONTROL_DOMINATED,1557
basis_premium_like|listing_age_like,HOLD_A7LS18a7ls18_s014_CONTROL_DOMINATED,1553
positioning_like|taker_flow_like,HOLD_A7LS18a7ls18_s130_CONTROL_DOMINATED,1551
open_interest_like|regime_state,HOLD_A7LS18a7ls18_s116_CONTROL_DOMINATED,1533
price_like,HOLD_A7LS18a7ls18_s077_PRE_MAY_UNSTABLE,1527
open_interest_like|positioning_like|listing_age_like,HOLD_A7LS18a7ls18_s040_PRE_MAY_UNSTABLE,1524
basis_premium_like|positioning_like,HOLD_A7LS18a7ls18_s019_CONTROL_DOMINATED,1522
basis_premium|basis_premium|basis_premium_like,HOLD_A7LS18a7ls18_s035_PRE_MAY_UNSTABLE,1518
basis_premium_like|positioning_like,HOLD_A7LS18a7ls18_s023_CONTROL_DOMINATED,1513
volatility_like|listing_age_like,HOLD_A7LS18a7ls18_s094_CONTROL_DOMINATED,1508
open_interest_like|listing_age_like,HOLD_A7LS18a7ls18_s067_PRE_MAY_UNSTABLE,1505
basis_premium|positioning_flow|volatility_like,HOLD_A7LS18a7ls18_s037_PRE_MAY_UNSTABLE,1502
open_interest_like|liquidity_rank_active_universe|listing_age_like,HOLD_A7LS18a7ls18_s040_PRE_MAY_UNSTABLE,1495
volatility_like|listing_age_like,HOLD_A7LS18a7ls18_s093_CONTROL_DOMINATED,1484
listing_age_like|basis_premium_like,HOLD_A7LS18a7ls18_s099_CONTROL_DOMINATED,1474
funding_state_like|basis_premium_like,HOLD_A7LS18a7ls18_s097_CONTROL_DOMINATED,1473
funding_state_like|volatility_like,HOLD_A7LS18a7ls18_s059_CONTROL_DOMINATED,1456
basis_premium|basis_premium|regime_state,HOLD_A7LS18a7ls18_s035_PRE_MAY_UNSTABLE,1452
open_interest_like|funding_state_like,HOLD_A7LS18a7ls18_s107_CONTROL_DOMINATED,1441
price_like|positioning_like,HOLD_A7LS18a7ls18_s083_CONTROL_DOMINATED,1417
volatility_like|basis_premium_like,HOLD_A7LS18a7ls18_s043_PRE_MAY_UNSTABLE,1416
basis_premium_like|liquidity_like,HOLD_A7LS18a7ls18_s012_CONTROL_DOMINATED,1408
basis_premium_like|liquidity_like,HOLD_A7LS18a7ls18_s007_CONTROL_DOMINATED,1398
low_prior_axes|basis_premium_like,HOLD_A7LS18a7ls18_s133_CONTROL_DOMINATED,1383
listing_age_like|basis_premium_like,HOLD_A7LS18a7ls18_s100_CONTROL_DOMINATED,1376
placebo|basis_premium_like,HOLD_A7LS18a7ls18_s138_CONTROL_DOMINATED,1368
volatility_like|volume_volatility_ratio_168h|regime_state,HOLD_A7LS18a7ls18_s046_CONTROL_DOMINATED,1349
open_interest_like|positioning_like,HOLD_A7LS18a7ls18_s068_PRE_MAY_UNSTABLE,1330
funding_state_like|listing_age_like,HOLD_A7LS18a7ls18_s056_PRE_MAY_UNSTABLE,1328
funding_state_like|open_interest_like,HOLD_A7LS18a7ls18_s056_CONTROL_DOMINATED,1317
taker_flow_like,HOLD_A7LS18a7ls18_s088_CONTROL_DOMINATED,1310
open_interest_like|taker_flow_like,HOLD_A7LS18a7ls18_s122_CONTROL_DOMINATED,1307
taker_flow_like|listing_age_like,HOLD_A7LS18a7ls18_s090_CONTROL_DOMINATED,1299
open_interest_like|funding_state_like,HOLD_A7LS18a7ls18_s110_CONTROL_DOMINATED,1297
volatility_like|volume_volatility_ratio_168h|volatility_like,HOLD_A7LS18a7ls18_s047_PRE_MAY_UNSTABLE,1296
positioning_like|listing_age_like,HOLD_A7LS18a7ls18_s074_CONTROL_DOMINATED,1284
basis_premium_like|price_like,HOLD_A7LS18a7ls18_s029_CONTROL_DOMINATED,1280
volatility_like,HOLD_A7LS18a7ls18_s042_CONTROL_DOMINATED,1280
price_like|positioning_like,HOLD_A7LS18a7ls18_s084_CONTROL_DOMINATED,1256
liquidity_like|volatility_like,HOLD_A7LS18a7ls18_s062_CONTROL_DOMINATED,1253
price_like|liquidity_like,HOLD_A7LS18a7ls18_s081_CONTROL_DOMINATED,1229
placebo|price_like,HOLD_A7LS18a7ls18_s138_CONTROL_DOMINATED,1227
positioning_like,HOLD_A7LS18a7ls18_s072_CONTROL_DOMINATED,1224
basis_premium_like|open_interest_like,HOLD_A7LS18a7ls18_s050_CONTROL_DOMINATED,1215
funding_state_like|basis_premium_like,HOLD_A7LS18a7ls18_s096_CONTROL_DOMINATED,1214
volatility_like|liquidity_rank_active_universe|volatility_like,HOLD_A7LS18a7ls18_s044_PRE_MAY_UNSTABLE,1205
listing_age_like|liquidity_like,HOLD_A7LS18a7ls18_s105_CONTROL_DOMINATED,1202
positioning_like,HOLD_A7LS18a7ls18_s042_PRE_MAY_UNSTABLE,1192
listing_age_like|regime_state|regime_state,HOLD_A7LS18a7ls18_s039_PRE_MAY_UNSTABLE,1188
liquidity_like|volatility_like,HOLD_A7LS18a7ls18_s063_CONTROL_DOMINATED,1186
liquidity_like,HOLD_A7LS18a7ls18_s038_CONTROL_DOMINATED,1180
positioning_like|taker_flow_like,HOLD_A7LS18a7ls18_s076_CONTROL_DOMINATED,1174
open_interest_like|regime_state,HOLD_A7LS18a7ls18_s069_PRE_MAY_UNSTABLE,1160
low_prior_axes|price_like,HOLD_A7LS18a7ls18_s133_PRE_MAY_UNSTABLE,1154
basis_premium_like|funding_state_like,HOLD_A7LS18a7ls18_s047_PRE_MAY_UNSTABLE,1146
open_interest_like,HOLD_A7LS18a7ls18_s064_PRE_MAY_UNSTABLE,1126
taker_flow_like|volatility_like,HOLD_A7LS18a7ls18_s091_CONTROL_DOMINATED,1119
price_like,HOLD_A7LS18a7ls18_s077_CONTROL_DOMINATED,1113
volatility_like,HOLD_A7LS18a7ls18_s093_CONTROL_DOMINATED,1111
volatility_like|volume_volatility_ratio_168h|basis_premium_like,HOLD_A7LS18a7ls18_s045_CONTROL_DOMINATED,1092
open_interest_like|regime_state,HOLD_A7LS18a7ls18_s117_CONTROL_DOMINATED,1090
liquidity_like,HOLD_A7LS18a7ls18_s037_CONTROL_DOMINATED,1087
open_interest_like|age_x_liquidity|listing_age_like,HOLD_A7LS18a7ls18_s040_PRE_MAY_UNSTABLE,1083
basis_premium_like,HOLD_A7LS18a7ls18_s047_CONTROL_DOMINATED,1043
volatility_like|regime_state,HOLD_A7LS18a7ls18_s045_PRE_MAY_UNSTABLE,1022
volatility_like|liquidity_like,HOLD_A7LS18a7ls18_s143_CONTROL_DOMINATED,1016
basis_premium_like|taker_flow_like,HOLD_A7LS18a7ls18_s052_CONTROL_DOMINATED,1013
placebo|basis_premium_like,HOLD_A7LS18a7ls18_s135_CONTROL_DOMINATED,1009
low_prior_axes|price_like,HOLD_A7LS18a7ls18_s133_CONTROL_DOMINATED,988
taker_flow_like|volatility_like,HOLD_A7LS18a7ls18_s092_CONTROL_DOMINATED,978
funding_state_like|positioning_like,HOLD_A7LS18a7ls18_s057_CONTROL_DOMINATED,969
open_interest_like|funding_state_like,HOLD_A7LS18a7ls18_s106_CONTROL_DOMINATED,955
funding_state_like|basis_premium_like,HOLD_A7LS18a7ls18_s094_PRE_MAY_UNSTABLE,953
basis_premium_like,HOLD_A7LS18a7ls18_s005_CONTROL_DOMINATED,927
price_like|regime_state,HOLD_A7LS18a7ls18_s084_CONTROL_DOMINATED,900
price_like|funding_state_like,HOLD_A7LS18a7ls18_s080_CONTROL_DOMINATED,893
basis_premium_like|volatility_like,HOLD_A7LS18a7ls18_s052_CONTROL_DOMINATED,885
price_like|funding_state_like,HOLD_A7LS18a7ls18_s079_CONTROL_DOMINATED,848
basis_premium_like|liquidity_like,HOLD_A7LS18a7ls18_s048_CONTROL_DOMINATED,847
funding_state_like|taker_flow_like,HOLD_A7LS18a7ls18_s058_CONTROL_DOMINATED,845
funding_state_like|basis_premium_like,HOLD_A7LS18a7ls18_s095_CONTROL_DOMINATED,844
funding_state_like|regime_state,HOLD_A7LS18a7ls18_s057_PRE_MAY_UNSTABLE,843
basis_premium_like|positioning_like,HOLD_A7LS18a7ls18_s018_CONTROL_DOMINATED,838
taker_flow_like,HOLD_A7LS18a7ls18_s087_CONTROL_DOMINATED,830
open_interest_like|positioning_like|basis_premium_like,HOLD_A7LS18a7ls18_s040_PRE_MAY_UNSTABLE,826
open_interest_like|taker_flow_like,HOLD_A7LS18a7ls18_s117_CONTROL_DOMINATED,816
open_interest_like|age_x_liquidity|regime_state,HOLD_A7LS18a7ls18_s040_PRE_MAY_UNSTABLE,814
price_like|basis_premium_like,HOLD_A7LS18a7ls18_s078_CONTROL_DOMINATED,812
basis_premium|positioning_flow|listing_age_like,HOLD_A7LS18a7ls18_s036_CONTROL_DOMINATED,810
funding_state_like|taker_flow_like,HOLD_A7LS18a7ls18_s059_PRE_MAY_UNSTABLE,810
basis_premium|positioning_flow|basis_premium_like,HOLD_A7LS18a7ls18_s035_PRE_MAY_UNSTABLE,808
basis_premium_like|listing_age_like,HOLD_A7LS18a7ls18_s018_CONTROL_DOMINATED,806
volatility_like|regime_state,HOLD_A7LS18a7ls18_s094_CONTROL_DOMINATED,805
volatility_like|regime_state,HOLD_A7LS18a7ls18_s044_PRE_MAY_UNSTABLE,802
volatility_like|volume_volatility_ratio_168h|volatility_like,HOLD_A7LS18a7ls18_s047_CONTROL_DOMINATED,800
open_interest_like|liquidity_rank_active_universe|basis_premium_like,HOLD_A7LS18a7ls18_s040_PRE_MAY_UNSTABLE,792
open_interest_like|listing_age_like,HOLD_A7LS18a7ls18_s067_CONTROL_DOMINATED,791
basis_premium_like|age_x_volatility|listing_age_like,HOLD_A7LS18a7ls18_s005_CONTROL_DOMINATED,777
volatility_like|listing_age_like,HOLD_A7LS18a7ls18_s044_CONTROL_DOMINATED,772
basis_premium_like|funding_state_like,HOLD_A7LS18a7ls18_s048_CONTROL_DOMINATED,763
open_interest_like|age_x_liquidity|basis_premium_like,HOLD_A7LS18a7ls18_s039_PRE_MAY_UNSTABLE,762
funding_state_like|liquidity_like,HOLD_A7LS18a7ls18_s054_CONTROL_DOMINATED,757
basis_premium_like|listing_age_like,HOLD_A7LS18a7ls18_s049_CONTROL_DOMINATED,753
basis_premium_like|age_x_volatility|regime_state,HOLD_A7LS18a7ls18_s006_CONTROL_DOMINATED,749
basis_premium_like|age_x_volatility|volatility_like,HOLD_A7LS18a7ls18_s007_PRE_MAY_UNSTABLE,745
funding_state_like|listing_age_like,HOLD_A7LS18a7ls18_s055_CONTROL_DOMINATED,714
funding_state_like,HOLD_A7LS18a7ls18_s053_CONTROL_DOMINATED,705
listing_age_like|regime_state|listing_age_like,HOLD_A7LS18a7ls18_s039_CONTROL_DOMINATED,705
open_interest_like|volatility_like,HOLD_A7LS18a7ls18_s072_CONTROL_DOMINATED,697
volatility_like|volatility_like,HOLD_A7LS18a7ls18_s045_PRE_MAY_UNSTABLE,695
funding_state_like|basis_premium_like,HOLD_A7LS18a7ls18_s098_CONTROL_DOMINATED,694
listing_age_like,HOLD_A7LS18a7ls18_s063_CONTROL_DOMINATED,691
volatility_like|volume_volatility_ratio_168h|listing_age_like,HOLD_A7LS18a7ls18_s045_CONTROL_DOMINATED,686
basis_premium_like|volatility_like,HOLD_A7LS18a7ls18_s029_CONTROL_DOMINATED,685
basis_premium|basis_premium|volatility_like,HOLD_A7LS18a7ls18_s035_PRE_MAY_UNSTABLE,682
basis_premium_like|listing_age_like,HOLD_A7LS18a7ls18_s012_CONTROL_DOMINATED,670
basis_premium_like|liquidity_like,HOLD_A7LS18a7ls18_s049_CONTROL_DOMINATED,664
basis_premium|basis_premium|listing_age_like,HOLD_A7LS18a7ls18_s035_CONTROL_DOMINATED,651
basis_premium_like|age_x_volatility|basis_premium_like,HOLD_A7LS18a7ls18_s005_CONTROL_DOMINATED,638
open_interest_like|liquidity_like,HOLD_A7LS18a7ls18_s066_CONTROL_DOMINATED,631
basis_premium_like|volatility_like,HOLD_A7LS18a7ls18_s035_PRE_MAY_UNSTABLE,626
open_interest_like|taker_flow_like,HOLD_A7LS18a7ls18_s071_CONTROL_DOMINATED,622
basis_premium_like|positioning_like,HOLD_A7LS18a7ls18_s050_CONTROL_DOMINATED,620
basis_premium_like|taker_flow_like,HOLD_A7LS18a7ls18_s051_CONTROL_DOMINATED,618
open_interest_like|liquidity_rank_active_universe|regime_state,HOLD_A7LS18a7ls18_s040_PRE_MAY_UNSTABLE,616
positioning_like|volatility_like,HOLD_A7LS18a7ls18_s076_CONTROL_DOMINATED,600
volatility_like|volume_volatility_ratio_168h|regime_state,HOLD_A7LS18a7ls18_s047_PRE_MAY_UNSTABLE,594
volatility_like|liquidity_like,HOLD_A7LS18a7ls18_s147_CONTROL_DOMINATED,590
positioning_like|listing_age_like,HOLD_A7LS18a7ls18_s075_CONTROL_DOMINATED,586
positioning_like|liquidity_like,HOLD_A7LS18a7ls18_s074_CONTROL_DOMINATED,561
funding_state_like,HOLD_A7LS18a7ls18_s052_PRE_MAY_UNSTABLE,559
open_interest_like|regime_state,HOLD_A7LS18a7ls18_s115_CONTROL_DOMINATED,558
open_interest_like|positioning_like,HOLD_A7LS18a7ls18_s110_CONTROL_DOMINATED,549
volatility_like|volume_volatility_ratio_168h|listing_age_like,HOLD_A7LS18a7ls18_s046_CONTROL_DOMINATED,545
positioning_like|basis_premium_like,HOLD_A7LS18a7ls18_s122_CONTROL_DOMINATED,544
volatility_like|volume_volatility_ratio_168h|positioning_like,HOLD_A7LS18a7ls18_s046_PRE_MAY_UNSTABLE,540
basis_premium_like|age_x_volatility|listing_age_like,HOLD_A7LS18a7ls18_s005_PRE_MAY_UNSTABLE,532
liquidity_like|regime_state,HOLD_A7LS18a7ls18_s062_CONTROL_DOMINATED,509
basis_premium|positioning_flow|liquidity_like,HOLD_A7LS18a7ls18_s036_PRE_MAY_UNSTABLE,508
listing_age_like,HOLD_A7LS18a7ls18_s039_PRE_MAY_UNSTABLE,501
regime_state,HOLD_A7LS18a7ls18_s086_PRE_MAY_UNSTABLE,500
basis_premium|positioning_flow|positioning_like,HOLD_A7LS18a7ls18_s036_PRE_MAY_UNSTABLE,494
basis_premium_like|positioning_like,HOLD_A7LS18a7ls18_s051_CONTROL_DOMINATED,487
volatility_like|volume_volatility_ratio_168h|regime_state,HOLD_A7LS18a7ls18_s047_CONTROL_DOMINATED,486
basis_premium_like|open_interest_like,HOLD_A7LS18a7ls18_s049_CONTROL_DOMINATED,484
open_interest_like|positioning_like|regime_state,HOLD_A7LS18a7ls18_s040_PRE_MAY_UNSTABLE,480
funding_state_like|liquidity_like,HOLD_A7LS18a7ls18_s055_CONTROL_DOMINATED,474
positioning_like|regime_state,HOLD_A7LS18a7ls18_s075_CONTROL_DOMINATED,464
positioning_like,HOLD_A7LS18a7ls18_s073_CONTROL_DOMINATED,461
placebo|basis_premium_like,HOLD_A7LS18a7ls18_s136_ONE_BAR_LAG_FRAGILE,456
listing_age_like|regime_state|volatility_like,HOLD_A7LS18a7ls18_s039_PRE_MAY_UNSTABLE,452
basis_premium|positioning_flow|regime_state,HOLD_A7LS18a7ls18_s037_CONTROL_DOMINATED,451
basis_premium_like|price_like,HOLD_A7LS18a7ls18_s026_ONE_BAR_LAG_FRAGILE,447
liquidity_like,HOLD_A7LS18a7ls18_s059_PRE_MAY_UNSTABLE,446
basis_premium_like|age_x_volatility|liquidity_like,HOLD_A7LS18a7ls18_s005_PRE_MAY_UNSTABLE,440
volatility_like|volume_volatility_ratio_168h|liquidity_like,HOLD_A7LS18a7ls18_s045_PRE_MAY_UNSTABLE,438
volatility_like|regime_state,HOLD_A7LS18a7ls18_s045_CONTROL_DOMINATED,438
low_prior_axes|basis_premium_like,HOLD_A7LS18a7ls18_s133_ONE_BAR_LAG_FRAGILE,434
positioning_like|taker_flow_like,HOLD_A7LS18a7ls18_s075_CONTROL_DOMINATED,433
basis_premium_like,HOLD_A7LS18a7ls18_s003_ONE_BAR_LAG_FRAGILE,432
open_interest_like,HOLD_A7LS18a7ls18_s064_CONTROL_DOMINATED,430
listing_age_like,HOLD_A7LS18a7ls18_s038_CONTROL_DOMINATED,425
open_interest_like|positioning_like,HOLD_A7LS18a7ls18_s068_CONTROL_DOMINATED,425
basis_premium_like|price_like,HOLD_A7LS18a7ls18_s023_PRE_MAY_UNSTABLE,420
basis_premium_like|age_x_volatility|positioning_like,HOLD_A7LS18a7ls18_s006_PRE_MAY_UNSTABLE,417
placebo|basis_premium_like,HOLD_A7LS18a7ls18_s137_ONE_BAR_LAG_FRAGILE,415
open_interest_like|positioning_like|volatility_like,HOLD_A7LS18a7ls18_s041_PRE_MAY_UNSTABLE,414
open_interest_like|regime_state,HOLD_A7LS18a7ls18_s070_CONTROL_DOMINATED,411
basis_premium_like|regime_state,HOLD_A7LS18a7ls18_s051_CONTROL_DOMINATED,402
basis_premium_like|listing_age_like,HOLD_A7LS18a7ls18_s016_ONE_BAR_LAG_FRAGILE,396
placebo|basis_premium_like,HOLD_A7LS18a7ls18_s138_ONE_BAR_LAG_FRAGILE,386
basis_premium_like,HOLD_A7LS18a7ls18_s002_ONE_BAR_LAG_FRAGILE,384
basis_premium_like|listing_age_like,HOLD_A7LS18a7ls18_s013_ONE_BAR_LAG_FRAGILE,383
volatility_like|liquidity_rank_active_universe|liquidity_like,HOLD_A7LS18a7ls18_s043_PRE_MAY_UNSTABLE,383
basis_premium|positioning_flow|regime_state,HOLD_A7LS18a7ls18_s036_PRE_MAY_UNSTABLE,382
volatility_like|liquidity_rank_active_universe|positioning_like,HOLD_A7LS18a7ls18_s044_PRE_MAY_UNSTABLE,380
basis_premium_like|positioning_like,HOLD_A7LS18a7ls18_s023_ONE_BAR_LAG_FRAGILE,380
open_interest_like|positioning_like|regime_state,HOLD_A7LS18a7ls18_s041_PRE_MAY_UNSTABLE,378
taker_flow_like|regime_state,HOLD_A7LS18a7ls18_s091_CONTROL_DOMINATED,376
basis_premium_like|volatility_like,HOLD_A7LS18a7ls18_s030_ONE_BAR_LAG_FRAGILE,374
low_prior_axes|basis_premium_like,HOLD_A7LS18a7ls18_s132_ONE_BAR_LAG_FRAGILE,370
open_interest_like|age_x_liquidity|volatility_like,HOLD_A7LS18a7ls18_s040_PRE_MAY_UNSTABLE,367
basis_premium_like,HOLD_A7LS18a7ls18_s004_ONE_BAR_LAG_FRAGILE,365
volatility_like|basis_premium_like,HOLD_A7LS18a7ls18_s043_CONTROL_DOMINATED,364
basis_premium_like|volatility_like,HOLD_A7LS18a7ls18_s034_ONE_BAR_LAG_FRAGILE,362
basis_premium_like|price_like,HOLD_A7LS18a7ls18_s028_ONE_BAR_LAG_FRAGILE,360
basis_premium|positioning_flow|basis_premium_like,HOLD_A7LS18a7ls18_s036_CONTROL_DOMINATED,353
basis_premium_like|age_x_volatility|volatility_like,HOLD_A7LS18a7ls18_s006_CONTROL_DOMINATED,353
basis_premium_like|positioning_like,HOLD_A7LS18a7ls18_s019_ONE_BAR_LAG_FRAGILE,351
taker_flow_like|liquidity_like,HOLD_A7LS18a7ls18_s088_PRE_MAY_UNSTABLE,349
open_interest_like|age_x_liquidity|listing_age_like,HOLD_A7LS18a7ls18_s039_PRE_MAY_UNSTABLE,348
listing_age_like|regime_state|volatility_like,HOLD_A7LS18a7ls18_s039_CONTROL_DOMINATED,346
volatility_like,HOLD_A7LS18a7ls18_s043_PRE_MAY_UNSTABLE,339
placebo|price_like,A7LS18a7ls18_s140_RANK_LABEL_DIAGNOSTIC_CLUE,333
basis_premium_like|age_x_volatility|volatility_like,HOLD_A7LS18a7ls18_s006_PRE_MAY_UNSTABLE,331
basis_premium_like|liquidity_like,HOLD_A7LS18a7ls18_s008_ONE_BAR_LAG_FRAGILE,329
placebo|price_like,A7LS18a7ls18_s141_RANK_LABEL_DIAGNOSTIC_CLUE,323
placebo|price_like,A7LS18a7ls18_s139_RANK_LABEL_DIAGNOSTIC_CLUE,322
price_like|taker_flow_like,HOLD_A7LS18a7ls18_s084_PRE_MAY_UNSTABLE,318
listing_age_like,HOLD_A7LS18a7ls18_s064_CONTROL_DOMINATED,315
listing_age_like|basis_premium_like,HOLD_A7LS18a7ls18_s099_ONE_BAR_LAG_FRAGILE,310
volatility_like|liquidity_rank_active_universe|basis_premium_like,HOLD_A7LS18a7ls18_s043_CONTROL_DOMINATED,304
basis_premium_like,HOLD_A7LS18a7ls18_s005_ONE_BAR_LAG_FRAGILE,293
basis_premium_like,HOLD_A7LS18a7ls18_s001_ONE_BAR_LAG_FRAGILE,292
taker_flow_like|listing_age_like,HOLD_A7LS18a7ls18_s089_PRE_MAY_UNSTABLE,292
open_interest_like|liquidity_rank_active_universe|regime_state,HOLD_A7LS18a7ls18_s040_CONTROL_DOMINATED,284
volatility_like|liquidity_rank_active_universe|listing_age_like,HOLD_A7LS18a7ls18_s044_PRE_MAY_UNSTABLE,283
price_like|volatility_like,HOLD_A7LS18a7ls18_s085_CONTROL_DOMINATED,283
listing_age_like|regime_state|listing_age_like,A7LS18a7ls18_s039_RANK_LABEL_DIAGNOSTIC_CLUE,282
open_interest_like|liquidity_rank_active_universe|volatility_like,HOLD_A7LS18a7ls18_s040_PRE_MAY_UNSTABLE,282
listing_age_like|liquidity_like,HOLD_A7LS18a7ls18_s101_CONTROL_DOMINATED,277
basis_premium_like|volatility_like,HOLD_A7LS18a7ls18_s032_ONE_BAR_LAG_FRAGILE,275
basis_premium_like|price_like,HOLD_A7LS18a7ls18_s024_ONE_BAR_LAG_FRAGILE,275
basis_premium_like|listing_age_like,HOLD_A7LS18a7ls18_s017_ONE_BAR_LAG_FRAGILE,274
basis_premium_like|price_like,HOLD_A7LS18a7ls18_s025_ONE_BAR_LAG_FRAGILE,273
liquidity_like|listing_age_like,HOLD_A7LS18a7ls18_s060_PRE_MAY_UNSTABLE,273
basis_premium_like|positioning_like,HOLD_A7LS18a7ls18_s021_ONE_BAR_LAG_FRAGILE,271
positioning_like,HOLD_A7LS18a7ls18_s042_CONTROL_DOMINATED,267
price_like|taker_flow_like,HOLD_A7LS18a7ls18_s084_CONTROL_DOMINATED,266
basis_premium_like|listing_age_like,HOLD_A7LS18a7ls18_s018_ONE_BAR_LAG_FRAGILE,260
basis_premium_like|liquidity_like,HOLD_A7LS18a7ls18_s010_ONE_BAR_LAG_FRAGILE,260
open_interest_like|regime_state,HOLD_A7LS18a7ls18_s069_CONTROL_DOMINATED,258
basis_premium|basis_premium|positioning_like,HOLD_A7LS18a7ls18_s035_PRE_MAY_UNSTABLE,256
basis_premium_like,HOLD_A7LS18a7ls18_s000_ONE_BAR_LAG_FRAGILE,253
volatility_like,HOLD_A7LS18a7ls18_s043_CONTROL_DOMINATED,251
placebo|basis_premium_like,A7LS18a7ls18_s136_RANK_LABEL_DIAGNOSTIC_CLUE,249
price_like|volatility_like,HOLD_A7LS18a7ls18_s085_PRE_MAY_UNSTABLE,247
volatility_like|volume_volatility_ratio_168h|liquidity_like,HOLD_A7LS18a7ls18_s045_CONTROL_DOMINATED,247
positioning_like|taker_flow_like,HOLD_A7LS18a7ls18_s126_PRE_MAY_UNSTABLE,247
volatility_like|liquidity_rank_active_universe|listing_age_like,HOLD_A7LS18a7ls18_s043_CONTROL_DOMINATED,243
placebo|basis_premium_like,A7LS18a7ls18_s137_RANK_LABEL_DIAGNOSTIC_CLUE,241
listing_age_like|basis_premium_like,HOLD_A7LS18a7ls18_s098_CONTROL_DOMINATED,236
basis_premium_like|age_x_volatility|listing_age_like,A7LS18a7ls18_s005_RANK_LABEL_DIAGNOSTIC_CLUE,236
basis_premium|basis_premium|liquidity_like,HOLD_A7LS18a7ls18_s035_PRE_MAY_UNSTABLE,235
basis_premium_like|age_x_volatility|volatility_like,HOLD_A7LS18a7ls18_s007_CONTROL_DOMINATED,231
listing_age_like|regime_state|regime_state,HOLD_A7LS18a7ls18_s039_CONTROL_DOMINATED,230
basis_premium|positioning_flow|volatility_like,HOLD_A7LS18a7ls18_s037_CONTROL_DOMINATED,228
basis_premium|basis_premium|regime_state,HOLD_A7LS18a7ls18_s035_CONTROL_DOMINATED,228
price_like,A7LS18a7ls18_s078_RANK_LABEL_DIAGNOSTIC_CLUE,226
placebo|price_like,HOLD_A7LS18a7ls18_s140_ONE_BAR_LAG_FRAGILE,225
volatility_like|liquidity_like,HOLD_A7LS18a7ls18_s043_PRE_MAY_UNSTABLE,223
basis_premium_like|liquidity_like,HOLD_A7LS18a7ls18_s012_ONE_BAR_LAG_FRAGILE,220
funding_state_like,HOLD_A7LS18a7ls18_s054_CONTROL_DOMINATED,219
basis_premium_like|liquidity_like,HOLD_A7LS18a7ls18_s009_ONE_BAR_LAG_FRAGILE,219
volatility_like|liquidity_rank_active_universe|regime_state,HOLD_A7LS18a7ls18_s044_CONTROL_DOMINATED,213
basis_premium_like|listing_age_like,HOLD_A7LS18a7ls18_s015_ONE_BAR_LAG_FRAGILE,211
funding_state_like|open_interest_like,HOLD_A7LS18a7ls18_s057_PRE_MAY_UNSTABLE,209
listing_age_like|regime_state|basis_premium_like,HOLD_A7LS18a7ls18_s039_CONTROL_DOMINATED,208
volatility_like|volatility_like,HOLD_A7LS18a7ls18_s045_CONTROL_DOMINATED,205
basis_premium_like|liquidity_like,HOLD_A7LS18a7ls18_s011_ONE_BAR_LAG_FRAGILE,205
low_prior_axes|price_like,A7LS18a7ls18_s134_RANK_LABEL_DIAGNOSTIC_CLUE,205
volatility_like|positioning_like,HOLD_A7LS18a7ls18_s044_PRE_MAY_UNSTABLE,204
liquidity_like|listing_age_like,HOLD_A7LS18a7ls18_s060_CONTROL_DOMINATED,201
basis_premium_like|price_like,HOLD_A7LS18a7ls18_s029_ONE_BAR_LAG_FRAGILE,198
basis_premium_like|volatility_like,HOLD_A7LS18a7ls18_s035_CONTROL_DOMINATED,196
listing_age_like|regime_state|positioning_like,HOLD_A7LS18a7ls18_s039_PRE_MAY_UNSTABLE,195
basis_premium_like,HOLD_A7LS18a7ls18_s047_ONE_BAR_LAG_FRAGILE,193
basis_premium_like|price_like,HOLD_A7LS18a7ls18_s027_ONE_BAR_LAG_FRAGILE,190
volatility_like|volume_volatility_ratio_168h|positioning_like,HOLD_A7LS18a7ls18_s046_CONTROL_DOMINATED,185
listing_age_like|regime_state|liquidity_like,HOLD_A7LS18a7ls18_s039_PRE_MAY_UNSTABLE,184
basis_premium_like|volatility_like,A7LS18a7ls18_s033_RANK_LABEL_DIAGNOSTIC_CLUE,183
basis_premium_like|listing_age_like,HOLD_A7LS18a7ls18_s014_ONE_BAR_LAG_FRAGILE,182
