blueprint_id,parent_subgraph_id,child_subgraph_id,arg_index,parent_expression,child_expression
a7ff55r3_b1dc18531a4f6eda,sg_da17367ac30bb3fd,sg_4d134bc072212ace,1,,24
a7ff55r3_816cbed61d10f28e,sg_95c3213e5520a7f8,sg_9d0d001296fbe7e1,0,,open_interest_value_mean
a7ff55r3_816cbed61d10f28e,sg_95c3213e5520a7f8,sg_c097638f92de80ba,1,,72
a7ff55r3_1cd1275b06add886,sg_c540c4996ee45404,sg_9d0d001296fbe7e1,0,,open_interest_value_mean
a7ff55r3_1cd1275b06add886,sg_c540c4996ee45404,sg_c097638f92de80ba,1,,72
a7ff55r3_3e2ff5684ee3369c,sg_ee5af5ca29e10f40,sg_256738bffd9506f1,0,,taker_buy_quote_volume
a7ff55r3_3e2ff5684ee3369c,sg_ee5af5ca29e10f40,sg_1b6453892473a467,1,,4
a7ff55r3_00de280dce6975f6,sg_938d63877a3bfa80,sg_256738bffd9506f1,0,,taker_buy_quote_volume
a7ff55r3_00de280dce6975f6,sg_938d63877a3bfa80,sg_1b6453892473a467,1,,4
a7ff55r3_4b47a6ae82d68fb9,sg_84c8c8988f615da1,sg_938d63877a3bfa80,0,,"Mean(taker_buy_quote_volume,4)"
a7ff55r3_4b47a6ae82d68fb9,sg_938d63877a3bfa80,sg_256738bffd9506f1,0,,taker_buy_quote_volume
a7ff55r3_4b47a6ae82d68fb9,sg_938d63877a3bfa80,sg_1b6453892473a467,1,,4
a7ff55r3_5acedce2c1568639,sg_2c76ed10c74f42c3,sg_256738bffd9506f1,0,,taker_buy_quote_volume
a7ff55r3_5acedce2c1568639,sg_2c76ed10c74f42c3,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_cccf7c8fe9252362,sg_8aec27686cac5c3d,sg_256738bffd9506f1,0,,taker_buy_quote_volume
a7ff55r3_cccf7c8fe9252362,sg_8aec27686cac5c3d,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_819d8727cfab1057,sg_43c06e61b81b6480,sg_8aec27686cac5c3d,0,,"Mean(taker_buy_quote_volume,8)"
a7ff55r3_819d8727cfab1057,sg_8aec27686cac5c3d,sg_256738bffd9506f1,0,,taker_buy_quote_volume
a7ff55r3_819d8727cfab1057,sg_8aec27686cac5c3d,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_0d7bf87453aa581b,sg_12235930bbad6330,sg_256738bffd9506f1,0,,taker_buy_quote_volume
a7ff55r3_0d7bf87453aa581b,sg_12235930bbad6330,sg_4d134bc072212ace,1,,24
a7ff55r3_042fe037b105bd17,sg_bb0e8ae4b97453a7,sg_256738bffd9506f1,0,,taker_buy_quote_volume
a7ff55r3_042fe037b105bd17,sg_bb0e8ae4b97453a7,sg_4d134bc072212ace,1,,24
a7ff55r3_dda10c6d7aa8ef90,sg_95a8dd474d522716,sg_bb0e8ae4b97453a7,0,,"Mean(taker_buy_quote_volume,24)"
a7ff55r3_dda10c6d7aa8ef90,sg_bb0e8ae4b97453a7,sg_256738bffd9506f1,0,,taker_buy_quote_volume
a7ff55r3_dda10c6d7aa8ef90,sg_bb0e8ae4b97453a7,sg_4d134bc072212ace,1,,24
a7ff55r3_66d5d4faeee64606,sg_302100f118829a51,sg_256738bffd9506f1,0,,taker_buy_quote_volume
a7ff55r3_66d5d4faeee64606,sg_302100f118829a51,sg_c097638f92de80ba,1,,72
a7ff55r3_0ef0d2c19c017b1b,sg_10f92a3188ac909d,sg_256738bffd9506f1,0,,taker_buy_quote_volume
a7ff55r3_0ef0d2c19c017b1b,sg_10f92a3188ac909d,sg_c097638f92de80ba,1,,72
a7ff55r3_e0dbbb01940bf2ec,sg_3c52c17a556491d5,sg_7624d257c7c0cfb3,0,,taker_buy_sell_volume_ratio_last
a7ff55r3_e0dbbb01940bf2ec,sg_3c52c17a556491d5,sg_1b6453892473a467,1,,4
a7ff55r3_469cf4ab6572ccdd,sg_5354a2a056ccb156,sg_7624d257c7c0cfb3,0,,taker_buy_sell_volume_ratio_last
a7ff55r3_469cf4ab6572ccdd,sg_5354a2a056ccb156,sg_1b6453892473a467,1,,4
a7ff55r3_fe9511b714d96c68,sg_5399f844bb197b1b,sg_5354a2a056ccb156,0,,"Mean(taker_buy_sell_volume_ratio_last,4)"
a7ff55r3_fe9511b714d96c68,sg_5354a2a056ccb156,sg_7624d257c7c0cfb3,0,,taker_buy_sell_volume_ratio_last
a7ff55r3_fe9511b714d96c68,sg_5354a2a056ccb156,sg_1b6453892473a467,1,,4
a7ff55r3_cfec59c20c8a3e6b,sg_ac0894388f9ce0ff,sg_7624d257c7c0cfb3,0,,taker_buy_sell_volume_ratio_last
a7ff55r3_cfec59c20c8a3e6b,sg_ac0894388f9ce0ff,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_006bd6b52d08b269,sg_86f325cfbab2b0b1,sg_7624d257c7c0cfb3,0,,taker_buy_sell_volume_ratio_last
a7ff55r3_006bd6b52d08b269,sg_86f325cfbab2b0b1,sg_fe5dbbcea5ce7e29,1,,8
