blueprint_id,expression,a7input_queue,semantic_pair,motif,skeleton_key,production_key,row_count,label_family_count,horizon_count,dominant_decision,dominant_decision_share,median_control_ratio,min_control_ratio,median_positive_split_count,max_positive_split_count,max_recent_spread,max_cost5_recent,best_label_family,best_label_horizon_h,best_decision
a7ff24r_8e3dd007dfadf9b2,"Mul(Mean(mark_index_basis_bps,2),trade_return_1h)",interaction_alpha,basis_premium_like|price_like,mul,skel_0994b3a36a4d53ba,prod_869572a0beebc344,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.875,4.7137429324655615,1.0,1.5,3,0.0473666412503264,0.0463666412503264,L5_vol_adjusted,24,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_8176be4b94b1f677,"SafeDiv(Delta(mark_index_basis_bps,8),Abs(trade_return_1h))",interaction_alpha,basis_premium_like|price_like,safe_div_abs,skel_136259b72205469f,prod_b4ee45913c3c46ff,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.5625,1.3195076794178866,1.0,3.0,3,0.0470553219157111,0.0460553219157111,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_650915032f2a5979,"Mul(Delta(mark_index_basis_bps,12),Sign(realized_vol_24h))",ordinary_alpha,basis_premium_like|volatility_like,gated_sign,skel_136259b72205469f,prod_98aebf3941164f2e,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.6875,1.0242858710516565,1.0,2.0,3,0.046531009490544,0.045531009490544,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_858ff2210f276fcf,"Delta(mark_index_basis_bps,12)",ordinary_alpha,basis_premium_like,single,skel_1d39996e97d5ace0,prod_b35e184f3abd0abb,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.6875,1.1024760150089565,1.0,2.0,3,0.0465040589754347,0.0455040589754347,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_35936163ee9000cf,"Sub(CSRank(ZScore(Mean(mark_index_basis_bps,2))),CSRank(ZScore(Mean(premium_close_bps,12))))",ordinary_alpha,basis_premium_like|basis_premium_like,spread_rank,skel_f4061a64df347a31,prod_8aa3fa99b2fd7af3,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.5,1.00741001875177,0.9996170353189396,2.5,3,0.0455669320967841,0.0445669320967841,L5_vol_adjusted,4,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_1c490f81c21f5f03,"SafeDiv(Delta(mark_index_basis_bps,12),Abs(trade_return_1h))",ordinary_alpha,basis_premium_like|price_like,safe_div_abs,skel_136259b72205469f,prod_adeb47b6cdca0041,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.5625,1.3625291474804677,1.0,3.0,3,0.0421824354132661,0.0411824354132661,L5_vol_adjusted,24,HOLD_CORE56_PREMAY_UNSTABLE
a7ff24r_eb94ce69b7faa44c,"Delta(mark_index_basis_bps,72)",ordinary_alpha,basis_premium_like,single,skel_1d39996e97d5ace0,prod_47d0f6606d8c6144,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.75,1.0,1.0,2.0,3,0.0409663988035692,0.0399663988035692,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_712cf35327cfd98e,"Mul(Delta(premium_close_bps,2),Sign(realized_vol_24h))",ordinary_alpha,basis_premium_like|volatility_like,gated_sign,skel_136259b72205469f,prod_a75f5b975b078fcc,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.75,1.1612678987311817,1.0029852409904825,3.0,3,0.0397423838068899,0.0387423838068899,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_7f35619193e2d6d9,"Sub(Delta(premium_close_bps,2),trade_return_1h)",ordinary_alpha,basis_premium_like|price_like,sub,skel_0994b3a36a4d53ba,prod_311c5e287ff25d33,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.75,1.1416516670010188,1.0,3.0,3,0.0395232003367475,0.0385232003367475,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_0f543a2861f3d20f,"SafeDiv(Delta(premium_close_bps,4),Abs(realized_vol_168h))",interaction_alpha,basis_premium_like|volatility_like,safe_div_abs,skel_136259b72205469f,prod_3cf58515f98ebe7e,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.6875,1.2002406638055252,1.004052045196611,2.0,3,0.0387169415382581,0.0377169415382581,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
