blueprint_id,semantic_pair,motif,label_family,label_horizon_h,score_no_may,control_ratio_premay_max,cost10_recent_oriented,robust_median_tstat_floor,skeleton_key,expression
a7ls29_28ce36472bcdfb40,basis_premium_like|positioning_like,signed_spread,L5_vol_adjusted_return,4,115.48330440270374,0.8887204358288134,0.1083720248385325,0.5518956968464213,basis_premium_like|positioning_like|signed_spread|d8a4b8811704,"Clip(Mul(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(Decay(top_long_short_account_ratio_mean,12))),Sign(Decay(top_long_short_account_ratio_mean,48))),-3,3)"
a7ls29_eed917b8870b40f9,basis_premium_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,4,112.31180682570024,0.9955512409019116,0.1053073580666021,0.7767017928478281,basis_premium_like|positioning_like|safe_div_abs|66babe34f110,"SafeDiv(TSRank(mark_index_basis_bps,16),Abs(ZScore(Mean(global_long_short_account_ratio_last,168))))"
a7ls29_720151a4fe891915,basis_premium_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,4,109.95572734903187,0.8368411138967666,0.1027925684629286,1.6056897274565616,basis_premium_like|positioning_like|safe_div_abs|a9e1fabae300,"CSRank(SafeDiv(TSRank(mark_index_basis_bps,6),Abs(Decay(account_position_divergence,240))))"
a7ls29_53bfc16da9067899,basis_premium_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,4,107.45934137029772,0.7715443024667319,0.1002308856727644,1.6920512701262416,basis_premium_like|positioning_like|safe_div_abs|6cf4ca98f728,"Clip(SafeDiv(TSRank(mark_index_basis_bps,6),Abs(Decay(account_position_divergence,240))),-3,3)"
a7ls29_44ffc36e4d56829a,basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,24,93.63423238764904,0.8316804470020888,0.0874659128346511,3.208489432587184,basis_premium_like|age_x_volatility|positioning_like|seed_sub|1e4396b31b6e,"Neg(Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,504)))"
a7ls29_3f4bc145007d54e1,basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,24,93.38282573920472,0.7396307821574719,0.0871224565213621,3.317017599245246,basis_premium_like|age_x_volatility|positioning_like|seed_sub|f9f37c62b5b3,"Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,504))"
a7ls29_0594a3ce22c78858,basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,24,93.31748676002432,0.7876032316527463,0.087105089991677,2.9537435391983227,basis_premium_like|age_x_volatility|positioning_like|seed_sub|f9f37c62b5b3,"Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,336))"
a7ls29_1be49c6a1ca21082,basis_premium_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,1,92.68118970477538,0.5219123385839634,0.0852031020433593,5.867162359601954,basis_premium_like|positioning_like|safe_div_abs|94f9038a6c4b,"CSRank(SafeDiv(SafeDiv(Clip(ZScore(mark_index_basis_bps),-3,3),Abs(CSRank(top_global_account_divergence))),Abs(ZScore(SafeDiv(Clip(ZScore(mark_index_basis_bps),-3,3),Abs(CSRank(top_global_account_divergence)))))))"
a7ls29_096a4ad199ada213,basis_premium_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,1,92.68118970477538,0.5219123385839634,0.0852031020433593,5.867162359601954,basis_premium_like|positioning_like|safe_div_abs|b007ad7bf4dd,"SafeDiv(SafeDiv(Clip(ZScore(mark_index_basis_bps),-3,6),Abs(CSRank(top_global_account_divergence))),Abs(ZScore(SafeDiv(Clip(ZScore(mark_index_basis_bps),-3,3),Abs(CSRank(top_global_account_divergence))))))"
a7ls29_a2727958647ad46c,basis_premium_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,1,92.68118970477538,0.5219123385839634,0.0852031020433593,5.867162359601954,basis_premium_like|positioning_like|safe_div_abs|0e25b4adc31c,"ZScore(SafeDiv(SafeDiv(Clip(ZScore(mark_index_basis_bps),-3,3),Abs(CSRank(top_global_account_divergence))),Abs(ZScore(SafeDiv(Clip(ZScore(mark_index_basis_bps),-3,3),Abs(CSRank(top_global_account_divergence)))))))"
a7ls29_5844e812f73d5a7b,basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,24,92.49862747433436,0.750815496257941,0.0862494429705923,2.969585010665498,basis_premium_like|age_x_volatility|positioning_like|seed_sub|1113200197c9,"CSRank(Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,504)))"
a7ls29_07d6f9d47f6d22d7,basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,24,92.49862747433436,0.750815496257941,0.0862494429705923,2.969585010665498,basis_premium_like|age_x_volatility|positioning_like|seed_sub|0970bc06439d,"ZScore(Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,504)))"
a7ls29_557ba82fcd9b19fc,basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,24,92.49862747433436,0.750815496257941,0.0862494429705923,2.969585010665498,basis_premium_like|age_x_volatility|positioning_like|seed_sub|bff838013ca2,"Clip(Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,504)),-3,3)"
a7ls29_9854d0412fa899d2,basis_premium_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,1,91.79660668303931,0.5127682751949145,0.0843093749582342,6.290497694128299,basis_premium_like|positioning_like|safe_div_abs|e4c038293a2a,"Neg(SafeDiv(SafeDiv(Clip(ZScore(mark_index_basis_bps),-3,3),Abs(CSRank(top_global_account_divergence))),Abs(ZScore(SafeDiv(Clip(ZScore(mark_index_basis_bps),-3,3),Abs(CSRank(top_global_account_divergence)))))))"
a7ls29_66bc165cc8e085e1,basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,24,91.18500264440128,0.7925384500639854,0.0849775410944652,2.6042690115918217,basis_premium_like|age_x_volatility|positioning_like|seed_sub|1113200197c9,"CSRank(Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,72)))"
a7ls29_cccc1ca915c1a423,basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,24,91.18500264440128,0.7925384500639854,0.0849775410944652,2.6042690115918217,basis_premium_like|age_x_volatility|positioning_like|seed_sub|0970bc06439d,"ZScore(Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,72)))"
a7ls29_724ad4c16dc4423e,basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,24,91.18500264440128,0.7925384500639854,0.0849775410944652,2.6042690115918217,basis_premium_like|age_x_volatility|positioning_like|seed_sub|bff838013ca2,"Clip(Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,72)),-3,3)"
