static_selector_rank,candidate_id,family_id,primary_seed_field,source_fields,expression,skeleton_key,production_key,motif,static_valid,uses_may,allowed_next_use
86,a7ab3_021b4f610f3970e8,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(Sub(Decay(Mean(trade_return_1h,168),24),Mean(Decay(trade_return_1h,4),24)),Sub(Rank(Decay(trade_return_1h,12)),Rank(Decay(trade_return_1h,24)))),-3,3)",skeleton_931e68d04ee11844,prod_056e7ad5caa8f44f,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
87,a7ab3_d940e363bf9cd3a8,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Mul(Mean(trade_return_1h,24),Sub(TSRank(Delta(trade_return_1h,4),72),Rank(Delta(trade_return_1h,24))))",skeleton_f45bdb251a88eaea,prod_6199adfa8867969c,self_interaction,True,False,A7AB4_materialization_preflight_only
88,a7ab3_e5167d2f64915e5b,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Sub(Mean(trade_return_1h,24),Decay(trade_return_1h,4)),Sub(TSRank(trade_return_1h,168),Rank(trade_return_1h)))",skeleton_d28a4a1d3d3ef772,prod_5e2ddc6848a8647b,horizon_spread,True,False,A7AB4_materialization_preflight_only
89,a7ab3_bcb436c0074ea24b,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(TSRank(trade_return_1h,168),TSRank(trade_return_1h,72)),-3,3)",skeleton_2c7cbbca5fb2e3ff,prod_a8fe6605cb56c896,clip_atom,True,False,A7AB4_materialization_preflight_only
90,a7ab3_6e1f02f64d66b106,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Sub(Decay(trade_return_1h,4),Decay(trade_return_1h,12)))",skeleton_80be2e39216c5bd2,prod_d8e79de02a0cbdcc,single_atom,True,False,A7AB4_materialization_preflight_only
91,a7ab3_a3f75ae311f90093,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Decay(Sub(TSRank(Delta(trade_return_1h,4),24),Rank(Delta(trade_return_1h,1))),12)",skeleton_7575df9b531b63a5,prod_16ca27c1c6a0bce8,decay_atom,True,False,A7AB4_materialization_preflight_only
92,a7ab3_1db22b36559f6af6,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(TSRank(Sub(Mean(trade_return_1h,4),Mean(trade_return_1h,168)),72))",skeleton_4bc196574b0d7a0a,prod_1debfd1164de9f7a,zscore_atom,True,False,A7AB4_materialization_preflight_only
93,a7ab3_c8e07694e71879ba,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Decay(Sub(Mean(trade_return_1h,24),Mean(trade_return_1h,168)),12),Sub(ZScore(Delta(trade_return_1h,1)),ZScore(Delta(trade_return_1h,24))))",skeleton_1889f2effaf94e35,prod_a1a05a4ec1de64ab,horizon_spread,True,False,A7AB4_materialization_preflight_only
94,a7ab3_2e7c990e5944df16,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Mul(Clip(Sub(Mean(trade_return_1h,24),Decay(trade_return_1h,12)),-3,3),Rank(Winsor(ZScore(trade_return_1h),3)))",skeleton_aee8e5fc677d3eb9,prod_379dbc439456e4cf,self_interaction,True,False,A7AB4_materialization_preflight_only
95,a7ab3_4a6c6cfce4526920,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Winsor(Sub(Mean(trade_return_1h,24),Decay(trade_return_1h,12)),3),-3,3)",skeleton_7ca490bb03c28445,prod_9e5ee782ba923396,clip_atom,True,False,A7AB4_materialization_preflight_only
96,a7ab3_d3f926f848b62f97,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(Sub(Decay(Mean(trade_return_1h,168),24),Mean(Decay(trade_return_1h,4),4)),Sub(Rank(Decay(trade_return_1h,4)),Rank(Decay(trade_return_1h,24)))),-3,3)",skeleton_931e68d04ee11844,prod_056e7ad5caa8f44f,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
97,a7ab3_635a634406f75dbf,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Delta(trade_return_1h,1),ZScore(Sub(Decay(trade_return_1h,24),Decay(trade_return_1h,12))))",skeleton_92a027c8f2dc1bf3,prod_d9e852b96887a3ae,horizon_spread,True,False,A7AB4_materialization_preflight_only
98,a7ab3_5262979283b9203b,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Mul(Mean(trade_return_1h,24),Sub(TSRank(Delta(trade_return_1h,4),168),Rank(Delta(trade_return_1h,1))))",skeleton_f45bdb251a88eaea,prod_6199adfa8867969c,self_interaction,True,False,A7AB4_materialization_preflight_only
99,a7ab3_17c42be202c9cbe2,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Mul(Decay(ZScore(trade_return_1h),24),Mul(Rank(Mean(trade_return_1h,72)),ZScore(Delta(trade_return_1h,24)))),3)",skeleton_dbcc3589a0dbe876,prod_dc30f8d952ea4686,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
100,a7ab3_f9717242a0caddf1,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Rank(Sub(Decay(Delta(trade_return_1h,24),4),Mul(Rank(Delta(trade_return_1h,24)),TSRank(Mean(trade_return_1h,168),24))))",skeleton_55190e4dae05846e,prod_de6f7d73aed56a96,rank_horizon_spread,True,False,A7AB4_materialization_preflight_only
101,a7ab3_91c5e3b158d8756f,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Mul(Rank(Sub(Mean(trade_return_1h,168),Mean(trade_return_1h,4))),Decay(Delta(trade_return_1h,24),12)),3)",skeleton_ccfa2357b3384254,prod_730aac3ca69a9422,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
102,a7ab3_921d94bacd0846ce,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Decay(Sub(TSRank(Delta(trade_return_1h,4),168),Rank(Delta(trade_return_1h,1))),12)",skeleton_7575df9b531b63a5,prod_16ca27c1c6a0bce8,decay_atom,True,False,A7AB4_materialization_preflight_only
103,a7ab3_d6b7020960e8d3ad,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Mul(Sub(ZScore(Mean(trade_return_1h,168)),ZScore(Mean(trade_return_1h,24))),Rank(Delta(trade_return_1h,24))),3)",skeleton_2c7cd176105b2194,prod_3ea07d65a9e9f256,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
104,a7ab3_c7491fd8f44ca7f5,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(TSRank(Sub(Mean(trade_return_1h,4),Mean(trade_return_1h,24)),168))",skeleton_4bc196574b0d7a0a,prod_1debfd1164de9f7a,zscore_atom,True,False,A7AB4_materialization_preflight_only
105,a7ab3_d980ad26bcb4c483,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Decay(Sub(Mean(trade_return_1h,24),Mean(trade_return_1h,72)),12),Sub(ZScore(Delta(trade_return_1h,1)),ZScore(Delta(trade_return_1h,4))))",skeleton_1889f2effaf94e35,prod_a1a05a4ec1de64ab,horizon_spread,True,False,A7AB4_materialization_preflight_only
106,a7ab3_eac0f8817e166c2e,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(Sub(Decay(Mean(trade_return_1h,168),24),Mean(Decay(trade_return_1h,12),4)),Sub(Rank(Decay(trade_return_1h,24)),Rank(Decay(trade_return_1h,12)))),-3,3)",skeleton_931e68d04ee11844,prod_056e7ad5caa8f44f,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
107,a7ab3_08569ed7df17523d,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Mul(Mul(Rank(Delta(trade_return_1h,24)),TSRank(Mean(trade_return_1h,168),24)),ZScore(Clip(Delta(trade_return_1h,24),-3,3))),3)",skeleton_43e74ec1ca3f49da,prod_6d6d01e9711e8ccf,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
108,a7ab3_742a4e43e745fd41,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Delta(trade_return_1h,1),ZScore(Sub(Decay(trade_return_1h,12),Decay(trade_return_1h,4))))",skeleton_92a027c8f2dc1bf3,prod_d9e852b96887a3ae,horizon_spread,True,False,A7AB4_materialization_preflight_only
109,a7ab3_687d0810482644d2,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Mul(ZScore(Mean(trade_return_1h,168)),Sub(Decay(trade_return_1h,4),Decay(trade_return_1h,24))))",skeleton_b4719759c75cc639,prod_0b0687502f84bf2e,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
110,a7ab3_fb7800c317573c85,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(TSRank(Delta(trade_return_1h,4),72),Clip(Delta(trade_return_1h,4),-3,3)),-3,3)",skeleton_9e297cdfa8071e81,prod_51fe2182fc723b6d,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
111,a7ab3_3147885b672dd046,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Sub(Decay(trade_return_1h,4),Decay(trade_return_1h,24)),3)",skeleton_1bfeeed2faa0c752,prod_8e644e9ec4718486,winsor_atom,True,False,A7AB4_materialization_preflight_only
112,a7ab3_5040cda001e91d9a,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Mul(TSRank(Mean(trade_return_1h,168),168),Clip(ZScore(trade_return_1h),-3,3)))",skeleton_98d9fdb977d26ca6,prod_9935966b8924989e,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
113,a7ab3_3b5cd99e8f6fac18,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Mul(Rank(Sub(Mean(trade_return_1h,168),Mean(trade_return_1h,72))),Decay(Delta(trade_return_1h,24),4)),3)",skeleton_ccfa2357b3384254,prod_730aac3ca69a9422,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
114,a7ab3_fdc8d9a6bc7ce743,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Sub(Decay(trade_return_1h,4),Decay(trade_return_1h,24)))",skeleton_80be2e39216c5bd2,prod_d8e79de02a0cbdcc,single_atom,True,False,A7AB4_materialization_preflight_only
115,a7ab3_0492fc2dc251a963,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(ZScore(Decay(Delta(trade_return_1h,1),4)),3)",skeleton_631f433b0ee241f4,prod_3d36a8835cdf28f4,winsor_atom,True,False,A7AB4_materialization_preflight_only
116,a7ab3_9f70ceb9805684ed,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Decay(Sub(TSRank(Delta(trade_return_1h,4),24),Rank(Delta(trade_return_1h,24))),12)",skeleton_7575df9b531b63a5,prod_16ca27c1c6a0bce8,decay_atom,True,False,A7AB4_materialization_preflight_only
117,a7ab3_121126912168eca3,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Rank(Sub(Rank(Decay(trade_return_1h,12)),Rank(Decay(trade_return_1h,4))))",skeleton_0d0b63c5ed3bddab,prod_603d364565462afc,rank_atom,True,False,A7AB4_materialization_preflight_only
118,a7ab3_e78907b6fe730b72,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Decay(Sub(Mean(trade_return_1h,24),Mean(trade_return_1h,4)),12),Sub(ZScore(Delta(trade_return_1h,1)),ZScore(Delta(trade_return_1h,24))))",skeleton_1889f2effaf94e35,prod_a1a05a4ec1de64ab,horizon_spread,True,False,A7AB4_materialization_preflight_only
119,a7ab3_038aab2d14635d27,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(Sub(Decay(Mean(trade_return_1h,168),12),Mean(Decay(trade_return_1h,24),24)),Sub(Rank(Decay(trade_return_1h,4)),Rank(Decay(trade_return_1h,12)))),-3,3)",skeleton_931e68d04ee11844,prod_056e7ad5caa8f44f,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
120,a7ab3_1ff14c43b4ca0167,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Mul(ZScore(Mean(trade_return_1h,168)),Sub(Decay(trade_return_1h,24),Decay(trade_return_1h,4))))",skeleton_b4719759c75cc639,prod_0b0687502f84bf2e,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
121,a7ab3_03ab97322292f3ce,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Sub(Mean(trade_return_1h,24),Decay(trade_return_1h,24)),Sub(TSRank(trade_return_1h,72),Rank(trade_return_1h)))",skeleton_d28a4a1d3d3ef772,prod_5e2ddc6848a8647b,horizon_spread,True,False,A7AB4_materialization_preflight_only
122,a7ab3_7316a2b521cb1c22,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Mul(Sub(Mean(trade_return_1h,24),Mean(trade_return_1h,4)),Mean(Delta(trade_return_1h,4),72))",skeleton_9d763470c3811caf,prod_b98c981c78f86d30,self_interaction,True,False,A7AB4_materialization_preflight_only
123,a7ab3_c07985d1fcaa24b0,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(TSRank(trade_return_1h,24),TSRank(trade_return_1h,72)),-3,3)",skeleton_2c7cbbca5fb2e3ff,prod_a8fe6605cb56c896,clip_atom,True,False,A7AB4_materialization_preflight_only
124,a7ab3_6341910d0e487a0a,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Rank(Sub(Decay(Delta(trade_return_1h,24),4),Mul(Rank(Delta(trade_return_1h,24)),TSRank(Mean(trade_return_1h,168),72))))",skeleton_55190e4dae05846e,prod_de6f7d73aed56a96,rank_horizon_spread,True,False,A7AB4_materialization_preflight_only
125,a7ab3_b6725966c14a9be3,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Mul(Rank(Sub(Mean(trade_return_1h,168),Mean(trade_return_1h,24))),Decay(Delta(trade_return_1h,24),24)),3)",skeleton_ccfa2357b3384254,prod_730aac3ca69a9422,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
126,a7ab3_dc44afc5259ccc05,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(Mul(Decay(trade_return_1h,4),ZScore(Delta(trade_return_1h,4))),ZScore(trade_return_1h)),-3,3)",skeleton_007ceb90e9646fcf,prod_a95f791bfd5358fe,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
127,a7ab3_db6a0348699edb64,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(TSRank(Sub(Mean(trade_return_1h,4),Mean(trade_return_1h,168)),168))",skeleton_4bc196574b0d7a0a,prod_1debfd1164de9f7a,zscore_atom,True,False,A7AB4_materialization_preflight_only
128,a7ab3_6db37aad39bbf135,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Decay(Sub(Mean(trade_return_1h,24),Mean(trade_return_1h,168)),12),Sub(ZScore(Delta(trade_return_1h,1)),ZScore(Delta(trade_return_1h,4))))",skeleton_1889f2effaf94e35,prod_a1a05a4ec1de64ab,horizon_spread,True,False,A7AB4_materialization_preflight_only
129,a7ab3_2f8c77816748d902,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"Rank(Sub(Decay(Delta(realized_vol_168h,24),24),Mul(Rank(Delta(realized_vol_168h,24)),TSRank(Mean(realized_vol_168h,168),24))))",skeleton_55190e4dae05846e,prod_f86e83a9556e9ca6,rank_horizon_spread,True,False,A7AB4_materialization_preflight_only
130,a7ab3_a57eb6ce05e367c3,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"ZScore(Mul(TSRank(Mean(realized_vol_24h,168),72),Clip(ZScore(realized_vol_24h),-3,3)))",skeleton_98d9fdb977d26ca6,prod_ab09ba760d853458,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
131,a7ab3_9508762e405d7011,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"Clip(Sub(ZScore(Delta(Mean(realized_vol_168h,168),4)),Sub(ZScore(Mean(realized_vol_168h,4)),ZScore(realized_vol_168h))),-3,3)",skeleton_b76f814c406fe774,prod_6910e9bf982d2e53,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
132,a7ab3_cae650e9f2d5c706,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"Winsor(Mul(Rank(Sub(Mean(realized_vol_24h,168),Mean(realized_vol_24h,4))),Decay(Delta(realized_vol_24h,24),12)),3)",skeleton_ccfa2357b3384254,prod_defcbbf1d7acb75f,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
133,a7ab3_fa3f301b421b8133,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"ZScore(Sub(Decay(realized_vol_168h,24),Decay(realized_vol_168h,4)))",skeleton_80be2e39216c5bd2,prod_05ef2fe8f8a41b76,single_atom,True,False,A7AB4_materialization_preflight_only
134,a7ab3_28e51a0e6693cfec,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"Rank(Clip(Delta(realized_vol_24h,4),-3,3))",skeleton_3f55f7b241c017b0,prod_7f82d14ecca86078,rank_atom,True,False,A7AB4_materialization_preflight_only
135,a7ab3_bbb7dfb65796056a,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"ZScore(Winsor(Delta(realized_vol_168h,24),3))",skeleton_7d48c4b2a2648ef2,prod_b290b6510419cb00,zscore_atom,True,False,A7AB4_materialization_preflight_only
136,a7ab3_423cbb3923c8a589,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"Sub(Clip(Mean(realized_vol_24h,24),-3,3),Rank(realized_vol_24h))",skeleton_db44ca1a799bf920,prod_2b59dddf786cb374,horizon_spread,True,False,A7AB4_materialization_preflight_only
137,a7ab3_51574730aeb2aaae,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"Mul(Winsor(Mean(realized_vol_168h,24),3),Winsor(ZScore(realized_vol_168h),3))",skeleton_e25be550185307eb,prod_0f36c6c51bafe940,self_interaction,True,False,A7AB4_materialization_preflight_only
138,a7ab3_d421907e33e0aa0c,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"Clip(Rank(Mean(Delta(realized_vol_24h,24),24)),-3,3)",skeleton_929d58856d54a847,prod_9c30bb123baf1cc7,clip_atom,True,False,A7AB4_materialization_preflight_only
139,a7ab3_165c7d8966b27a17,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"Winsor(ZScore(Decay(Delta(realized_vol_168h,1),4)),3)",skeleton_631f433b0ee241f4,prod_7b7185ad43eef39c,winsor_atom,True,False,A7AB4_materialization_preflight_only
140,a7ab3_14924eedc6012122,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"Decay(Sub(TSRank(Delta(realized_vol_24h,4),168),Rank(Delta(realized_vol_24h,1))),12)",skeleton_7575df9b531b63a5,prod_d89ea2afb009d832,decay_atom,True,False,A7AB4_materialization_preflight_only
141,a7ab3_0eaaced93d228abb,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"Rank(Sub(Mul(Rank(Mean(realized_vol_168h,72)),ZScore(Delta(realized_vol_168h,24))),Sub(ZScore(Mean(realized_vol_168h,168)),ZScore(Mean(realized_vol_168h,24)))))",skeleton_4cc6aa92a92e6b32,prod_d7ec86c679f93df5,rank_horizon_spread,True,False,A7AB4_materialization_preflight_only
142,a7ab3_be234aa72c818d6f,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"ZScore(Mul(Mul(TSRank(realized_vol_24h,168),ZScore(Mean(realized_vol_24h,168))),Rank(Clip(ZScore(realized_vol_24h),-3,3))))",skeleton_e52f279333afdc9d,prod_581577d7474ac034,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
143,a7ab3_58203eba4254d6d4,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"Clip(Sub(Mul(Decay(realized_vol_168h,4),ZScore(Delta(realized_vol_168h,4))),ZScore(realized_vol_168h)),-3,3)",skeleton_007ceb90e9646fcf,prod_dcefdf55af33c09a,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
144,a7ab3_0910532b861f90fd,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"Winsor(Mul(Sub(ZScore(Mean(realized_vol_24h,168)),ZScore(Mean(realized_vol_24h,24))),Rank(Delta(realized_vol_24h,24))),3)",skeleton_2c7cd176105b2194,prod_4bdd9663d0d788c1,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
145,a7ab3_22607517db3e6a3f,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"Sub(ZScore(Delta(realized_vol_168h,1)),ZScore(Delta(realized_vol_168h,4)))",skeleton_85fc7254db9ccb56,prod_dbbbc3eb9cbc24cd,single_atom,True,False,A7AB4_materialization_preflight_only
146,a7ab3_e0be061aa0f6ec18,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"Rank(Sub(Rank(Decay(realized_vol_24h,4)),Rank(Decay(realized_vol_24h,12))))",skeleton_0d0b63c5ed3bddab,prod_5e474ba2094131c8,rank_atom,True,False,A7AB4_materialization_preflight_only
147,a7ab3_6dfdff8de7de437e,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"ZScore(TSRank(Sub(Mean(realized_vol_168h,4),Mean(realized_vol_168h,24)),168))",skeleton_4bc196574b0d7a0a,prod_a683b2b5c7d8dd20,zscore_atom,True,False,A7AB4_materialization_preflight_only
148,a7ab3_d71a63800d5a96e8,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"Sub(Decay(Sub(Mean(realized_vol_24h,24),Mean(realized_vol_24h,72)),4),Sub(ZScore(Delta(realized_vol_24h,1)),ZScore(Delta(realized_vol_24h,24))))",skeleton_1889f2effaf94e35,prod_547b439b22124971,horizon_spread,True,False,A7AB4_materialization_preflight_only
149,a7ab3_3ba349170aa3c9d4,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"Mul(Clip(Sub(Mean(realized_vol_168h,24),Decay(realized_vol_168h,4)),-3,3),Rank(Winsor(ZScore(realized_vol_168h),3)))",skeleton_aee8e5fc677d3eb9,prod_c48aee19b380d955,self_interaction,True,False,A7AB4_materialization_preflight_only
150,a7ab3_24767370869504a1,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"Clip(Winsor(Sub(Mean(realized_vol_24h,24),Decay(realized_vol_24h,4)),3),-3,3)",skeleton_7ca490bb03c28445,prod_a22634e55bb0946c,clip_atom,True,False,A7AB4_materialization_preflight_only
151,a7ab3_2af478d1ff284e21,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"Winsor(Rank(Clip(ZScore(realized_vol_168h),-3,3)),3)",skeleton_05854e1690e1ce55,prod_25e7ec8d2c4bd8cb,winsor_atom,True,False,A7AB4_materialization_preflight_only
152,a7ab3_2a0039bf30a6a7d0,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"Decay(Rank(Winsor(ZScore(realized_vol_24h),3)),12)",skeleton_f79c9d833a6de838,prod_d6b2de4a876563ee,decay_atom,True,False,A7AB4_materialization_preflight_only
153,a7ab3_120b270331ffae65,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"Rank(Sub(ZScore(Clip(Delta(realized_vol_168h,24),-3,3)),Rank(Sub(Mean(realized_vol_168h,168),Mean(realized_vol_168h,24)))))",skeleton_fdce97d2c095b283,prod_f42494242a2f078b,rank_horizon_spread,True,False,A7AB4_materialization_preflight_only
154,a7ab3_e25116e69ba3fa53,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"ZScore(Mul(ZScore(Winsor(Delta(realized_vol_24h,1),3)),ZScore(Decay(Delta(realized_vol_24h,1),12))))",skeleton_272214a507ab883c,prod_34a60812a4aba870,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
155,a7ab3_21eb35cb1a9dad08,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"Clip(Sub(Sub(Decay(Mean(realized_vol_168h,168),12),Mean(Decay(realized_vol_168h,4),4)),Sub(Rank(Decay(realized_vol_168h,24)),Rank(Decay(realized_vol_168h,4)))),-3,3)",skeleton_931e68d04ee11844,prod_0e0f4edf609bffe4,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
156,a7ab3_dec8c780f9584e21,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"Winsor(Mul(Mul(Rank(Delta(realized_vol_24h,24)),TSRank(Mean(realized_vol_24h,168),24)),ZScore(Clip(Delta(realized_vol_24h,24),-3,3))),3)",skeleton_43e74ec1ca3f49da,prod_ffdb622467824899,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
157,a7ab3_3edc6f38cc9be3f3,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,Rank(realized_vol_168h),skeleton_9f0d66272a0406f6,prod_f09350f10eef3530,single_atom,True,False,A7AB4_materialization_preflight_only
158,a7ab3_6e301587da1c1fa3,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,Rank(ZScore(realized_vol_24h)),skeleton_0f915c45eabbea19,prod_ff9649f4b0b5dcc7,rank_atom,True,False,A7AB4_materialization_preflight_only
159,a7ab3_48969073c64c1094,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"ZScore(TSRank(realized_vol_168h,72))",skeleton_8196f9d0a18000c7,prod_b9f1187ebe10d4c5,zscore_atom,True,False,A7AB4_materialization_preflight_only
160,a7ab3_0f1670a944d03193,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"Sub(Delta(realized_vol_24h,1),ZScore(Sub(Decay(realized_vol_24h,12),Decay(realized_vol_24h,24))))",skeleton_92a027c8f2dc1bf3,prod_c2001a20471b7be1,horizon_spread,True,False,A7AB4_materialization_preflight_only
161,a7ab3_d9684fbcf047adf5,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"Mul(Mean(realized_vol_168h,24),Sub(TSRank(Delta(realized_vol_168h,4),168),Rank(Delta(realized_vol_168h,1))))",skeleton_f45bdb251a88eaea,prod_c4c1accad1b8e515,self_interaction,True,False,A7AB4_materialization_preflight_only
162,a7ab3_a40bddb7136ef900,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"Clip(Decay(realized_vol_24h,12),-3,3)",skeleton_5190274b100e392b,prod_f61390d4371ecad5,clip_atom,True,False,A7AB4_materialization_preflight_only
163,a7ab3_da7270f10c2caee8,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"Winsor(Clip(ZScore(realized_vol_168h),-3,3),3)",skeleton_d4e122deedc31056,prod_839fdfc3451c6c85,winsor_atom,True,False,A7AB4_materialization_preflight_only
164,a7ab3_27293c9fb29d33c4,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"Decay(Winsor(ZScore(realized_vol_24h),3),12)",skeleton_6914c509e2ef8a2e,prod_762a75a024f80c6f,decay_atom,True,False,A7AB4_materialization_preflight_only
165,a7ab3_c33327518b00b228,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"Rank(Sub(Rank(Delta(realized_vol_168h,24)),Decay(ZScore(realized_vol_168h),4)))",skeleton_f2a1f4fc989ed2f7,prod_48d1a27d0fe7994f,rank_horizon_spread,True,False,A7AB4_materialization_preflight_only
166,a7ab3_25ac66e9b9596cc4,G1_volatility_state_reversal,realized_vol_24h,realized_vol_24h,"ZScore(Mul(ZScore(Mean(realized_vol_24h,168)),Sub(Decay(realized_vol_24h,4),Decay(realized_vol_24h,12))))",skeleton_b4719759c75cc639,prod_d6f921b63367049b,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
167,a7ab3_c915eb4b0f394ba1,G1_volatility_state_reversal,realized_vol_168h,realized_vol_168h,"Clip(Sub(TSRank(Delta(realized_vol_168h,4),72),Clip(Delta(realized_vol_168h,4),-3,3)),-3,3)",skeleton_9e297cdfa8071e81,prod_0afd412dc444173b,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
