candidate_id,objective_family,label_horizon_h,orientation_from_train,oriented_validation_spread,oriented_test_spread,oriented_recent_spread,oriented_may_stress_spread,may_stress_n_dates,one_bar_lag_recent_oriented,cost10_recent_proxy,control_dominance_ratio_premay_max,pre_may_positive,lag_ok,may_stress_clean,decision
a7al2z7_03279a4239d43baf,M2_taker_liquidity_control_resistant,1,-1.0,0.00013516671581701275,0.00021917557451966952,-0.00016181865258317894,0.0002825070010624514,599,-6.444462495799673e-06,-0.002161818652583179,3.881851191561019,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_03279a4239d43baf,M2_taker_liquidity_control_resistant,4,-1.0,0.0005494234087671332,0.0003127033065992351,0.0001225451018517285,0.0007392462181351612,596,0.0003796272042742258,-0.0018774548981482717,6.894813953966571,True,True,True,HOLD_A7AL2Z9_CONTROL_DOMINATED
a7al2z7_03279a4239d43baf,M2_taker_liquidity_control_resistant,8,-1.0,0.0009235735445891065,3.455745430063922e-05,0.0004425333519694069,0.001177231360912488,592,0.000675057602072347,-0.0015574666480305931,12.551627267203472,True,True,True,HOLD_A7AL2Z9_CONTROL_DOMINATED
a7al2z7_03279a4239d43baf,M2_taker_liquidity_control_resistant,24,-1.0,0.0008256930063479713,-0.0007923430457316586,0.00347351407466991,0.0022860221420322106,576,0.003933852390902981,0.00147351407466991,18.934210935861543,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_015149b9c8223e6a,M2_taker_liquidity_control_resistant,1,1.0,0.00018782679455308596,0.0002924405040388897,-0.00047117278368746936,,0,-0.00052878129835362,-0.0024711727836874693,1.1245007888435659,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_015149b9c8223e6a,M2_taker_liquidity_control_resistant,4,1.0,0.00037874388289853853,0.0009263664518505238,-0.002197823060138153,,0,-0.002067275620244812,-0.004197823060138153,1.801103676056517,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_015149b9c8223e6a,M2_taker_liquidity_control_resistant,8,1.0,0.0002591755276013112,0.0013273791823596168,-0.0024483420159783437,,0,-0.0020169822629619023,-0.004448342015978344,5.412712124335043,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_015149b9c8223e6a,M2_taker_liquidity_control_resistant,24,1.0,0.0007779365824548087,0.001097099831193268,-0.002311592008029396,,0,-0.0019626224120631664,-0.004311592008029396,5.513112567894105,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_045b20a618f8654f,M2_taker_liquidity_control_resistant,1,1.0,-0.00010413113829433772,9.07779922157175e-05,4.99884682106182e-05,,0,0.00020960612807127444,-0.0019500115317893818,6.185752110100624,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_045b20a618f8654f,M2_taker_liquidity_control_resistant,4,-1.0,0.0005137759955725095,-0.0004044419468556161,-0.00031046460893779487,,0,-0.00014540268522604248,-0.002310464608937795,4.375490958483295,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_045b20a618f8654f,M2_taker_liquidity_control_resistant,8,-1.0,0.0007455178052034745,-0.0004309042414007947,4.807517675637603e-05,,0,7.722184970272903e-05,-0.001951924823243624,105.98853978647143,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_045b20a618f8654f,M2_taker_liquidity_control_resistant,24,1.0,0.0004419958637065048,0.00033863300688167743,0.0020360953870255994,,0,0.0024212916014087838,3.609538702559938e-05,33.52242245882833,True,True,False,HOLD_A7AL2Z9_CONTROL_DOMINATED
a7al2z7_00db8d680b5b65af,M2_taker_liquidity_control_resistant,1,1.0,5.214301135945209e-05,-7.565410709798332e-05,0.0003711717981536011,,0,0.00023386997462505698,-0.0016288282018463989,6.823957097814126,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00db8d680b5b65af,M2_taker_liquidity_control_resistant,4,-1.0,-0.00014148253618107102,0.00017787770611331688,-0.0010304796486851797,,0,-0.0007471583461415887,-0.0030304796486851798,8.472592432151822,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00db8d680b5b65af,M2_taker_liquidity_control_resistant,8,1.0,0.000619770263762385,-0.0003782014705293687,0.0011362971857468958,,0,0.0007869784957271737,-0.0008637028142531042,10.442369869543109,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00db8d680b5b65af,M2_taker_liquidity_control_resistant,24,-1.0,-0.00025560988572090017,0.00044153825198416417,0.0005051148840110243,,0,0.0009999885225209775,-0.0014948851159889759,45.89850619934825,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00e7c95da6ccaad7,M2_taker_liquidity_control_resistant,1,-1.0,-0.0001495189408046226,-0.000173754285223591,0.0004364656534119004,,0,0.0005057776515973582,-0.0015635343465880997,2.5246798442352456,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00e7c95da6ccaad7,M2_taker_liquidity_control_resistant,4,-1.0,-0.00020415064959085252,-0.0009185846689816976,0.0017433805995945206,,0,0.0011383684227945776,-0.0002566194004054794,5.042445530686527,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00e7c95da6ccaad7,M2_taker_liquidity_control_resistant,8,-1.0,-8.889828438750674e-05,-0.0009394200105002996,0.0011877363416266252,,0,0.00035962131463888707,-0.0008122636583733748,21.063191867120178,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00e7c95da6ccaad7,M2_taker_liquidity_control_resistant,24,1.0,0.0001722713956535945,0.0003646478156704091,-0.0012743640578469107,,0,-0.000492629864261144,-0.0032743640578469105,27.43602578811061,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_039973337b1794bb,M2_taker_liquidity_control_resistant,1,1.0,0.00017734148042863884,0.0002791768548710568,-0.000493184016530792,,0,-0.0005595210674442833,-0.002493184016530792,1.2775722800947846,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_039973337b1794bb,M2_taker_liquidity_control_resistant,4,1.0,0.0003094549035165883,0.0009185708558224114,-0.0022959621069671547,,0,-0.0022292855096338045,-0.004295962106967154,1.902120698546219,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_039973337b1794bb,M2_taker_liquidity_control_resistant,8,1.0,0.0003247197724193398,0.0014126707632209497,-0.0026225246342333162,,0,-0.002244023589773631,-0.004622524634233316,4.051795063900284,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_039973337b1794bb,M2_taker_liquidity_control_resistant,24,1.0,0.0004895536562682135,0.0013187757574285005,-0.0024487055482639896,,0,-0.002149127170576942,-0.00444870554826399,7.37431923564683,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_03a9d37ce500e682,M2_taker_liquidity_control_resistant,1,-1.0,4.128490078467119e-05,-0.00018190824216334035,-8.69631326477833e-06,,0,-1.6642648246601036e-05,-0.002008696313264778,185.56556172504813,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_03a9d37ce500e682,M2_taker_liquidity_control_resistant,4,-1.0,0.00033880804514003593,-0.0005984800727726215,0.00023615935268144693,,0,0.000425329906316751,-0.0017638406473185532,27.38102523219605,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_03a9d37ce500e682,M2_taker_liquidity_control_resistant,8,1.0,-0.0008468228533478322,0.0005354543752312321,0.0002558071626802016,,0,0.0003324922540525012,-0.0017441928373197984,53.62388887560052,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_03a9d37ce500e682,M2_taker_liquidity_control_resistant,24,-1.0,-0.0007301876927789938,-0.002106090819363935,-0.003066661907129575,,0,-0.003198479368851904,-0.005066661907129575,10.918788978212573,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_01a5639ce271a902,M2_taker_liquidity_control_resistant,1,1.0,7.757018198836791e-06,0.00041233270727626686,-1.0775779056057857e-05,0.0001909892682679768,599,0.0001267642532304905,-0.0020107757790560577,138.6596947085299,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_01a5639ce271a902,M2_taker_liquidity_control_resistant,4,1.0,-1.5724054529873415e-05,0.001391857331218194,0.00024953827457287225,0.0011191119538331163,596,0.0003345250139864603,-0.0017504617254271277,97.53284631390302,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_01a5639ce271a902,M2_taker_liquidity_control_resistant,8,1.0,-0.00031617549723955804,0.0021513247457943226,0.0013196297148312679,0.0017989450867712576,592,0.0016550119116856574,-0.0006803702851687322,11.981123835128859,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_01a5639ce271a902,M2_taker_liquidity_control_resistant,24,1.0,-0.0016596549944309083,0.003183408387435999,0.005916586857423189,-0.0013811998769891025,576,0.006261192341438781,0.0039165868574231886,7.130412385775017,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_01f3fd4785a42217,M2_taker_liquidity_control_resistant,1,-1.0,7.095797134871421e-05,-5.050086279589002e-05,-0.00016280679114903977,9.944839618538989e-05,599,-0.00011179941724326575,-0.0021628067911490397,9.875468766774294,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_01f3fd4785a42217,M2_taker_liquidity_control_resistant,4,-1.0,0.00014615852304135523,-0.00043597654309049025,-0.00030393585106304813,8.680372543441617e-06,596,-8.520138961138813e-05,-0.002303935851063048,19.97948039051832,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_01f3fd4785a42217,M2_taker_liquidity_control_resistant,8,1.0,0.0002490209678448988,0.0011242894568915189,7.911682827706665e-05,0.0006013986912480982,592,-0.00012243759257794457,-0.0019208831717229334,150.16930633886625,True,False,True,HOLD_A7AL2Z9_ONE_BAR_LAG_FRAGILE
a7al2z7_01f3fd4785a42217,M2_taker_liquidity_control_resistant,24,1.0,0.0005326929402439919,0.001898288781342006,0.0014255865089894755,0.001545367288254434,576,0.0013183229460521865,-0.0005744134910105245,23.778448917729204,True,True,True,HOLD_A7AL2Z9_CONTROL_DOMINATED
a7al2z7_026eaaa6d8a55b18,M2_taker_liquidity_control_resistant,1,1.0,4.997349019729392e-05,0.00012372642285831735,0.0001018314643125844,0.0001842645584539614,599,0.0002520105530041443,-0.0018981685356874156,10.437287706737171,True,True,True,HOLD_A7AL2Z9_CONTROL_DOMINATED
a7al2z7_026eaaa6d8a55b18,M2_taker_liquidity_control_resistant,4,1.0,0.00045415607976314584,-0.00022873615779633676,0.0004704366688003764,0.0009159463858434743,596,0.0007890810554173157,-0.0015295633311996236,8.741423289811195,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_026eaaa6d8a55b18,M2_taker_liquidity_control_resistant,8,1.0,0.0009280142147945471,-0.0005816060560004915,0.001335037225197768,0.0016083684100539218,592,0.001232072789015298,-0.000664962774802232,3.256981825095975,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_026eaaa6d8a55b18,M2_taker_liquidity_control_resistant,24,1.0,0.0008124704883582601,-0.0002878808785377125,0.003936674524452376,0.002083601147983803,576,0.004153139058540803,0.0019366745244523758,40.38273359537614,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_02f1df4268618e5a,M2_taker_liquidity_control_resistant,1,1.0,8.219779184165793e-05,0.00023296980206869962,1.575936115169569e-05,0.00016879913711711895,599,-3.2284698908358655e-05,-0.0019842406388483045,88.9818004036347,True,False,True,HOLD_A7AL2Z9_ONE_BAR_LAG_FRAGILE
a7al2z7_02f1df4268618e5a,M2_taker_liquidity_control_resistant,4,1.0,0.00034682623123525984,0.0005949341481137157,-0.0003139876141459205,0.0008320935364134762,596,-0.0002138748380574391,-0.0023139876141459207,19.155100687667044,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_02f1df4268618e5a,M2_taker_liquidity_control_resistant,8,1.0,0.0002813335919895468,0.0006854526253423841,0.0002436148429785243,0.0016340188850731165,592,0.0003608769953122669,-0.0017563851570214757,49.49671198748186,True,True,True,HOLD_A7AL2Z9_CONTROL_DOMINATED
a7al2z7_02f1df4268618e5a,M2_taker_liquidity_control_resistant,24,1.0,-0.0006902324753615522,0.0004897039423722502,0.0021420350121254526,0.0003870446930113846,576,0.0022580358932329145,0.00014203501212545254,25.550146349608372,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_038e24f509c5dbfe,M2_taker_liquidity_control_resistant,1,1.0,6.295443795359889e-05,0.00044304211874842444,-6.258912258003661e-05,0.000317256568250462,599,1.706913219360557e-05,-0.0020625891225800365,25.721686176069493,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_038e24f509c5dbfe,M2_taker_liquidity_control_resistant,4,1.0,6.0986989207518865e-05,0.0014041859638692646,-0.0003044643105484255,0.0011301098557683234,596,-0.00040842071415553803,-0.0023044643105484255,23.42069966862669,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_038e24f509c5dbfe,M2_taker_liquidity_control_resistant,8,1.0,-0.00030782989553157497,0.0018923405274839525,6.827056180949253e-05,0.0015243795244849125,592,0.00023133765218470053,-0.0019317294381905074,184.8373184044972,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_038e24f509c5dbfe,M2_taker_liquidity_control_resistant,24,1.0,-0.0016979623671976726,0.0020153134470671475,0.0026502229964526143,-0.0020473825166018597,576,0.0029937559875310815,0.0006502229964526142,13.769723438557017,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00f9889f17c7e8ee,M3_latent_meme_major_neutral,1,1.0,0.00016616965441401088,9.874282551490369e-06,-0.00042644464573084705,-0.00022512871182960812,599,-0.0003194997678360816,-0.002426444645730847,163.26833666666784,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00f9889f17c7e8ee,M3_latent_meme_major_neutral,4,1.0,0.0007552816199551672,0.00044534149306886344,-0.001225850474002665,0.00023986050617467788,596,-0.0010744233540164805,-0.003225850474002665,13.208586125458243,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00f9889f17c7e8ee,M3_latent_meme_major_neutral,8,1.0,0.0012678441117067111,0.0009034452390722216,-0.001212288713453493,0.001353034811977561,592,-0.0005689961966211356,-0.003212288713453493,20.662252754902642,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00f9889f17c7e8ee,M3_latent_meme_major_neutral,24,1.0,0.0017885929780229492,0.0021714646315532304,0.004349067687461921,0.0031988834461290382,576,0.004880333699479863,0.0023490676874619205,15.008522749218297,True,True,True,HOLD_A7AL2Z9_CONTROL_DOMINATED
a7al2z7_0146b4c57a203cc6,M3_latent_meme_major_neutral,1,1.0,-2.9513736493102866e-05,1.9035610608190942e-05,0.00010658053021713674,-3.4129181610003747e-05,599,0.0002573858369915925,-0.0018934194697828634,37.99758485921656,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_0146b4c57a203cc6,M3_latent_meme_major_neutral,4,1.0,6.160322950141211e-05,0.00022148296892933957,0.0008841013928937557,5.080208459492079e-06,596,0.0009440595820041025,-0.0011158986071062443,24.251122821534846,True,True,True,HOLD_A7AL2Z9_CONTROL_DOMINATED
a7al2z7_0146b4c57a203cc6,M3_latent_meme_major_neutral,8,-1.0,8.697144232692382e-05,-0.00023864688725991736,-0.0013753444933243294,0.00019040155360517666,592,-0.001292195282586086,-0.0033753444933243295,30.966537760750036,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_0146b4c57a203cc6,M3_latent_meme_major_neutral,24,-1.0,0.0015178453809552416,0.001259668760371149,-0.0016841703398577372,9.675386273034874e-05,576,-0.0013725258174717072,-0.003684170339857737,8.438529865381582,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_01c36d9b66585435,M3_latent_meme_major_neutral,1,-1.0,-7.615551066316405e-05,-0.00029532970569494247,0.00020021901609076475,-0.00011780780010185187,599,-6.780393299304598e-05,-0.0017997809839092353,10.000039239375687,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
