arm,proposal_id,panel_id,lane_id,exact_identity,activation_identity,behaviour_cluster,economic_hypothesis,mechanism_id,algorithm,coordinate_coverage,observations,ic_mean,ic_lcb,gross_mean,net_mean,net_lcb,return_risk,worst_horizon_net_mean,time_block_positive_fraction,time_block_stability,turnover_mean,cost_drag_mean,max_weight_mean,concentration_hhi_mean,complexity,behaviour_novelty,benchmark_incremental_mean,benchmark_incremental_lcb,placebo_ic_abs,wrong_lag_ic_abs,hard_gate_pass,hard_gate_reasons,lane_scalar,development_scalar,feedback_stability_lcb,feedback_positive_block_fraction,survivor_near_miss,development_survivor,candidate_promotion,feedback_persisted
STRATIFIED_ADMISSION,epoch-candidate:8d95cdeceae44de5aa463ad0,main,uct_mcts,exact-signal:2f24d990f510a93829dda932,activation:d249d39092093bcd8383173a,behaviour-cluster:f34b17b833a714e6fc55d3b1,relative_strength,cross_asset_confirmation,uct_mcts,0.8894581056466302,7813,0.0005244689532389071,-0.00648272945771733,-2.5220872511969113e-05,-0.00016885646320673357,-0.0002247496653754571,-5.9212686882054175,-0.0002122008243947727,0.0,0.7739990228939346,0.28727118138952884,0.00014363559069476445,0.17454678183297545,0.11490062271959917,3,6.697034247666484,-0.00010076317125195699,-0.00017770015370304428,0.004660830647555817,0.0018523147141071205,True,,5.886912748242552,-4.792864250341745,-0.00023013474430714516,0.0,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:97f6ec5d19baaf97cc30d1b2,main,uct_mcts,exact-signal:cbbd1a31013697efd26184df,activation:2fc44eae5556b4e63d1f2cd7,behaviour-cluster:fddc99dda24571dcfc2146f7,funding_level_carry,funding_dynamics,uct_mcts,0.9877049180327869,8676,0.002339282602303061,-0.004106460696319449,-1.5623919083005193e-05,-0.00026907054200652516,-0.0003124081926589739,-12.169055183959088,-0.00032584065536615353,0.0,0.7445239055829819,0.5068932458470399,0.00025344662292351995,0.15498509474637243,0.10795869799285551,4,6.697034247666484,-0.00018885479362279456,-0.00025442358412082765,0.001628125417539238,0.0020509202803116466,True,,5.183934640072118,-5.714676304409476,-0.000340326419622349,0.0,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:9c44f75eebcda3c86a01f6cc,main,uct_mcts,exact-signal:2f7f104fb78dc14b95776890,activation:d1e54f967b2aa8a67e031b21,behaviour-cluster:d96f5cc04b63f4532eb00aef,mark_index_dislocation,mark_index_deviation,uct_mcts,0.9931693989071039,8724,-0.0026412676880289655,-0.009058921387587212,-7.238238904089471e-06,-4.538346068061711e-05,-8.904868781395571e-05,-2.0371263079058752,-8.262962172732399e-05,0.0,0.7833098325664135,0.0762904435530553,3.814522177652764e-05,0.15366836842556605,0.11078747977690272,2,6.697034247666484,3.32804493076017e-05,-3.2590504694600644e-05,0.003515658785791354,0.0030312351096680175,True,,6.420680904453294,-0.603376412212208,-0.00012368287091319582,0.25,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:3281ec808212514b37b7a2b6,main,uct_mcts,exact-signal:79dd023c62717c06d1ef4d6d,activation:5e5e91db656dc77e459e17ae,behaviour-cluster:e32e2f171563b7c7f382e9d0,oi_contraction_unwind,oi_inventory,uct_mcts,0.9675546448087432,8499,0.0012384524855303908,-0.00535237212540198,2.121486040772707e-05,-0.00015466043482374872,-0.00020349000393871255,-6.208009977332606,-0.00018649557360620633,0.0,0.8183429231082718,0.3517505904629516,0.0001758752952314758,0.16366468482831636,0.1145638068340816,2,6.697034247666484,-7.337016335530085e-05,-0.00014027709458418067,0.00031350604814637276,0.0013157106237901772,True,,5.896959137324287,-4.473945209724009,-0.00020903896248148932,0.0,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:ff8faa11575812ec608ee668,main,uct_mcts,exact-signal:41aa8dee9c36850d24c06554,activation:e5a533c1ae53a3afc670388b,behaviour-cluster:71895617a5eab1fefd8ccc3f,orthogonal_volatility,orthogonal_exile,uct_mcts,0.9875910746812386,8675,0.0020831380166446848,-0.0047893055881375055,-2.9105176741656707e-05,-7.513510595826039e-05,-0.00012424688256292986,-2.9985640483669376,-0.0001561932388475533,0.0,0.6726680129970989,0.09205985843320738,4.602992921660368e-05,0.154191191381912,0.1110820306101284,3,6.697034247666484,4.4127352423743545e-06,-5.1098342358259056e-05,0.0011287783522712798,0.0023615995104315332,True,,6.322319285197321,-3.5466467990941473,-0.00014763702876845365,0.16666666666666666,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:ca25fbc84afeec5b5eb4a41d,main,uct_mcts,exact-signal:b640764486eb65d23c266302,activation:fec7b4b7031648d4809cb669,behaviour-cluster:ecbe98a6214b65f71cc91900,session_transition,session_time,uct_mcts,0.998747723132969,8773,-0.00025882648130899085,-0.006583673473837696,3.469587947621461e-05,-0.0002667055162201771,-0.00030834982290027545,-12.552563686727535,-0.0003317440009865256,0.0,0.6820455665874329,0.6028027913927834,0.00030140139569639175,0.1527777777777778,0.11033950617283952,3,6.697034247666484,-0.0001884809692308667,-0.00025265912336731085,0.0029104425572738,0.0001055382001410019,True,,5.132643922161431,-5.629970921946953,-0.00033450407919810533,0.0,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:8c3401c40c90e4b38319acc5,main,uct_mcts,exact-signal:e875fa4de10b7dedfe200701,activation:a381a1b5c42ee66c84974472,behaviour-cluster:907ffb4118031257ac02ef18,aggressive_flow_continuation,taker_imbalance,uct_mcts,0.9807604735883424,8615,0.0030757963776125554,-0.0039217953130839586,-3.798461348466879e-05,-0.00013345440132241952,-0.00018377012903069318,-5.198585780344997,-0.00016775208772666284,0.0,0.745485997582716,0.1909395756755015,9.546978783775074e-05,0.1527777777777778,0.11033950617283952,3,4.405498990859024,-4.980670845877522e-05,-0.00010626387229854161,0.0016639798359594183,0.0029582994367032427,True,,3.7541423804898715,-4.098657175313479,-0.00019496039195875995,0.08333333333333333,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:a1956c3a461386464d2bd224,main,uct_mcts,exact-signal:744bc8e45c16cb66bc39bbc1,activation:ae2cae7d29a97b9fd1bb1f47,behaviour-cluster:7f3ff7365b033a42639f29d9,path_shape_reversal,temporal_state_path,uct_mcts,0.9899817850637522,8696,-0.002878012207320381,-0.009218440508684674,6.462895194976664e-06,-0.00011693675215246281,-0.00016050361170388705,-5.2607885116964885,-0.00017292550585748252,0.0,0.7022077113023442,0.24679929469487896,0.0001233996473474395,0.15285708809742848,0.11039555991141561,2,5.31443674842792,-3.80195545055883e-05,-0.00010514949095068017,0.0019258456548959088,0.0019936704863779933,True,,4.633994679538109,-4.173834349663559,-0.00022046552854574554,0.08333333333333333,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:ecd2083f33e8ce38a463ff7f,main,uct_mcts,exact-signal:9f8c2d208724f9cb28fdfcd4,activation:554d4166a10ca0cb95b07ad8,behaviour-cluster:27638611b47b300e7cc44def,volatility_burst_continuation,volatility_regime,uct_mcts,0.9875910746812386,8675,-0.0047842633910149335,-0.011554054140305291,-5.409313810759998e-07,-3.419014830187866e-05,-8.305853381488352e-05,-1.37128922857189,-0.00012249138945095322,0.25,0.5920887446797772,0.06729843384160533,3.364921692080266e-05,0.15735518773792534,0.10982691464477615,2,6.697034247666484,4.6814155163357e-05,-2.9243885905151102e-05,0.0037596177144572315,0.004769947581659644,True,,6.731080300650842,-0.4080804288468996,-0.00013288789729685188,0.4166666666666667,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:94a11693509bb42228a42b11,main,uct_mcts,exact-signal:093b4c150fe813c620860f51,activation:1bfc639a12b16bedaeead333,behaviour-cluster:bd74fefc512d0a4ec69465e5,basis_funding_divergence,basis_dislocation_convergence,uct_mcts,0.98816029143898,8680,0.0027326102603460415,-0.0036147106425993072,-1.3495249947364034e-05,-0.0002105954400839042,-0.00025482711171991533,-9.331934500716422,-0.00025164594136810727,0.0,0.7521306707471493,0.3942003802730804,0.00019710019013654019,0.15869909906561017,0.11297788266546699,2,6.697034247666484,-0.00012966011664385547,-0.0001967930098965466,0.0013856805413015605,0.0039899897765982,True,,5.532878926114244,-5.04982235313142,-0.0002845297109164192,0.0,False,False,False,False
