seed_id,lane_id,field_primary,field_partner,semantic_type_primary,semantic_type_partner,semantic_pair,operator,operator_origin,window_h,expression,compiler_role,non_l7_evidence,operator_null_margin,role_gate_status,reject_reason,candidate_status,family_cap_status,motif_cap_status
a7ffcore48se_0048,N1_role_compatible_pair_seed,index_close,trade_return_1h,basis_premium_like,price_like,basis_premium_like|price_like,WinsorZ,repaired_native_proxy,4,"Mul(Clip(ZScore(Delta(index_close,4)),-3,3),Sign(Delta(trade_return_1h,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0049,N2_regime_conditioned_seed,index_close,kline_taker_buy_quote_share,basis_premium_like,state_or_taxonomy,basis_premium_like|state_or_taxonomy,AbsDelta,repaired_native_proxy,4,"Mul(Abs(Delta(index_close,4)),Sign(Delta(kline_taker_buy_quote_share,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0050,N2_regime_conditioned_seed,mark_trade_basis_bps,raw_latent_state_id,basis_premium_like,state_or_taxonomy,basis_premium_like|state_or_taxonomy,CSRank,native,4,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(raw_latent_state_id,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0051,N2_regime_conditioned_seed,mark_trade_basis_bps,raw_latent_state_id,basis_premium_like,state_or_taxonomy,basis_premium_like|state_or_taxonomy,Delta,native,4,"Mul(Delta(mark_trade_basis_bps,4),ZScore(Delta(raw_latent_state_id,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0052,N2_regime_conditioned_seed,index_close,kline_taker_buy_quote_share,basis_premium_like,state_or_taxonomy,basis_premium_like|state_or_taxonomy,Identity,native,4,"Mul(ZScore(index_close),Sign(Delta(kline_taker_buy_quote_share,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0053,N2_regime_conditioned_seed,index_close,kline_taker_buy_quote_share,basis_premium_like,state_or_taxonomy,basis_premium_like|state_or_taxonomy,SignedRankDelta,repaired_native_proxy,4,"Mul(CSRank(Delta(index_close,4)),Sign(Delta(kline_taker_buy_quote_share,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0054,N2_regime_conditioned_seed,index_close,kline_taker_buy_quote_share,basis_premium_like,state_or_taxonomy,basis_premium_like|state_or_taxonomy,SpreadShortLong,repaired_native_proxy,4,"Sub(ZScore(Mean(index_close,4)),ZScore(Mean(kline_taker_buy_quote_share,16)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0055,N2_regime_conditioned_seed,index_close,kline_taker_buy_quote_share,basis_premium_like,state_or_taxonomy,basis_premium_like|state_or_taxonomy,WinsorZ,repaired_native_proxy,4,"Mul(Clip(ZScore(Delta(index_close,4)),-3,3),Sign(Delta(kline_taker_buy_quote_share,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0056,N1_role_compatible_pair_seed,index_close,realized_vol_168h,basis_premium_like,volatility_like,basis_premium_like|volatility_like,AbsDelta,repaired_native_proxy,4,"Mul(Abs(Delta(index_close,4)),Sign(Delta(realized_vol_168h,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0057,N1_role_compatible_pair_seed,mark_trade_basis_bps,realized_vol_168h,basis_premium_like,volatility_like,basis_premium_like|volatility_like,CSRank,native,4,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(realized_vol_168h,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
